Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,60.923381,[125   7] ; [19 26],[107.38983051  24.61016949] ; [36.61016949  8.38983051],1
p11,1,1e-06,25.230336,[111  21] ; [22 25],[98.07821229 33.92178771] ; [34.92178771 12.07821229],1
n5,1,1.8e-05,18.442678,[99 33] ; [19 28],[87.01675978 44.98324022] ; [30.98324022 16.01675978],1
n4,1,0.006923,7.292895,[91 41] ; [22 25],[83.32960894 48.67039106] ; [29.67039106 17.32960894],0
s2,1,0.008079,7.015855,[66 66] ; [13 34],[58.25698324 73.74301676] ; [20.74301676 26.25698324],0
a7,1,0.008884,6.846069,[87 44] ; [21 26],[79.48314607 51.51685393] ; [28.51685393 18.48314607],0
r4,1,0.010333,6.576548,[97 35] ; [25 22],[89.96648045 42.03351955] ; [32.03351955 14.96648045],0
s6,1,0.013309,6.127557,[78 49] ; [19 28],[70.79885057 56.20114943] ; [26.20114943 20.79885057],0
a5,1,0.014099,6.025753,[78 54] ; [18 29],[70.79329609 61.20670391] ; [25.20670391 21.79329609],0
p2,1,0.016692,5.72852,[104  27] ; [29 18],[97.88202247 33.11797753] ; [35.11797753 11.88202247],0
b1,1,0.018197,5.577061,[47 85] ; [26 21],[53.83240223 78.16759777] ; [19.16759777 27.83240223],0
s8,1,0.018989,5.502502,[50 82] ; [ 9 38],[43.50837989 88.49162011] ; [15.49162011 31.50837989],0
p5,1,0.034308,4.479312,[ 17 114] ; [ 1 46],[ 13.24719101 117.75280899] ; [ 4.75280899 42.24719101],0
v1,1,0.043914,4.059869,[57 71] ; [12 32],[51.34883721 76.65116279] ; [17.65116279 26.34883721],0
d5,1,0.048799,3.882242,[98 33] ; [28 19],[92.73033708 38.26966292] ; [33.26966292 13.73033708],0
r2,1,0.057556,3.606451,[109  20] ; [33 13],[104.67428571  24.32571429] ; [37.32571429  8.67428571],0
p8,1,0.063429,3.445365,[60 70] ; [14 32],[54.65909091 75.34090909] ; [19.34090909 26.65909091],0
n6,1,0.077803,3.110208,[111  21] ; [34 13],[106.9273743  25.0726257] ; [38.0726257  8.9273743],0
s7,1,0.13243,2.263788,[52 73] ; [13 32],[47.79411765 77.20588235] ; [17.20588235 27.79411765],0
b3,1,0.132495,2.26303,[27 48] ; [ 6 23],[23.79807692 51.20192308] ; [ 9.20192308 19.79807692],0
b2,1,0.132495,2.26303,[27 48] ; [ 6 23],[23.79807692 51.20192308] ; [ 9.20192308 19.79807692],0
p1,1,0.190031,1.717379,[ 14 118] ; [ 2 45],[ 11.79888268 120.20111732] ; [ 4.20111732 42.79888268],0
s5,1,0.199849,1.643479,[34 90] ; [ 8 37],[30.81656805 93.18343195] ; [11.18343195 33.81656805],0
b4,1,0.207635,1.58784,[84 48] ; [25 22],[80.37988827 51.62011173] ; [28.62011173 18.37988827],0
a6,1,0.22795,1.453605,[78 54] ; [23 24],[74.48044693 57.51955307] ; [26.51955307 20.48044693],0
d2,1,0.245523,1.348602,[46 85] ; [21 26],[49.30898876 81.69101124] ; [17.69101124 29.30898876],0
u2,1,0.250646,1.319697,[26 25] ; [ 8 14],[23.75342466 27.24657534] ; [10.24657534 11.75342466],0
s3,1,0.269214,1.220747,[67 65] ; [19 27],[63.7752809 68.2247191] ; [22.2247191 23.7752809],0
a2,1,0.272755,1.202839,[ 16 116] ; [ 3 44],[ 14.01117318 117.98882682] ; [ 4.98882682 42.01117318],0
a3,1,0.275165,1.190815,[81 51] ; [24 22],[77.86516854 54.13483146] ; [27.13483146 18.86516854],0
p3,1,0.275927,1.187042,[61 71] ; [17 29],[57.84269663 74.15730337] ; [20.15730337 25.84269663],0
p12,1,0.285459,1.140916,[  8 123] ; [ 1 46],[  6.62359551 124.37640449] ; [ 2.37640449 44.62359551],0
p7,1,0.312637,1.019503,[72 58] ; [22 25],[69.03954802 60.96045198] ; [24.96045198 22.03954802],0
v3,1,0.315965,1.005578,[41 88] ; [11 35],[38.33142857 90.66857143] ; [13.66857143 32.33142857],0
d4,1,0.358122,0.844468,[99 33] ; [32 15],[96.60335196 35.39664804] ; [34.39664804 12.60335196],0
d1,1,0.446708,0.57899,[59 73] ; [18 29],[56.78212291 75.21787709] ; [20.21787709 26.78212291],0
s1,1,0.463247,0.538038,[  3 129] ; [ 2 44],[  3.70786517 128.29213483] ; [ 1.29213483 44.70786517],0
a4,1,0.473377,0.514081,[44 88] ; [13 34],[42.03351955 89.96648045] ; [14.96648045 32.03351955],0
p4,1,0.49343,0.469038,[68 64] ; [21 25],[66. 66.] ; [23. 23.],0
v4,1,0.538356,0.378595,[116  15] ; [40  7],[114.80898876  16.19101124] ; [41.19101124  5.80898876],0
a8,1,0.542058,0.371739,[ 15 110] ; [ 4 42],[ 13.88888889 111.11111111] ; [ 5.11111111 40.88888889],0
u1,1,0.643529,0.214156,[  8 124] ; [ 2 45],[  7.37430168 124.62569832] ; [ 2.62569832 44.37430168],0
u3,1,0.746443,0.104544,[22 29] ; [ 9 14],[21.36486486 29.63513514] ; [ 9.63513514 13.36486486],0
n1,1,0.750401,0.101194,[15 22] ; [ 8 14],[14.42372881 22.57627119] ; [ 8.57627119 13.42372881],0
p6,1,0.805174,0.060839,[44 86] ; [14 30],[43.33333333 86.66666667] ; [14.66666667 29.33333333],0
n3,1,0.809176,0.058317,[27 11] ; [17  6],[27.40983607 10.59016393] ; [16.59016393  6.40983607],0
b5,1,0.847166,0.037147,[85 47] ; [31 16],[85.54189944 46.45810056] ; [30.45810056 16.54189944],0
s4,1,0.847931,0.036772,[ 27 105] ; [ 9 38],[ 26.54748603 105.45251397] ; [ 9.45251397 37.54748603],0
v2,1,0.90185,0.015209,[57 71] ; [20 26],[56.64367816 71.35632184] ; [20.35632184 25.64367816],0
a1,1,0.937012,0.006245,[  8 124] ; [ 3 44],[  8.11173184 123.88826816] ; [ 2.88826816 44.11173184],0
n2,1,0.949404,0.004027,[30  8] ; [18  5],[29.90163934  8.09836066] ; [18.09836066  4.90163934],0
d3,1,0.950431,0.003865,[74 56] ; [27 20],[74.18079096 55.81920904] ; [26.81920904 20.18079096],0
