Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,78.232563,[321  75] ; [74 95],[276.84955752 119.15044248] ; [118.15044248  50.84955752],1
d3,1,0.0,71.29193,[311  86] ; [71 98],[267.93992933 129.06007067] ; [114.06007067  54.93992933],1
a2,1,0.0,34.683836,[129 269] ; [ 15 154],[101.07936508 296.92063492] ; [ 42.92063492 126.07936508],1
u1,1,1e-06,25.066926,[ 98 300] ; [ 11 158],[ 76.51146384 321.48853616] ; [ 32.48853616 136.51146384],1
b5,1,2e-06,22.839146,[258 140] ; [73 96],[232.34215168 165.65784832] ; [98.65784832 70.34215168],1
r4,1,1e-05,19.608803,[376  22] ; [140  29],[362.2010582  35.7989418] ; [153.7989418  15.2010582],1
d1,1,0.000151,14.359673,[263 135] ; [83 86],[242.8712522 155.1287478] ; [103.1287478  65.8712522],1
r1,1,0.000187,13.953009,[335  61] ; [120  49],[318.90265487  77.09734513] ; [136.09734513  32.90265487],1
v2,1,0.001316,10.319984,[241 138] ; [79 83],[224.17744917 154.82255083] ; [95.82255083 66.17744917],0
v4,1,0.001777,9.766611,[386  10] ; [154  14],[379.14893617  16.85106383] ; [160.85106383   7.14893617],0
r2,1,0.00697,7.28071,[379  17] ; [149  17],[372.04270463  23.95729537] ; [155.95729537  10.04270463],0
d4,1,0.008525,6.919672,[335  62] ; [126  42],[323.92389381  73.07610619] ; [137.07610619  30.92389381],0
u3,1,0.011056,6.456264,[65 41] ; [17 27],[57.94666667 48.05333333] ; [24.05333333 19.94666667],0
b1,1,0.012773,6.200248,[135 263] ; [76 93],[148.10934744 249.89065256] ; [ 62.89065256 106.10934744],0
p4,1,0.019513,5.454948,[273 122] ; [99 69],[260.9946714 134.0053286] ; [111.0053286  56.9946714],0
r3,1,0.022292,5.222822,[385  10] ; [158  11],[380.29255319  14.70744681] ; [162.70744681   6.29255319],0
p8,1,0.027119,4.883235,[242 147] ; [86 79],[230.31046931 158.68953069] ; [97.68953069 67.31046931],0
p10,1,0.028228,4.814092,[363  33] ; [142  24],[355.83629893  40.16370107] ; [149.16370107  16.83629893],0
b4,1,0.05584,3.656817,[244 154] ; [89 80],[233.74603175 164.25396825] ; [99.25396825 69.74603175],0
d5,1,0.078792,3.089641,[332  65] ; [130  38],[324.62654867  72.37345133] ; [137.37345133  30.62654867],0
p2,1,0.108331,2.578397,[348  49] ; [137  29],[341.9982238  55.0017762] ; [143.0017762  22.9982238],0
s8,1,0.114447,2.491719,[178 214] ; [89 80],[186.56684492 205.43315508] ; [80.43315508 88.56684492],0
u2,1,0.13191,2.269885,[66 40] ; [21 22],[61.89261745 44.10738255] ; [25.10738255 17.89261745],0
a8,1,0.156858,2.004263,[ 59 296] ; [ 19 142],[ 53.6627907 301.3372093] ; [ 24.3372093 136.6627907],0
s5,1,0.167613,1.904164,[128 256] ; [64 98],[135.03296703 248.96703297] ; [ 56.96703297 105.03296703],0
s4,1,0.169486,1.88748,[ 58 330] ; [ 33 135],[ 63.50359712 324.49640288] ; [ 27.49640288 140.50359712],0
v1,1,0.20416,1.612362,[236 149] ; [91 73],[229.31693989 155.68306011] ; [97.68306011 66.31693989],0
b2,1,0.283802,1.148791,[ 94 153] ; [51 65],[ 98.66391185 148.33608815] ; [46.33608815 69.66391185],0
b3,1,0.283802,1.148791,[ 94 153] ; [51 65],[ 98.66391185 148.33608815] ; [46.33608815 69.66391185],0
a5,1,0.311763,1.023194,[310  88] ; [125  44],[305.34391534  92.65608466] ; [129.65608466  39.34391534],0
p9,1,0.328781,0.953692,[358  34] ; [149  19],[354.9  37.1] ; [152.1  15.9],0
s7,1,0.342273,0.901899,[193 183] ; [92 73],[198.07763401 177.92236599] ; [86.92236599 78.07763401],0
s2,1,0.349543,0.875117,[213 177] ; [84 83],[207.95332136 182.04667864] ; [89.04667864 77.95332136],0
p3,1,0.393877,0.72694,[220 175] ; [87 81],[215.39076377 179.60923623] ; [91.60923623 76.39076377],0
n4,1,0.396197,0.719837,[356  42] ; [147  22],[353.07583774  44.92416226] ; [149.92416226  19.07583774],0
p12,1,0.396487,0.718955,[ 43 353] ; [ 14 151],[ 40.23529412 355.76470588] ; [ 16.76470588 148.23529412],0
a4,1,0.406553,0.688857,[190 207] ; [74 94],[185.50088496 211.49911504] ; [78.49911504 89.50088496],0
p1,1,0.428209,0.627676,[ 39 357] ; [ 13 155],[ 36.5106383 359.4893617] ; [ 15.4893617 152.5106383],0
s6,1,0.433016,0.614719,[277 113] ; [111  53],[273.14079422 116.85920578] ; [114.85920578  49.14079422],0
s3,1,0.444912,0.583581,[230 157] ; [94 74],[225.92432432 161.07567568] ; [98.07567568 69.92432432],0
n2,1,0.529846,0.394687,[52 12] ; [32 10],[50.71698113 13.28301887] ; [33.28301887  8.71698113],0
