Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,4.8e-05,16.519764,[166 351] ; [21 10],[176.42153285 340.57846715] ; [10.57846715 20.42153285],1
v1,1,0.000146,14.420655,[287 212] ; [ 7 24],[276.80377358 222.19622642] ; [17.19622642 13.80377358],1
p2,1,0.001694,9.854715,[452  64] ; [21 10],[446.19378428  69.80621572] ; [26.80621572  4.19378428],0
s6,1,0.009412,6.742867,[357 149] ; [15 16],[350.52513966 155.47486034] ; [21.47486034  9.52513966],0
p3,1,0.010898,6.481924,[278 238] ; [ 9 21],[271.23076923 244.76923077] ; [15.76923077 14.23076923],0
p6,1,0.011988,6.312697,[204 311] ; [ 5 25],[197.49541284 317.50458716] ; [11.50458716 18.49541284],0
r4,1,0.01416,6.018136,[480  37] ; [25  6],[476.43248175  40.56751825] ; [28.56751825  2.43248175],0
a4,1,0.028642,4.789,[237 279] ; [ 8 23],[231.11517367 284.88482633] ; [13.88482633 17.11517367],0
a5,1,0.037535,4.325977,[401 116] ; [19 12],[396.24087591 120.75912409] ; [23.75912409  7.24087591],0
p4,1,0.067201,3.350099,[333 182] ; [15 16],[328.24175824 186.75824176] ; [19.75824176 11.24175824],0
n1,1,0.076173,3.144723,[30 65] ; [5 3],[32.2815534 62.7184466] ; [2.7184466 5.2815534],0
s2,1,0.077372,3.119266,[281 230] ; [12 19],[276.24169742 234.75830258] ; [16.75830258 14.24169742],0
u1,1,0.090291,2.869181,[117 400] ; [ 3 28],[113.21167883 403.78832117] ; [ 6.78832117 24.21167883],0
p5,1,0.095025,2.78712,[ 70 444] ; [ 1 30],[ 66.96146789 447.03853211] ; [ 4.03853211 26.96146789],0
a2,1,0.103619,2.648946,[154 363] ; [ 5 26],[150.00547445 366.99452555] ; [ 8.99452555 22.00547445],0
v2,1,0.10939,2.563005,[302 190] ; [14 16],[297.83908046 194.16091954] ; [18.16091954 11.83908046],0
d3,1,0.115463,2.477805,[410 105] ; [21 10],[406.52930403 108.47069597] ; [24.47069597  6.52930403],0
s5,1,0.139536,2.183067,[177 320] ; [ 7 24],[173.1969697 323.8030303] ; [10.8030303 20.1969697],0
d1,1,0.14362,2.138733,[334 183] ; [16 15],[330.20072993 186.79927007] ; [19.79927007 11.20072993],0
b3,1,0.219964,1.504608,[108 188] ; [ 4 14],[105.57961783 190.42038217] ; [ 6.42038217 11.57961783],0
b2,1,0.219964,1.504608,[108 188] ; [ 4 14],[105.57961783 190.42038217] ; [ 6.42038217 11.57961783],0
s1,1,0.235786,1.405613,[ 14 497] ; [ 2 29],[ 15.08487085 495.91512915] ; [ 0.91512915 30.08487085],0
s8,1,0.262011,1.258099,[235 278] ; [11 20],[231.98161765 281.01838235] ; [14.01838235 16.98161765],0
s4,1,0.283943,1.148122,[ 87 423] ; [ 3 28],[ 84.84288355 425.15711645] ; [ 5.15711645 25.84288355],0
p11,1,0.308527,1.036973,[436  81] ; [24  7],[433.97810219  83.02189781] ; [26.02189781  4.97810219],0
d2,1,0.311191,1.025614,[248 268] ; [12 19],[245.26508227 270.73491773] ; [14.73491773 16.26508227],0
r3,1,0.31508,1.009263,[496  16] ; [29  2],[495.02762431  16.97237569] ; [29.97237569  1.02762431],0
a8,1,0.320163,0.988279,[ 65 399] ; [ 6 23],[ 66.82352941 397.17647059] ; [ 4.17647059 24.82352941],0
b4,1,0.345659,0.889331,[306 211] ; [21 10],[308.50182482 208.49817518] ; [18.49817518 12.50182482],0
n2,1,0.451775,0.566194,[72 23] ; [7 1],[72.86407767 22.13592233] ; [6.13592233 1.86407767],0
b5,1,0.460649,0.544317,[334 183] ; [18 13],[332.08759124 184.91240876] ; [19.91240876 11.08759124],0
n5,1,0.47336,0.514123,[393 120] ; [22  9],[391.35110294 121.64889706] ; [23.64889706  7.35110294],0
a1,1,0.519255,0.415373,[ 21 496] ; [ 2 29],[ 21.69890511 495.30109489] ; [ 1.30109489 29.69890511],0
d4,1,0.524938,0.40418,[438  78] ; [25  6],[436.76051188  79.23948812] ; [26.23948812  4.76051188],0
r2,1,0.529933,0.39452,[490  21] ; [29  2],[489.31549815  21.68450185] ; [29.68450185  1.31549815],0
s3,1,0.550346,0.356698,[290 218] ; [16 15],[288.40074212 219.59925788] ; [17.59925788 13.40074212],0
v3,1,0.557992,0.343193,[202 293] ; [11 20],[200.44676806 294.55323194] ; [12.55323194 18.44676806],0
p1,1,0.569249,0.323941,[ 49 466] ; [ 2 29],[ 48.1043956 466.8956044] ; [ 2.8956044 28.1043956],0
p7,1,0.57351,0.316845,[339 166] ; [18 11],[337.61235955 167.38764045] ; [19.38764045  9.61235955],0
n6,1,0.603528,0.269708,[446  66] ; [26  5],[445.053407  66.946593] ; [26.946593  4.053407],0
u3,1,0.62293,0.24177,[93 53] ; [5 4],[92.30967742 53.69032258] ; [5.69032258 3.30967742],0
d5,1,0.653709,0.201255,[432  84] ; [25  6],[431.10054845  84.89945155] ; [25.89945155  5.10054845],0
n4,1,0.682309,0.167538,[400 117] ; [23  8],[399.07116788 117.92883212] ; [23.92883212  7.07116788],0
u2,1,0.684625,0.164965,[91 55] ; [5 4],[90.42580645 55.57419355] ; [5.57419355 3.42580645],0
a6,1,0.753256,0.098815,[403 112] ; [25  6],[403.6996337 111.3003663] ; [24.3003663  6.6996337],0
r1,1,0.77513,0.081608,[424  89] ; [25  6],[423.41360294  89.58639706] ; [25.58639706  5.41360294],0
p8,1,0.841982,0.039744,[289 221] ; [17 14],[288.46580407 221.53419593] ; [17.53419593 13.46580407],0
v4,1,0.924576,0.008963,[497  15] ; [30  1],[496.91344383  15.08655617] ; [30.08655617  0.91344383],0
a3,1,0.934741,0.006705,[369 146] ; [22  9],[368.8003663 146.1996337] ; [22.1996337  8.8003663],0
n3,1,0.935228,0.006605,[70 25] ; [6 2],[70.09708738 24.90291262] ; [5.90291262 2.09708738],0
s7,1,0.99136,0.000117,[245 246] ; [15 15],[245.02879079 245.97120921] ; [14.97120921 15.02879079],0
