Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.007832,7.071429,[7 1] ; [ 4 10],[4. 4.] ; [7. 7.],0
a7,1,0.028622,4.790192,[7 1] ; [6 9],[4.52173913 3.47826087] ; [8.47826087 6.52173913],0
n4,1,0.063155,3.452522,[5 3] ; [14  1],[6.60869565 1.39130435] ; [12.39130435  2.60869565],0
n5,1,0.063155,3.452522,[5 3] ; [14  1],[6.60869565 1.39130435] ; [12.39130435  2.60869565],0
b2,1,0.084978,2.967033,[1 7] ; [6 6],[2.8 5.2] ; [4.2 7.8],0
b3,1,0.084978,2.967033,[1 7] ; [6 6],[2.8 5.2] ; [4.2 7.8],0
a5,1,0.101302,2.684931,[7 1] ; [8 7],[5.2173913 2.7826087] ; [9.7826087 5.2173913],0
p4,1,0.211346,1.562185,[5 3] ; [12  2],[6.18181818 1.81818182] ; [10.81818182  3.18181818],0
s2,1,0.263128,1.252222,[4 4] ; [ 4 11],[2.7826087 5.2173913] ; [5.2173913 9.7826087],0
a4,1,0.263128,1.252222,[4 4] ; [ 4 11],[2.7826087 5.2173913] ; [5.2173913 9.7826087],0
s5,1,0.303552,1.058523,[3 5] ; [9 6],[4.17391304 3.82608696] ; [7.82608696 7.17391304],0
s3,1,0.303552,1.058523,[5 3] ; [6 9],[3.82608696 4.17391304] ; [7.17391304 7.82608696],0
p3,1,0.435366,0.608466,[4 4] ; [10  5],[4.86956522 3.13043478] ; [9.13043478 5.86956522],0
n6,1,0.482016,0.494298,[6 2] ; [13  2],[6.60869565 1.39130435] ; [12.39130435  2.60869565],0
s6,1,0.590726,0.289211,[5 3] ; [11  4],[5.56521739 2.43478261] ; [10.43478261  4.56521739],0
a6,1,0.590726,0.289211,[5 3] ; [11  4],[5.56521739 2.43478261] ; [10.43478261  4.56521739],0
p6,1,0.601448,0.272817,[1 7] ; [ 3 11],[1.45454545 6.54545455] ; [ 2.54545455 11.45454545],0
v3,1,0.603743,0.269388,[2 5] ; [6 9],[2.54545455 4.45454545] ; [5.45454545 9.54545455],0
r3,1,0.636302,0.223611,[7 1] ; [14  1],[7.30434783 0.69565217] ; [13.69565217  1.30434783],0
d1,1,0.644965,0.212308,[4 4] ; [9 6],[4.52173913 3.47826087] ; [8.47826087 6.52173913],0
b4,1,0.644965,0.212308,[4 4] ; [9 6],[4.52173913 3.47826087] ; [8.47826087 6.52173913],0
v2,1,0.647141,0.209524,[4 3] ; [7 8],[3.5 3.5] ; [7.5 7.5],0
p1,1,0.651291,0.204276,[1 7] ; [ 3 12],[1.39130435 6.60869565] ; [ 2.60869565 12.39130435],0
r4,1,0.651291,0.204276,[7 1] ; [12  3],[6.60869565 1.39130435] ; [12.39130435  2.60869565],0
d3,1,0.651291,0.204276,[7 1] ; [12  3],[6.60869565 1.39130435] ; [12.39130435  2.60869565],0
d4,1,0.781867,0.076667,[6 2] ; [12  3],[6.26086957 1.73913043] ; [11.73913043  3.26086957],0
d2,1,0.841616,0.039931,[5 3] ; [10  5],[5.2173913 2.7826087] ; [9.7826087 5.2173913],0
p2,1,0.847516,0.036975,[6 2] ; [11  3],[6.18181818 1.81818182] ; [10.81818182  3.18181818],0
b1,1,0.878854,0.023232,[4 4] ; [8 7],[4.17391304 3.82608696] ; [7.82608696 7.17391304],0
a8,1,0.8908,0.018849,[1 6] ; [ 2 10],[1.10526316 5.89473684] ; [ 1.89473684 10.10526316],0
p10,1,0.906537,0.013784,[7 1] ; [12  2],[6.90909091 1.09090909] ; [12.09090909  1.90909091],0
v1,1,0.906855,0.01369,[5 3] ; [9 6],[4.86956522 3.13043478] ; [9.13043478 5.86956522],0
b5,1,0.906855,0.01369,[5 3] ; [9 6],[4.86956522 3.13043478] ; [9.13043478 5.86956522],0
d5,1,0.930912,0.007516,[6 2] ; [11  4],[5.91304348 2.08695652] ; [11.08695652  3.91304348],0
a3,1,0.930912,0.007516,[6 2] ; [11  4],[5.91304348 2.08695652] ; [11.08695652  3.91304348],0
p11,1,0.930912,0.007516,[6 2] ; [11  4],[5.91304348 2.08695652] ; [11.08695652  3.91304348],0
u1,1,0.954928,0.003194,[1 7] ; [ 2 13],[1.04347826 6.95652174] ; [ 1.95652174 13.04347826],0
p9,1,0.954928,0.003194,[7 1] ; [13  2],[6.95652174 1.04347826] ; [13.04347826  1.95652174],0
p7,1,1.0,0.0,[4 4] ; [7 7],[4. 4.] ; [7. 7.],0
