Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,38.108479,[4 6] ; [94  3],[9.1588785 0.8411215] ; [88.8411215  8.1588785],1
r4,1,0.0,31.826939,[2 8] ; [88 10],[8.33333333 1.66666667] ; [81.66666667 16.33333333],1
v4,1,1.4e-05,18.868005,[5 5] ; [91  6],[8.97196262 1.02803738] ; [87.02803738  9.97196262],1
s6,1,0.008159,6.998291,[3 7] ; [67 27],[6.73076923 3.26923077] ; [63.26923077 30.73076923],0
n6,1,0.008456,6.934353,[4 6] ; [75 21],[7.45283019 2.54716981] ; [71.54716981 24.45283019],0
d5,1,0.011365,6.407402,[4 6] ; [74 22],[7.35849057 2.64150943] ; [70.64150943 25.35849057],0
r1,1,0.024666,5.047158,[4 6] ; [71 25],[7.0754717 2.9245283] ; [67.9245283 28.0754717],0
s2,1,0.046391,3.967347,[2 8] ; [52 46],[5. 5.] ; [49. 49.],0
d2,1,0.049784,3.848722,[2 8] ; [51 46],[4.95327103 5.04672897] ; [48.04672897 48.95327103],0
p9,1,0.05337,3.732306,[4 6] ; [68 29],[6.72897196 3.27102804] ; [65.27102804 31.72897196],0
s3,1,0.060098,3.534681,[3 7] ; [59 38],[5.79439252 4.20560748] ; [56.20560748 40.79439252],0
v2,1,0.061596,3.493875,[2 8] ; [48 46],[4.80769231 5.19230769] ; [45.19230769 48.80769231],0
s7,1,0.064798,3.41011,[1 7] ; [43 50],[3.48514851 4.51485149] ; [40.51485149 52.48514851],0
d1,1,0.070267,3.27678,[2 8] ; [49 49],[4.72222222 5.27777778] ; [46.27777778 51.72222222],0
n4,1,0.080233,3.060181,[4 6] ; [65 31],[6.50943396 3.49056604] ; [62.49056604 33.50943396],0
s5,1,0.095901,2.772417,[1 9] ; [34 60],[3.36538462 6.63461538] ; [31.63461538 62.36538462],0
a6,1,0.120524,2.410505,[4 6] ; [63 34],[6.26168224 3.73831776] ; [60.73831776 36.26168224],0
n2,1,0.145775,2.115918,[2 2] ; [23  5],[3.125 0.875] ; [21.875  6.125],0
p10,1,0.158196,1.991386,[4 6] ; [61 36],[6.07476636 3.92523364] ; [58.92523364 38.07476636],0
a5,1,0.161125,1.963636,[5 5] ; [70 28],[6.94444444 3.05555556] ; [68.05555556 29.94444444],0
b5,1,0.161125,1.963636,[5 5] ; [70 28],[6.94444444 3.05555556] ; [68.05555556 29.94444444],0
p2,1,0.184721,1.759229,[6 4] ; [77 21],[7.68518519 2.31481481] ; [75.31481481 22.68518519],0
a7,1,0.220956,1.498149,[5 5] ; [67 30],[6.72897196 3.27102804] ; [65.27102804 31.72897196],0
v1,1,0.265443,1.240147,[3 7] ; [47 50],[4.6728972 5.3271028] ; [45.3271028 51.6728972],0
b1,1,0.277941,1.177132,[7 3] ; [51 47],[5.37037037 4.62962963] ; [52.62962963 45.37037037],0
d4,1,0.305887,1.048352,[6 4] ; [72 24],[7.35849057 2.64150943] ; [70.64150943 25.35849057],0
n5,1,0.326823,0.961445,[5 5] ; [63 33],[6.41509434 3.58490566] ; [61.58490566 34.41509434],0
p6,1,0.35139,0.868431,[3 7] ; [44 53],[4.39252336 5.60747664] ; [42.60747664 54.39252336],0
a3,1,0.357633,0.846187,[8 2] ; [63 33],[6.69811321 3.30188679] ; [64.30188679 31.69811321],0
a4,1,0.397887,0.714704,[3 7] ; [43 55],[4.25925926 5.74074074] ; [41.74074074 56.25925926],0
v3,1,0.413102,0.669856,[2 8] ; [31 64],[3.14285714 6.85714286] ; [29.85714286 65.14285714],0
d3,1,0.415074,0.664221,[5 5] ; [60 35],[6.19047619 3.80952381] ; [58.80952381 36.19047619],0
s1,1,0.526006,0.402101,[1 9] ; [ 5 92],[0.56074766 9.43925234] ; [ 5.43925234 91.56074766],0
p3,1,0.546797,0.363087,[6 4] ; [49 49],[5.09259259 4.90740741] ; [49.90740741 48.09259259],0
a8,1,0.558993,0.341451,[1 9] ; [15 72],[1.64948454 8.35051546] ; [14.35051546 72.64948454],0
n1,1,0.726161,0.122665,[2 2] ; [11 16],[1.67741935 2.32258065] ; [11.32258065 15.67741935],0
p4,1,0.779206,0.078598,[5 5] ; [53 44],[5.42056075 4.57943925] ; [52.57943925 44.42056075],0
p8,1,0.899443,0.015968,[4 5] ; [41 56],[3.82075472 5.17924528] ; [41.17924528 55.82075472],0
u2,1,0.900287,0.0157,[1 1] ; [15 18],[0.91428571 1.08571429] ; [15.08571429 17.91428571],0
s4,1,0.916287,0.011049,[2 8] ; [21 77],[2.12962963 7.87037037] ; [20.87037037 77.12962963],0
b4,1,0.950972,0.003781,[5 5] ; [50 48],[5.09259259 4.90740741] ; [49.90740741 48.09259259],0
