Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4e-06,21.443781,[ 21 124] ; [44 66],[ 36.96078431 108.03921569] ; [28.03921569 81.96078431],1
r3,1,2.8e-05,17.558617,[114  32] ; [107   4],[125.54863813  20.45136187] ; [95.45136187 15.54863813],1
v1,1,6.9e-05,15.847347,[ 42 103] ; [58 50],[57.31225296 87.68774704] ; [42.68774704 65.31225296],1
r1,1,0.002364,9.243013,[86 61] ; [85 26],[97.43023256 49.56976744] ; [73.56976744 37.43023256],0
n6,1,0.003219,8.67917,[95 52] ; [91 21],[105.56756757  41.43243243] ; [80.43243243 31.56756757],0
p10,1,0.003928,8.316726,[76 68] ; [79 33],[87.1875 56.8125] ; [67.8125 44.1875],0
b1,1,0.004351,8.131006,[69 78] ; [33 79],[57.89189189 89.10810811] ; [44.10810811 67.89189189],0
d3,1,0.009183,6.786828,[75 70] ; [76 36],[85.19455253 59.80544747] ; [65.80544747 46.19455253],0
d4,1,0.009411,6.743106,[101  46] ; [92 19],[109.96511628  37.03488372] ; [83.03488372 27.96511628],0
s6,1,0.012781,6.199204,[53 93] ; [58 54],[62.81395349 83.18604651] ; [48.18604651 63.81395349],0
p9,1,0.013125,6.152127,[87 58] ; [83 28],[96.2890625 48.7109375] ; [73.7109375 37.2890625],0
d1,1,0.014225,6.010028,[55 92] ; [59 53],[64.7027027 82.2972973] ; [49.2972973 62.7027027],0
p11,1,0.015971,5.806016,[85 62] ; [81 31],[94.21621622 52.78378378] ; [71.78378378 40.21621622],0
p2,1,0.023797,5.109366,[88 57] ; [83 29],[96.47859922 48.52140078] ; [74.52140078 37.47859922],0
d5,1,0.024054,5.090751,[96 50] ; [88 24],[104.12403101  41.87596899] ; [79.87596899 32.12403101],0
a7,1,0.029746,4.723905,[89 57] ; [82 29],[97.14396887 48.85603113] ; [73.85603113 37.14396887],0
r4,1,0.03422,4.483668,[104  43] ; [92 20],[111.24324324  35.75675676] ; [84.75675676 27.24324324],0
a8,1,0.060237,3.530853,[ 18 121] ; [ 6 99],[ 13.67213115 125.32786885] ; [10.32786885 94.67213115],0
v4,1,0.077626,3.113929,[121  26] ; [100  11],[125.91860465  21.08139535] ; [95.08139535 15.91860465],0
r2,1,0.104892,2.629549,[122  23] ; [101  10],[126.30859375  18.69140625] ; [96.69140625 14.30859375],0
p4,1,0.155363,2.018788,[ 41 104] ; [41 71],[46.26459144 98.73540856] ; [35.73540856 76.26459144],0
s8,1,0.166995,1.909717,[ 15 131] ; [18 94],[ 18.6744186 127.3255814] ; [14.3255814 97.6744186],0
n1,1,0.263686,1.249303,[16 38] ; [ 6 26],[13.81395349 40.18604651] ; [ 8.18604651 23.81395349],0
p7,1,0.326359,0.963291,[46 98] ; [42 69],[49.69411765 94.30588235] ; [38.30588235 72.69411765],0
s2,1,0.340261,0.909449,[ 36 110] ; [33 77],[ 39.3515625 106.6484375] ; [29.6484375 80.3515625],0
s5,1,0.345418,0.890219,[ 24 119] ; [23 84],[ 26.884 116.116] ; [20.116 86.884],0
a3,1,0.374851,0.787522,[84 61] ; [71 41],[87.45136187 57.54863813] ; [67.54863813 44.45136187],0
p3,1,0.37973,0.771575,[ 35 111] ; [32 79],[ 38.06225681 107.93774319] ; [28.93774319 82.06225681],0
a4,1,0.427951,0.628378,[50 95] ; [44 68],[53.03501946 91.96498054] ; [40.96498054 71.03501946],0
p5,1,0.446362,0.579874,[  5 141] ; [  6 106],[  6.2248062 139.7751938] ; [  4.7751938 107.2248062],0
a5,1,0.447048,0.578125,[81 66] ; [67 45],[84. 63.] ; [64. 48.],0
a6,1,0.466726,0.529717,[97 50] ; [69 43],[94.21621622 52.78378378] ; [71.78378378 40.21621622],0
b4,1,0.477579,0.504387,[93 54] ; [66 46],[90.24324324 56.75675676] ; [68.75675676 43.24324324],0
b3,1,0.497175,0.460962,[30 55] ; [17 40],[28.13380282 56.86619718] ; [18.86619718 38.13380282],0
b2,1,0.497175,0.460962,[30 55] ; [17 40],[28.13380282 56.86619718] ; [18.86619718 38.13380282],0
n3,1,0.534284,0.386238,[34 19] ; [24 10],[35.33333333 17.66666667] ; [22.66666667 11.33333333],0
n2,1,0.536493,0.382079,[36 19] ; [23  9],[37.29885057 17.70114943] ; [21.70114943 10.29885057],0
n4,1,0.588087,0.293342,[91 56] ; [73 39],[93.08108108 53.91891892] ; [70.91891892 41.08108108],0
p6,1,0.628165,0.234557,[ 17 128] ; [15 94],[ 18.26771654 126.73228346] ; [13.73228346 95.26771654],0
p1,1,0.632126,0.229188,[ 10 137] ; [  6 106],[  9.08108108 137.91891892] ; [  6.91891892 105.08108108],0
a1,1,0.632126,0.229188,[ 10 137] ; [  6 106],[  9.08108108 137.91891892] ; [  6.91891892 105.08108108],0
s1,1,0.637217,0.2224,[  4 142] ; [  2 107],[  3.43529412 142.56470588] ; [  2.56470588 106.43529412],0
s3,1,0.644808,0.212509,[55 91] ; [38 71],[53.24705882 92.75294118] ; [39.75294118 69.24705882],0
