Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,24.803703,[38  8] ; [20 39],[25.40952381 20.59047619] ; [32.59047619 26.40952381],1
p4,1,2e-06,23.132238,[42  4] ; [28 32],[30.37735849 15.62264151] ; [39.62264151 20.37735849],1
p7,1,3.6e-05,17.094656,[40  6] ; [29 31],[29.94339623 16.05660377] ; [39.05660377 20.94339623],1
d1,1,4.2e-05,16.789048,[38  8] ; [26 34],[27.77358491 18.22641509] ; [36.22641509 23.77358491],1
p3,1,0.000298,13.082974,[36 10] ; [26 34],[26.90566038 19.09433962] ; [35.09433962 24.90566038],1
d4,1,0.001568,9.996432,[42  4] ; [39 21],[35.1509434 10.8490566] ; [45.8490566 14.1509434],0
s5,1,0.002185,9.387352,[28 12] ; [21 34],[20.63157895 19.36842105] ; [28.36842105 26.63157895],0
p1,1,0.008854,6.852104,[ 7 39] ; [ 1 59],[ 3.47169811 42.52830189] ; [ 4.52830189 55.47169811],0
p9,1,0.011229,6.428652,[44  2] ; [47 13],[39.49056604  6.50943396] ; [51.50943396  8.49056604],0
p10,1,0.01203,6.306406,[43  3] ; [45 15],[38.18867925  7.81132075] ; [49.81132075 10.18867925],0
d3,1,0.014083,6.027698,[39  7] ; [38 22],[33.41509434 12.58490566] ; [43.58490566 16.41509434],0
d2,1,0.016165,5.78483,[30 16] ; [25 35],[23.86792453 22.13207547] ; [31.13207547 28.86792453],0
b3,1,0.016763,5.721038,[ 9 18] ; [ 3 31],[ 5.31147541 21.68852459] ; [ 6.68852459 27.31147541],0
b2,1,0.016763,5.721038,[ 9 18] ; [ 3 31],[ 5.31147541 21.68852459] ; [ 6.68852459 27.31147541],0
p5,1,0.018992,5.502243,[ 9 37] ; [ 3 57],[ 5.20754717 40.79245283] ; [ 6.79245283 53.20754717],0
p2,1,0.027997,4.82824,[41  5] ; [43 17],[36.45283019  9.54716981] ; [47.54716981 12.45283019],0
p12,1,0.02959,4.732932,[ 7 39] ; [ 2 58],[ 3.90566038 42.09433962] ; [ 5.09433962 54.90566038],0
s7,1,0.030752,4.666735,[33 11] ; [32 27],[27.76699029 16.23300971] ; [37.23300971 21.76699029],0
r1,1,0.043136,4.090078,[41  5] ; [44 16],[36.88679245  9.11320755] ; [48.11320755 11.88679245],0
a2,1,0.055341,3.671784,[15 31] ; [10 50],[10.8490566 35.1509434] ; [14.1509434 45.8490566],0
s8,1,0.065129,3.401711,[29 17] ; [27 33],[24.30188679 21.69811321] ; [31.69811321 28.30188679],0
a6,1,0.066491,3.367582,[34 12] ; [34 26],[29.50943396 16.49056604] ; [38.49056604 21.50943396],0
a4,1,0.12924,2.301609,[26 20] ; [25 35],[22.13207547 23.86792453] ; [28.86792453 31.13207547],0
a5,1,0.161329,1.96172,[37  9] ; [41 19],[33.8490566 12.1509434] ; [44.1509434 15.8490566],0
s6,1,0.196897,1.665245,[39  5] ; [45 12],[36.59405941  7.40594059] ; [47.40594059  9.59405941],0
a7,1,0.208877,1.579196,[33 13] ; [36 24],[29.94339623 16.05660377] ; [39.05660377 20.94339623],0
d5,1,0.218373,1.515034,[39  7] ; [45 15],[36.45283019  9.54716981] ; [47.54716981 12.45283019],0
u1,1,0.226117,1.465119,[13 33] ; [11 49],[10.41509434 35.58490566] ; [13.58490566 46.41509434],0
r4,1,0.229622,1.443199,[42  4] ; [50 10],[39.9245283  6.0754717] ; [52.0754717  7.9245283],0
n3,1,0.230785,1.436017,[4 2] ; [15  2],[4.95652174 1.04347826] ; [14.04347826  2.95652174],0
