Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1.6e-05,18.650066,[39 25] ; [ 4 26],[29.27659574 34.72340426] ; [13.72340426 16.27659574],1
a3,1,7e-05,15.81607,[51 14] ; [11 19],[42.42105263 22.57894737] ; [19.57894737 10.42105263],1
u2,1,0.001754,9.79063,[ 3 10] ; [15  4],[7.3125 5.6875] ; [10.6875  8.3125],0
d2,1,0.004872,7.926508,[40 24] ; [ 9 20],[33.72043011 30.27956989] ; [15.27956989 13.72043011],0
v4,1,0.012581,6.227053,[36 24] ; [25  4],[41.12359551 18.87640449] ; [19.87640449  9.12359551],0
n4,1,0.01538,5.872462,[47 18] ; [14 16],[41.73684211 23.26315789] ; [19.26315789 10.73684211],0
b4,1,0.024276,5.074786,[34 31] ; [23  7],[39. 26.] ; [18. 12.],0
a6,1,0.070887,3.262363,[45 20] ; [15 15],[41.05263158 23.94736842] ; [18.94736842 11.05263158],0
u1,1,0.087937,2.911741,[10 55] ; [ 1 29],[ 7.52631579 57.47368421] ; [ 3.47368421 26.52631579],0
p9,1,0.10035,2.699976,[42 20] ; [15 15],[38.41304348 23.58695652] ; [18.58695652 11.41304348],0
a1,1,0.120665,2.408673,[ 9 56] ; [ 1 29],[ 6.84210526 58.15789474] ; [ 3.15789474 26.84210526],0
b1,1,0.124981,2.353764,[37 28] ; [12 18],[33.52631579 31.47368421] ; [15.47368421 14.52631579],0
d1,1,0.133392,2.252581,[43 22] ; [15 15],[39.68421053 25.31578947] ; [18.31578947 11.68421053],0
p3,1,0.143547,2.139515,[24 38] ; [ 7 23],[20.89130435 41.10869565] ; [10.10869565 19.89130435],0
p4,1,0.151552,2.056559,[30 34] ; [ 9 20],[26.83870968 37.16129032] ; [12.16129032 16.83870968],0
s4,1,0.181237,1.787454,[ 8 56] ; [ 7 23],[10.21276596 53.78723404] ; [ 4.78723404 25.21276596],0
n1,1,0.198349,1.654486,[11 17] ; [ 3 12],[ 9.11627907 18.88372093] ; [ 4.88372093 10.11627907],0
p2,1,0.201114,1.634269,[34 28] ; [20  9],[36.79120879 25.20879121] ; [17.20879121 11.79120879],0
n5,1,0.235991,1.404384,[41 21] ; [16 14],[38.41304348 23.58695652] ; [18.58695652 11.41304348],0
p1,1,0.240043,1.380341,[ 7 58] ; [ 1 28],[ 5.53191489 59.46808511] ; [ 2.46808511 26.53191489],0
v1,1,0.308604,1.036642,[25 36] ; [ 9 21],[22.79120879 38.20879121] ; [11.20879121 18.79120879],0
r3,1,0.319256,0.991991,[36 26] ; [20  9],[38.15384615 23.84615385] ; [17.84615385 11.15384615],0
s8,1,0.365892,0.817569,[16 48] ; [ 5 25],[14.29787234 49.70212766] ; [ 6.70212766 23.29787234],0
d4,1,0.402686,0.700289,[56  9] ; [23  6],[54.62765957 10.37234043] ; [24.37234043  4.62765957],0
u3,1,0.430168,0.62237,[5 8] ; [10  9],[6.09375 6.90625] ; [ 8.90625 10.09375],0
b5,1,0.440169,0.595843,[38 27] ; [15 15],[36.26315789 28.73684211] ; [16.73684211 13.26315789],0
s3,1,0.45943,0.547283,[24 36] ; [14 15],[25.61797753 34.38202247] ; [12.38202247 16.61797753],0
n6,1,0.467242,0.528491,[40 22] ; [17 13],[38.41304348 23.58695652] ; [18.58695652 11.41304348],0
r2,1,0.481198,0.496147,[39 18] ; [17 11],[37.55294118 19.44705882] ; [18.44705882  9.55294118],0
p6,1,0.491249,0.47379,[17 45] ; [ 6 23],[15.67032967 46.32967033] ; [ 7.32967033 21.67032967],0
s5,1,0.510713,0.432606,[13 48] ; [ 8 21],[14.23333333 46.76666667] ; [ 6.76666667 22.23333333],0
p5,1,0.620308,0.245435,[ 9 55] ; [ 3 26],[ 8.25806452 55.74193548] ; [ 3.74193548 25.25806452],0
s7,1,0.639271,0.219697,[23 35] ; [10 19],[22. 36.] ; [11. 18.],0
s6,1,0.639684,0.219156,[28 34] ; [12 18],[26.95652174 35.04347826] ; [13.04347826 16.95652174],0
s1,1,0.677266,0.173219,[ 3 62] ; [ 2 28],[ 3.42105263 61.57894737] ; [ 1.57894737 28.42105263],0
