Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,6.4e-05,15.981177,[124  25] ; [29 23],[113.41791045  35.58208955] ; [39.58208955 12.41791045],1
p11,1,0.000101,15.114137,[120  31] ; [28 26],[109.01463415  41.98536585] ; [38.98536585 15.01463415],1
n5,1,0.000124,14.723872,[113  38] ; [25 29],[101.64878049  49.35121951] ; [36.35121951 17.64878049],1
p9,1,0.000483,12.182032,[128  21] ; [33 19],[119.34825871  29.65174129] ; [41.65174129 10.34825871],1
s6,1,0.001096,10.657098,[120  28] ; [31 22],[111.1840796  36.8159204] ; [39.8159204 13.1840796],0
n4,1,0.001354,10.268018,[116  35] ; [29 25],[106.80487805  44.19512195] ; [38.19512195 15.80487805],0
r4,1,0.001618,9.939497,[134  17] ; [38 16],[126.69268293  24.30731707] ; [45.30731707  8.69268293],0
r3,1,0.002516,9.129017,[146   5] ; [45  8],[141.37745098   9.62254902] ; [49.62254902  3.37745098],0
p2,1,0.003641,8.454492,[117  33] ; [31 23],[108.82352941  41.17647059] ; [39.17647059 14.82352941],0
s8,1,0.008451,6.935411,[79 72] ; [17 37],[70.71219512 80.28780488] ; [25.28780488 28.71219512],0
v2,1,0.021273,5.304287,[81 59] ; [19 30],[74.07407407 65.92592593] ; [25.92592593 23.07407407],0
a2,1,0.027845,4.837642,[ 31 120] ; [ 4 50],[ 25.7804878 125.2195122] ; [ 9.2195122 44.7804878],0
p7,1,0.031403,4.630798,[78 65] ; [18 31],[71.5 71.5] ; [24.5 24.5],0
p8,1,0.039851,4.224202,[55 95] ; [11 41],[ 49.00990099 100.99009901] ; [16.99009901 35.00990099],0
d5,1,0.044291,4.045447,[118  33] ; [34 19],[112.50980392  38.49019608] ; [39.49019608 13.50980392],0
a1,1,0.05977,3.543761,[  3 148] ; [ 4 50],[  5.15609756 145.84390244] ; [ 1.84390244 52.15609756],0
u1,1,0.119093,2.429204,[ 24 127] ; [ 4 50],[ 20.62439024 130.37560976] ; [ 7.37560976 46.62439024],0
n3,1,0.129275,2.301188,[30 10] ; [13 10],[27.3015873 12.6984127] ; [15.6984127  7.3015873],0
d4,1,0.135721,2.225818,[116  35] ; [45  7],[119.75862069  31.24137931] ; [41.24137931 10.75862069],0
u2,1,0.151861,2.053462,[23 26] ; [12  6],[25.59701493 23.40298507] ; [9.40298507 8.59701493],0
a5,1,0.1722,1.863682,[97 54] ; [29 25],[92.8097561 58.1902439] ; [33.1902439 20.8097561],0
v3,1,0.175451,1.835738,[54 94] ; [13 37],[50.08080808 97.91919192] ; [16.91919192 33.08080808],0
s5,1,0.190306,1.715249,[53 91] ; [13 36],[49.24352332 94.75647668] ; [16.75647668 32.24352332],0
a4,1,0.21453,1.540592,[62 89] ; [17 37],[58.1902439 92.8097561] ; [20.8097561 33.1902439],0
d3,1,0.246774,1.341475,[86 65] ; [35 18],[89.56372549 61.43627451] ; [31.43627451 21.56372549],0
s2,1,0.282409,1.155462,[107  44] ; [34 20],[103.85853659  47.14146341] ; [37.14146341 16.85853659],0
b4,1,0.298632,1.080292,[96 55] ; [30 24],[92.8097561 58.1902439] ; [33.1902439 20.8097561],0
r2,1,0.309014,1.034886,[145   4] ; [50  3],[143.83663366   5.16336634] ; [51.16336634  1.83663366],0
u3,1,0.316651,1.002731,[27 22] ; [13  6],[28.82352941 20.17647059] ; [11.17647059  7.82352941],0
b1,1,0.32786,0.957331,[53 98] ; [23 31],[55.9804878 95.0195122] ; [20.0195122 33.9804878],0
v4,1,0.346591,0.885898,[139  11] ; [46  6],[137.37623762  12.62376238] ; [47.62376238  4.37623762],0
s1,1,0.40735,0.686522,[  7 143] ; [ 4 48],[  8.16831683 141.83168317] ; [ 2.83168317 49.16831683],0
p1,1,0.423846,0.639625,[  9 140] ; [ 5 49],[ 10.27586207 138.72413793] ; [ 3.72413793 50.27586207],0
s4,1,0.437687,0.602339,[ 31 118] ; [14 40],[ 33.02955665 115.97044335] ; [11.97044335 42.02955665],0
s7,1,0.461071,0.543292,[82 67] ; [24 25],[79.76767677 69.23232323] ; [26.23232323 22.76767677],0
a7,1,0.48199,0.494358,[103  48] ; [34 20],[100.91219512  50.08780488] ; [36.08780488 17.91219512],0
a8,1,0.601948,0.272068,[ 23 116] ; [ 7 45],[ 21.83246073 117.16753927] ; [ 8.16753927 43.83246073],0
d1,1,0.610759,0.259072,[76 75] ; [25 29],[74.39512195 76.60487805] ; [26.60487805 27.39512195],0
a3,1,0.624535,0.239545,[102  47] ; [35 19],[100.55665025  48.44334975] ; [36.44334975 17.55665025],0
b5,1,0.650462,0.205318,[92 59] ; [31 23],[90.6 60.4] ; [32.4 21.6],0
d2,1,0.656687,0.197573,[68 83] ; [22 31],[66.61764706 84.38235294] ; [23.38235294 29.61764706],0
p5,1,0.752856,0.099146,[  4 146] ; [ 1 52],[  3.69458128 146.30541872] ; [ 1.30541872 51.69458128],0
n1,1,0.79367,0.068407,[17 23] ; [ 9 14],[16.50793651 23.49206349] ; [ 9.49206349 13.50793651],0
p12,1,0.804815,0.061068,[  7 143] ; [ 2 50],[  6.68316832 143.31683168] ; [ 2.31683168 49.68316832],0
b2,1,0.875812,0.024424,[34 57] ; [ 9 14],[34.3245614 56.6754386] ; [ 8.6754386 14.3245614],0
b3,1,0.875812,0.024424,[34 57] ; [ 9 14],[34.3245614 56.6754386] ; [ 8.6754386 14.3245614],0
n2,1,0.87592,0.024381,[31  9] ; [19  5],[31.25  8.75] ; [18.75  5.25],0
r1,1,0.91238,0.012108,[115  35] ; [41 13],[114.70588235  35.29411765] ; [41.29411765 12.70588235],0
a6,1,0.915338,0.011301,[95 55] ; [34 19],[95.32019704 54.67980296] ; [33.67980296 19.32019704],0
p3,1,0.919741,0.010153,[ 36 115] ; [13 40],[ 36.26960784 114.73039216] ; [12.73039216 40.26960784],0
p6,1,0.93535,0.00658,[ 30 119] ; [10 41],[ 29.8 119.2] ; [10.2 40.8],0
v1,1,0.948275,0.004208,[69 76] ; [24 27],[68.80102041 76.19897959] ; [24.19897959 26.80102041],0
