Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000107,15.007215,[ 4 40] ; [11 10],[10.15384615 33.84615385] ; [ 4.84615385 16.15384615],1
s7,1,0.004201,8.194811,[ 4 36] ; [ 8 11],[ 8.13559322 31.86440678] ; [ 3.86440678 15.13559322],0
s8,1,0.01762,5.633568,[ 1 43] ; [ 4 17],[ 3.38461538 40.61538462] ; [ 1.61538462 19.38461538],0
s1,1,0.021127,5.316325,[ 2 41] ; [ 5 16],[ 4.703125 38.296875] ; [ 2.296875 18.703125],0
a3,1,0.022362,5.217434,[19 24] ; [15  5],[23.20634921 19.79365079] ; [10.79365079  9.20634921],0
d4,1,0.033098,4.540716,[23 20] ; [17  4],[26.875 16.125] ; [13.125  7.875],0
p6,1,0.036378,4.379315,[ 4 39] ; [ 6 14],[ 6.82539683 36.17460317] ; [ 3.17460317 16.82539683],0
p7,1,0.03915,4.254354,[ 8 35] ; [ 9 12],[11.421875 31.578125] ; [ 5.578125 15.421875],0
d2,1,0.048595,3.889286,[15 27] ; [13  8],[18.66666667 23.33333333] ; [ 9.33333333 11.66666667],0
b2,1,0.071108,3.257256,[11 15] ; [ 2 12],[ 8.45 17.55] ; [4.55 9.45],0
b3,1,0.071108,3.257256,[11 15] ; [ 2 12],[ 8.45 17.55] ; [4.55 9.45],0
s4,1,0.083574,2.993982,[ 5 39] ; [ 6 15],[ 7.44615385 36.55384615] ; [ 3.55384615 17.44615385],0
n1,1,0.087356,2.922431,[ 5 18] ; [6 6],[ 7.22857143 15.77142857] ; [3.77142857 8.22857143],0
p9,1,0.101561,2.680851,[ 8 34] ; [ 8 13],[10.66666667 31.33333333] ; [ 5.33333333 15.66666667],0
v1,1,0.131695,2.272406,[10 33] ; [ 8 11],[12.48387097 30.51612903] ; [ 5.51612903 13.48387097],0
s6,1,0.144632,2.127976,[11 33] ; [ 9 12],[13.53846154 30.46153846] ; [ 6.46153846 14.53846154],0
a4,1,0.173482,1.852592,[13 30] ; [10 11],[15.453125 27.546875] ; [ 7.546875 13.453125],0
p4,1,0.195367,1.67667,[10 34] ; [ 8 13],[12.18461538 31.81538462] ; [ 5.81538462 15.18461538],0
a5,1,0.214753,1.539092,[20 24] ; [13  8],[22.33846154 21.66153846] ; [10.66153846 10.33846154],0
b4,1,0.214753,1.539092,[24 20] ; [ 8 13],[21.66153846 22.33846154] ; [10.33846154 10.66153846],0
p2,1,0.220392,1.501819,[16 28] ; [11 10],[18.27692308 25.72307692] ; [ 8.72307692 12.27692308],0
b5,1,0.257516,1.282062,[25 19] ; [15  6],[27.07692308 16.92307692] ; [12.92307692  8.07692308],0
p8,1,0.264037,1.247466,[ 6 38] ; [ 5 15],[ 7.5625 36.4375] ; [ 3.4375 16.5625],0
p3,1,0.289115,1.12374,[ 8 36] ; [ 6 14],[ 9.625 34.375] ; [ 4.375 15.625],0
s5,1,0.31315,1.017344,[ 5 39] ; [ 4 15],[ 6.28571429 37.71428571] ; [ 2.71428571 16.28571429],0
u2,1,0.332922,0.9375,[ 7 17] ; [3 3],[ 8. 16.] ; [2. 4.],0
r3,1,0.370028,0.803571,[17 25] ; [11 10],[18.66666667 23.33333333] ; [ 9.33333333 11.66666667],0
p11,1,0.376644,0.781626,[12 32] ; [ 8 13],[13.53846154 30.46153846] ; [ 6.46153846 14.53846154],0
v3,1,0.402323,0.701372,[10 33] ; [ 3 18],[ 8.734375 34.265625] ; [ 4.265625 16.734375],0
r1,1,0.498047,0.459096,[ 9 34] ; [ 6 15],[10.078125 32.921875] ; [ 4.921875 16.078125],0
n2,1,0.537371,0.380435,[ 9 14] ; [6 6],[ 9.85714286 13.14285714] ; [5.14285714 6.85714286],0
u3,1,0.568855,0.324601,[ 7 18] ; [1 5],[ 6.4516129 18.5483871] ; [1.5483871 4.4516129],0
a1,1,0.571754,0.319756,[ 6 38] ; [ 4 17],[ 6.76923077 37.23076923] ; [ 3.23076923 17.76923077],0
p12,1,0.586817,0.295343,[ 1 43] ; [ 1 20],[ 1.35384615 42.64615385] ; [ 0.64615385 20.35384615],0
a6,1,0.589754,0.290729,[22 22] ; [12  9],[23.01538462 20.98461538] ; [10.98461538 10.01538462],0
a2,1,0.636942,0.222763,[ 6 38] ; [ 2 19],[ 5.41538462 38.58461538] ; [ 2.58461538 18.41538462],0
v4,1,0.652615,0.202619,[22 21] ; [12  9],[22.84375 20.15625] ; [11.15625  9.84375],0
d5,1,0.697147,0.151457,[25 19] ; [13  8],[25.72307692 18.27692308] ; [12.27692308  8.72307692],0
u1,1,0.70185,0.146555,[ 3 41] ; [ 2 19],[ 3.38461538 40.61538462] ; [ 1.61538462 19.38461538],0
v2,1,0.711326,0.136957,[16 26] ; [ 7 14],[15.33333333 26.66666667] ; [ 7.66666667 13.33333333],0
a8,1,0.714393,0.133929,[ 3 37] ; [ 1 19],[ 2.66666667 37.33333333] ; [ 1.33333333 18.66666667],0
d1,1,0.745304,0.105519,[17 27] ; [ 9 12],[17.6 26.4] ; [ 8.4 12.6],0
r2,1,0.781356,0.077036,[21 20] ; [11  9],[21.50819672 19.49180328] ; [10.49180328  9.50819672],0
d3,1,0.857497,0.032242,[22 22] ; [11 10],[22.33846154 21.66153846] ; [10.66153846 10.33846154],0
a7,1,0.857714,0.032143,[19 23] ; [ 9 12],[18.66666667 23.33333333] ; [ 9.33333333 11.66666667],0
n6,1,0.858569,0.031754,[21 21] ; [10 11],[20.66666667 21.33333333] ; [10.33333333 10.66666667],0
b1,1,0.881518,0.022215,[26 18] ; [12  9],[25.72307692 18.27692308] ; [12.27692308  8.72307692],0
n3,1,0.902785,0.014919,[11 12] ; [6 6],[11.17142857 11.82857143] ; [5.82857143 6.17142857],0
n5,1,0.91985,0.010125,[24 19] ; [12  9],[24.1875 18.8125] ; [11.8125  9.1875],0
n4,1,0.939573,0.005747,[25 18] ; [12  9],[24.859375 18.140625] ; [12.140625  8.859375],0
p1,1,0.955034,0.003179,[ 4 40] ; [ 2 19],[ 4.06153846 39.93846154] ; [ 1.93846154 19.06153846],0
