Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,40.772168,[406  14] ; [7 5],[401.52777778  18.47222222] ; [11.47222222  0.52777778],1
r4,1,0.0,31.574455,[395  27] ; [6 6],[389.9124424  32.0875576] ; [11.0875576  0.9124424],1
r1,1,5e-06,20.891493,[368  52] ; [5 7],[362.63888889  57.36111111] ; [10.36111111  1.63888889],1
a5,1,0.000155,14.306616,[370  52] ; [6 6],[365.60368664  56.39631336] ; [10.39631336  1.60368664],1
s7,1,0.005076,7.852332,[235 171] ; [1 8],[230.88192771 175.11807229] ; [5.11807229 3.88192771],0
a7,1,0.005209,7.805461,[323  98] ; [5 7],[318.90993072 102.09006928] ; [9.09006928 2.90993072],0
a3,1,0.024171,5.082353,[350  70] ; [7 5],[347.08333333  72.91666667] ; [9.91666667 2.08333333],0
a2,1,0.032833,4.554484,[163 259] ; [ 1 11],[159.46543779 262.53456221] ; [4.53456221 7.46543779],0
r3,1,0.035905,4.401591,[402  17] ; [10  2],[400.52900232  18.47099768] ; [11.47099768  0.52900232],0
p5,1,0.05384,3.717651,[ 57 361] ; [4 8],[ 59.29767442 358.70232558] ; [ 1.70232558 10.29767442],0
a6,1,0.057468,3.608998,[312 107] ; [6 6],[309.14617169 109.85382831] ; [8.85382831 3.14617169],0
p7,1,0.062358,3.47354,[277 134] ; [5 7],[274. 137.] ; [8. 4.],0
d5,1,0.091786,2.842767,[412   7] ; [11  1],[411.22273782   7.77726218] ; [11.77726218  0.22273782],0
b2,1,0.107294,2.593637,[113 164] ; [1 7],[110.8 166.2] ; [3.2 4.8],0
b3,1,0.107294,2.593637,[113 164] ; [1 7],[110.8 166.2] ; [3.2 4.8],0
s3,1,0.11274,2.515381,[249 165] ; [4 7],[246.45176471 167.54823529] ; [6.54823529 4.45176471],0
v2,1,0.123773,2.368921,[252 158] ; [10  2],[254.54976303 155.45023697] ; [7.45023697 4.54976303],0
p6,1,0.19998,1.642519,[180 233] ; [3 9],[177.83294118 235.16705882] ; [5.16705882 6.83294118],0
p3,1,0.300669,1.071224,[237 181] ; [5 7],[235.24651163 182.75348837] ; [6.75348837 5.24651163],0
u3,1,0.351966,0.866355,[44 28] ; [2 3],[43.01298701 28.98701299] ; [2.98701299 2.01298701],0
s1,1,0.357557,0.846455,[ 14 401] ; [ 1 11],[ 14.57845433 400.42154567] ; [ 0.42154567 11.57845433],0
u2,1,0.365819,0.817818,[43 28] ; [2 3],[42.03947368 28.96052632] ; [2.96052632 2.03947368],0
s5,1,0.374971,0.787126,[151 251] ; [3 9],[149.53623188 252.46376812] ; [4.46376812 7.53623188],0
p11,1,0.386931,0.748565,[346  76] ; [11  1],[347.12903226  74.87096774] ; [9.87096774 2.12903226],0
n6,1,0.391622,0.7339,[380  39] ; [10  2],[379.14153132  39.85846868] ; [10.85846868  1.14153132],0
a4,1,0.393298,0.72872,[261 159] ; [6 6],[259.58333333 160.41666667] ; [7.41666667 4.58333333],0
s8,1,0.418897,0.653407,[223 194] ; [5 7],[221.62237762 195.37762238] ; [6.37762238 5.62237762],0
p1,1,0.426772,0.631591,[ 41 381] ; [ 2 10],[ 41.81105991 380.18894009] ; [ 1.18894009 10.81105991],0
v3,1,0.428928,0.625724,[188 214] ; [7 5],[189.34782609 212.65217391] ; [5.65217391 6.34782609],0
n3,1,0.484167,0.489462,[58 22] ; [1 1],[57.56097561 22.43902439] ; [1.43902439 0.56097561],0
p2,1,0.495889,0.463724,[354  65] ; [11  1],[354.83758701  64.16241299] ; [10.16241299  1.83758701],0
n2,1,0.505564,0.443237,[58 23] ; [1 1],[57.57831325 23.42168675] ; [1.42168675 0.57831325],0
v1,1,0.528683,0.396921,[244 169] ; [6 6],[242.94117647 170.05882353] ; [7.05882353 4.94117647],0
p9,1,0.551818,0.354071,[367  51] ; [9 2],[366.35897436  51.64102564] ; [9.64102564 1.35897436],0
p10,1,0.586391,0.296016,[357  63] ; [10  1],[357.63341067  62.36658933] ; [9.36658933 1.63341067],0
b4,1,0.594331,0.283631,[249 173] ; [8 4],[249.89400922 172.10599078] ; [7.10599078 4.89400922],0
n5,1,0.596616,0.28013,[371  49] ; [10  2],[370.41666667  49.58333333] ; [10.58333333  1.41666667],0
p4,1,0.62827,0.234414,[286 132] ; [9 3],[286.76744186 131.23255814] ; [8.23255814 3.76744186],0
a8,1,0.641271,0.217083,[ 57 314] ; [1 9],[ 56.47769029 314.52230971] ; [1.52230971 8.47769029],0
p8,1,0.658726,0.195075,[233 180] ; [6 6],[232.25176471 180.74823529] ; [6.74823529 5.25176471],0
d3,1,0.67346,0.177582,[368  52] ; [11  1],[368.47222222  51.52777778] ; [10.52777778  1.47222222],0
s6,1,0.691228,0.157759,[287 125] ; [9 3],[287.62264151 124.37735849] ; [8.37735849 3.62264151],0
p12,1,0.827713,0.047365,[ 43 376] ; [ 1 11],[ 42.774942 376.225058] ; [ 1.225058 10.774942],0
s4,1,0.852529,0.034556,[ 61 353] ; [ 2 10],[ 61.22535211 352.77464789] ; [ 1.77464789 10.22535211],0
s2,1,0.874342,0.02501,[238 180] ; [6 5],[237.74358974 180.25641026] ; [6.25641026 4.74358974],0
b1,1,0.883779,0.021369,[167 255] ; [5 7],[167.24423963 254.75576037] ; [4.75576037 7.24423963],0
b5,1,0.910139,0.012738,[253 169] ; [7 5],[252.81105991 169.18894009] ; [7.18894009 4.81105991],0
d2,1,0.919548,0.010202,[318  99] ; [9 3],[317.85314685  99.14685315] ; [9.14685315 2.85314685],0
