Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.004053,8.259821,[23  5] ; [1 4],[20.36363636  7.63636364] ; [3.63636364 1.36363636],0
s1,1,0.038118,4.299754,[ 2 26] ; [2 3],[ 3.39393939 24.60606061] ; [0.60606061 4.39393939],0
p9,1,0.075267,3.164256,[17 10] ; [1 4],[15.1875 11.8125] ; [2.8125 2.1875],0
p6,1,0.169686,1.885714,[ 4 24] ; [2 3],[ 5.09090909 22.90909091] ; [0.90909091 4.09090909],0
d3,1,0.270713,1.213131,[15 13] ; [4 1],[16.12121212 11.87878788] ; [2.87878788 2.12121212],0
p10,1,0.305963,1.048022,[18 10] ; [2 3],[16.96969697 11.03030303] ; [3.03030303 1.96969697],0
n3,1,0.314648,1.011065,[ 9 10] ; [3 1],[9.91304348 9.08695652] ; [2.08695652 1.91304348],0
n2,1,0.315286,1.008403,[15  5] ; [2 2],[14.16666667  5.83333333] ; [2.83333333 1.16666667],0
v4,1,0.372078,0.796714,[22  6] ; [3 2],[21.21212121  6.78787879] ; [3.78787879 1.21212121],0
s2,1,0.372078,0.796714,[ 6 22] ; [2 3],[ 6.78787879 21.21212121] ; [1.21212121 3.78787879],0
n5,1,0.372078,0.796714,[22  6] ; [3 2],[21.21212121  6.78787879] ; [3.78787879 1.21212121],0
s6,1,0.425213,0.635861,[11 16] ; [3 2],[11.8125 15.1875] ; [2.1875 2.8125],0
b5,1,0.478247,0.502857,[16 12] ; [2 3],[15.27272727 12.72727273] ; [2.72727273 2.27272727],0
d1,1,0.478247,0.502857,[12 16] ; [3 2],[12.72727273 15.27272727] ; [2.27272727 2.72727273],0
a7,1,0.478247,0.502857,[16 12] ; [2 3],[15.27272727 12.72727273] ; [2.72727273 2.27272727],0
v1,1,0.492331,0.471429,[10 18] ; [1 4],[ 9.33333333 18.66666667] ; [1.66666667 3.33333333],0
n1,1,0.571608,0.32,[12  8] ; [3 1],[12.5  7.5] ; [2.5 1.5],0
n6,1,0.586287,0.29618,[19  9] ; [4 1],[19.51515152  8.48484848] ; [3.48484848 1.51515152],0
s7,1,0.592104,0.287071,[ 9 16] ; [2 2],[ 9.48275862 15.51724138] ; [1.51724138 2.48275862],0
p7,1,0.59298,0.285714,[ 7 18] ; [2 3],[ 7.5 17.5] ; [1.5 3.5],0
p2,1,0.626354,0.237037,[14 13] ; [2 3],[13.5 13.5] ; [2.5 2.5],0
v3,1,0.645845,0.211178,[ 8 19] ; [2 3],[ 8.4375 18.5625] ; [1.5625 3.4375],0
d4,1,0.73137,0.117857,[19  9] ; [3 2],[18.66666667  9.33333333] ; [3.33333333 1.66666667],0
n4,1,0.73137,0.117857,[19  9] ; [3 2],[18.66666667  9.33333333] ; [3.33333333 1.66666667],0
p1,1,0.742715,0.107755,[ 4 24] ; [1 4],[ 4.24242424 23.75757576] ; [0.75757576 4.24242424],0
p4,1,0.773117,0.083117,[ 9 18] ; [2 3],[ 9.28125 17.71875] ; [1.71875 3.28125],0
r2,1,0.77864,0.079012,[20  7] ; [4 1],[20.25  6.75] ; [3.75 1.25],0
v2,1,0.77864,0.079012,[ 7 20] ; [1 4],[ 6.75 20.25] ; [1.25 3.75],0
s5,1,0.810088,0.05775,[ 7 21] ; [1 4],[ 6.78787879 21.21212121] ; [1.21212121 3.78787879],0
s3,1,0.817734,0.053112,[ 9 17] ; [2 3],[ 9.22580645 16.77419355] ; [1.77419355 3.22580645],0
p8,1,0.854,0.033862,[12 15] ; [2 3],[11.8125 15.1875] ; [2.1875 2.8125],0
a5,1,0.854403,0.033673,[18 10] ; [3 2],[17.81818182 10.18181818] ; [3.18181818 1.81818182],0
a3,1,0.880212,0.022711,[20  6] ; [4 1],[20.12903226  5.87096774] ; [3.87096774 1.12903226],0
a4,1,0.899963,0.015802,[10 17] ; [2 3],[10.125 16.875] ; [1.875 3.125],0
p3,1,0.975287,0.00096,[11 16] ; [2 3],[10.96875 16.03125] ; [2.03125 2.96875],0
d2,1,0.97598,0.000907,[11 17] ; [2 3],[11.03030303 16.96969697] ; [1.96969697 3.03030303],0
d5,1,0.97598,0.000907,[17 11] ; [3 2],[16.96969697 11.03030303] ; [3.03030303 1.96969697],0
r4,1,0.97598,0.000907,[11 17] ; [2 3],[11.03030303 16.96969697] ; [1.96969697 3.03030303],0
