Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,49.996447,[232 101] ; [ 86 133],[191.83695652 141.16304348] ; [126.16304348  92.83695652],1
v3,1,0.0,32.54108,[176 157] ; [ 63 159],[143.4 189.6] ; [ 95.6 126.4],1
p10,1,5.4e-05,16.289131,[310  27] ; [181  44],[294.4252669  42.5747331] ; [196.5747331  28.4252669],1
p3,1,0.00043,12.397698,[208 134] ; [103 122],[187.58730159 154.41269841] ; [123.41269841 101.58730159],1
p4,1,0.000703,11.479978,[254  87] ; [138  88],[235.75308642 105.24691358] ; [156.24691358  69.75308642],1
s8,1,0.000913,10.996994,[180 159] ; [ 87 137],[160.76909414 178.23090586] ; [106.23090586 117.76909414],1
a3,1,0.000962,10.900174,[268  72] ; [150  76],[251.09540636  88.90459364] ; [166.90459364  59.09540636],1
r4,1,0.002311,9.284816,[324  18] ; [198  28],[314.3028169  27.6971831] ; [207.6971831  18.3028169],0
d4,1,0.003631,8.459555,[293  48] ; [171  53],[280.04247788  60.95752212] ; [183.95752212  40.04247788],0
p7,1,0.005225,7.799883,[250  84] ; [141  80],[235.3045045  98.6954955] ; [155.6954955  65.3045045],0
d1,1,0.006679,7.35724,[222 120] ; [121 105],[206.52464789 135.47535211] ; [136.47535211  89.52464789],0
a5,1,0.007526,7.14299,[270  72] ; [156  70],[256.5  85.5] ; [169.5  56.5],0
r1,1,0.008892,6.844345,[291  49] ; [174  52],[279.32862191  60.67137809] ; [185.67137809  40.32862191],0
p9,1,0.011037,6.459298,[311  26] ; [190  32],[302.03398927  34.96601073] ; [198.96601073  23.03398927],0
p8,1,0.017745,5.621158,[217 117] ; [122 100],[203.64388489 130.35611511] ; [135.35611511  86.64388489],0
p5,1,0.020476,5.370851,[ 57 285] ; [ 22 203],[ 47.65079365 294.34920635] ; [ 31.34920635 193.65079365],0
r2,1,0.020818,5.341989,[327  12] ; [207  18],[320.96808511  18.03191489] ; [213.03191489  11.96808511],0
p12,1,0.023236,5.150759,[ 37 304] ; [ 12 212],[ 29.57345133 311.42654867] ; [ 19.42654867 204.57345133],0
p6,1,0.032841,4.554037,[156 180] ; [ 84 141],[143.74331551 192.25668449] ; [ 96.25668449 128.74331551],0
r3,1,0.032968,4.547431,[330  10] ; [208  15],[324.90230906  15.09769094] ; [213.09769094   9.90230906],0
a2,1,0.047747,3.91887,[ 98 244] ; [ 48 178],[ 87.9084507 254.0915493] ; [ 58.0915493 167.9084507],0
d5,1,0.049065,3.873138,[293  48] ; [180  46],[284.46737213  56.53262787] ; [188.53262787  37.46737213],0
s5,1,0.071618,3.245534,[132 198] ; [ 71 148],[122.02185792 207.97814208] ; [ 80.97814208 138.02185792],0
u1,1,0.087341,2.922706,[ 76 266] ; [ 37 189],[ 68.03873239 273.96126761] ; [ 44.96126761 181.03873239],0
s4,1,0.091158,2.853813,[ 50 288] ; [ 45 177],[ 57.33928571 280.66071429] ; [ 37.66071429 184.33928571],0
s1,1,0.108078,2.582102,[  5 330] ; [  8 215],[  7.8046595 327.1953405] ; [  5.1953405 217.8046595],0
b5,1,0.112739,2.515405,[212 130] ; [125 101],[202.91197183 139.08802817] ; [134.08802817  91.91197183],0
n4,1,0.146145,2.112032,[309  32] ; [196  30],[303.71252205  37.28747795] ; [201.28747795  24.71252205],0
p11,1,0.184391,1.761874,[290  52] ; [182  44],[284.1971831  57.8028169] ; [187.8028169  38.1971831],0
u3,1,0.187807,1.73474,[43 31] ; [36 40],[38.97333333 35.02666667] ; [40.02666667 35.97333333],0
d3,1,0.193003,1.694543,[247  95] ; [151  74],[240.06349206 101.93650794] ; [157.93650794  67.06349206],0
n1,1,0.207644,1.587777,[25 27] ; [21 37],[21.74545455 30.25454545] ; [24.25454545 33.74545455],0
b2,1,0.207985,1.585399,[ 94 130] ; [42 78],[ 88.55813953 135.44186047] ; [47.44186047 72.55813953],0
b3,1,0.207985,1.585399,[ 94 130] ; [42 78],[ 88.55813953 135.44186047] ; [47.44186047 72.55813953],0
a1,1,0.221213,1.496484,[ 16 326] ; [  6 220],[ 13.24647887 328.75352113] ; [  8.75352113 217.24647887],0
a4,1,0.227434,1.45684,[165 175] ; [ 98 128],[157.98586572 182.01413428] ; [105.01413428 120.98586572],0
s6,1,0.237732,1.393994,[245  90] ; [150  69],[238.85379061  96.14620939] ; [156.14620939  62.85379061],0
d2,1,0.264181,1.246712,[177 164] ; [106 119],[170.5 170.5] ; [112.5 112.5],0
n6,1,0.289594,1.12151,[315  26] ; [203  23],[311.5308642  29.4691358] ; [206.4691358  19.5308642],0
v4,1,0.311193,1.025606,[330  11] ; [213  11],[327.72212389  13.27787611] ; [215.27787611   8.72212389],0
a8,1,0.358686,0.842488,[ 52 252] ; [ 29 177],[ 48.28235294 255.71764706] ; [ 32.71764706 173.28235294],0
s2,1,0.368053,0.810229,[187 149] ; [116 108],[181.8 154.2] ; [121.2 102.8],0
a7,1,0.381986,0.764302,[248  93] ; [156  69],[243.39929329  97.60070671] ; [160.60070671  64.39929329],0
b4,1,0.394633,0.724619,[200 142] ; [124 102],[195.08450704 146.91549296] ; [128.91549296  97.08450704],0
s3,1,0.400616,0.706476,[192 144] ; [136  88],[196.8 139.2] ; [131.2  92.8],0
n3,1,0.582875,0.30161,[38 14] ; [41 19],[36.67857143 15.32142857] ; [42.32142857 17.67857143],0
n2,1,0.597701,0.278477,[42 10] ; [46 14],[40.85714286 11.14285714] ; [47.14285714 12.85714286],0
s7,1,0.6024,0.271392,[180 144] ; [114 100],[177.05576208 146.94423792] ; [116.94423792  97.05576208],0
p1,1,0.710293,0.137984,[ 32 310] ; [ 19 206],[ 30.76190476 311.23809524] ; [ 20.23809524 204.76190476],0
u2,1,0.817009,0.053543,[38 35] ; [41 35],[38.70469799 34.29530201] ; [40.29530201 35.70469799],0
a6,1,0.845959,0.037744,[235 106] ; [154  72],[233.94885362 107.05114638] ; [155.05114638  70.94885362],0
b1,1,0.894348,0.017637,[129 213] ; [ 84 142],[128.25 213.75] ; [ 84.75 141.25],0
