Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000225,13.607359,[10  4] ; [ 2 18],[4.94117647 9.05882353] ; [ 7.05882353 12.94117647],1
s8,1,0.000862,11.10382,[10  4] ; [ 3 17],[5.35294118 8.64705882] ; [ 7.64705882 12.35294118],1
s7,1,0.006423,7.427625,[9 4] ; [ 4 15],[5.28125 7.71875] ; [ 7.71875 11.28125],0
n4,1,0.091563,2.846677,[11  3] ; [10 10],[8.64705882 5.35294118] ; [12.35294118  7.64705882],0
b5,1,0.091563,2.846677,[11  3] ; [10 10],[8.64705882 5.35294118] ; [12.35294118  7.64705882],0
a7,1,0.126647,2.333133,[10  4] ; [ 9 11],[7.82352941 6.17647059] ; [11.17647059  8.82352941],0
r4,1,0.149987,2.072381,[6 8] ; [ 4 16],[4.11764706 9.88235294] ; [ 5.88235294 14.11764706],0
v3,1,0.150451,2.067669,[ 2 12] ; [ 7 12],[ 3.81818182 10.18181818] ; [ 5.18181818 13.81818182],0
a5,1,0.156929,2.003571,[11  3] ; [11  9],[9.05882353 4.94117647] ; [12.94117647  7.05882353],0
v1,1,0.163359,1.942857,[5 9] ; [12  8],[7. 7.] ; [10. 10.],0
d4,1,0.177851,1.815492,[12  2] ; [13  7],[10.29411765  3.70588235] ; [14.70588235  5.29411765],0
n5,1,0.177851,1.815492,[12  2] ; [13  7],[10.29411765  3.70588235] ; [14.70588235  5.29411765],0
n1,1,0.18883,1.726722,[5 2] ; [3 5],[3.73333333 3.26666667] ; [4.26666667 3.73333333],0
d2,1,0.200628,1.637794,[8 6] ; [ 7 13],[6.17647059 7.82352941] ; [ 8.82352941 11.17647059],0
b1,1,0.237584,1.394872,[7 7] ; [14  6],[8.64705882 5.35294118] ; [12.35294118  7.64705882],0
a6,1,0.267511,1.229464,[9 5] ; [ 9 11],[7.41176471 6.58823529] ; [10.58823529  9.41176471],0
u3,1,0.303052,1.060714,[3 1] ; [3 4],[2.18181818 1.81818182] ; [3.81818182 3.18181818],0
s6,1,0.324324,0.971429,[8 6] ; [ 8 12],[6.58823529 7.41176471] ; [ 9.41176471 10.58823529],0
p3,1,0.334746,0.930451,[5 9] ; [10  9],[6.36363636 7.63636364] ; [ 8.63636364 10.36363636],0
u1,1,0.347479,0.882642,[ 2 12] ; [ 1 19],[ 1.23529412 12.76470588] ; [ 1.76470588 18.23529412],0
a2,1,0.354429,0.857537,[ 3 11] ; [ 2 18],[ 2.05882353 11.94117647] ; [ 2.94117647 17.05882353],0
s5,1,0.410966,0.676003,[5 8] ; [ 5 15],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
d3,1,0.440068,0.596104,[8 6] ; [14  6],[9.05882353 4.94117647] ; [12.94117647  7.05882353],0
n3,1,0.446798,0.578763,[4 3] ; [3 5],[3.26666667 3.73333333] ; [3.73333333 4.26666667],0
v4,1,0.447006,0.578231,[12  2] ; [15  5],[11.11764706  2.88235294] ; [15.88235294  4.11764706],0
a1,1,0.484034,0.489762,[ 1 13] ; [ 3 17],[ 1.64705882 12.35294118] ; [ 2.35294118 17.64705882],0
b4,1,0.492529,0.470996,[10  4] ; [12  8],[9.05882353 4.94117647] ; [12.94117647  7.05882353],0
