Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,75.421289,[ 41 196] ; [141 115],[ 87.49290061 149.50709939] ; [ 94.50709939 161.49290061],1
r3,1,0.0,33.719925,[200  45] ; [254   7],[219.82213439  25.17786561] ; [234.17786561  26.82213439],1
v1,1,0.0,29.029137,[ 80 159] ; [147 108],[109.82388664 129.17611336] ; [117.17611336 137.82388664],1
r1,1,0.0,27.165694,[160  84] ; [223  38],[185.05346535  58.94653465] ; [197.94653465  63.05346535],1
d1,1,1e-06,24.669529,[105 141] ; [170  93],[132.90766208 113.09233792] ; [142.09233792 120.90766208],1
p11,1,2e-06,22.779595,[157  89] ; [217  46],[180.75442043  65.24557957] ; [193.24557957  69.75442043],1
a5,1,2.7e-05,17.588097,[153  93] ; [208  55],[174.47151277  71.52848723] ; [186.52848723  76.47151277],1
d5,1,3.4e-05,17.183535,[170  75] ; [223  40],[189.53740157  55.46259843] ; [203.46259843  59.53740157],1
r4,1,9.1e-05,15.321105,[184  62] ; [232  31],[201.05304519  44.94695481] ; [214.94695481  48.05304519],1
p10,1,0.000117,14.832562,[157  85] ; [210  52],[176.21825397  65.78174603] ; [190.78174603  71.21825397],1
p2,1,0.000234,13.539486,[166  78] ; [216  47],[183.84220907  60.15779093] ; [198.15779093  64.84220907],1
d4,1,0.000338,12.847097,[179  66] ; [225  37],[195.22682446  49.77317554] ; [208.77317554  53.22682446],1
p7,1,0.00061,11.744967,[ 98 141] ; [146 113],[117.10040161 121.89959839] ; [126.89959839 132.10040161],1
r2,1,0.000897,11.029287,[210  35] ; [242  14],[221.03792415  23.96207585] ; [230.96207585  25.03792415],1
p8,1,0.001098,10.653768,[ 82 161] ; [125 135],[100.00198807 142.99801193] ; [106.99801193 153.00198807],0
s7,1,0.001357,10.263783,[ 70 161] ; [112 140],[ 87.04347826 143.95652174] ; [ 94.95652174 157.04347826],0
a3,1,0.001438,10.156202,[149  94] ; [196  67],[165.68181818  77.31818182] ; [179.31818182  83.68181818],0
s1,1,0.001454,10.136275,[ 16 227] ; [  3 256],[  9.19721116 233.80278884] ; [  9.80278884 249.19721116],0
p3,1,0.001997,9.55263,[ 76 168] ; [117 146],[ 92.88362919 151.11637081] ; [100.11637081 162.88362919],0
s6,1,0.002522,9.12475,[115 129] ; [158 103],[131.9049505 112.0950495] ; [141.0950495 119.9049505],0
d3,1,0.003599,8.475963,[138 107] ; [181  82],[153.8484252  91.1515748] ; [165.1515748  97.8484252],0
v4,1,0.00385,8.353063,[211  34] ; [243  16],[220.69444444  24.30555556] ; [233.30555556  25.69444444],0
p9,1,0.004976,7.888059,[169  71] ; [211  49],[182.4  57.6] ; [197.6  62.4],0
p4,1,0.00699,7.27549,[ 97 147] ; [135 126],[112.0950495 131.9049505] ; [119.9049505 141.0950495],0
s8,1,0.007029,7.265621,[ 68 177] ; [102 159],[ 82.31225296 162.68774704] ; [ 87.68774704 173.31225296],0
n2,1,0.007566,7.133459,[46 30] ; [46 10],[52.96969697 23.03030303] ; [39.03030303 16.96969697],0
s5,1,0.009079,6.807314,[ 48 194] ; [ 77 180],[ 60.62124248 181.37875752] ; [ 64.37875752 192.62124248],0
n6,1,0.012163,6.286882,[176  68] ; [212  48],[187.84126984  56.15873016] ; [200.15873016  59.84126984],0
b1,1,0.015481,5.860889,[109 137] ; [ 89 174],[ 95.6935167 150.3064833] ; [102.3064833 160.6935167],0
s2,1,0.032505,4.571666,[ 83 161] ; [113 148],[ 94.7009901 149.2990099] ; [101.2990099 159.7009901],0
a2,1,0.04603,3.980486,[ 43 203] ; [ 65 198],[ 52.19646365 193.80353635] ; [ 55.80353635 207.19646365],0
n3,1,0.048052,3.908151,[43 30] ; [43 14],[48.29230769 24.70769231] ; [37.70769231 19.29230769],0
a6,1,0.048058,3.907965,[154  91] ; [187  76],[164.45866142  80.54133858] ; [176.54133858  86.45866142],0
a7,1,0.055277,3.6737,[161  85] ; [192  70],[170.94094488  75.05905512] ; [182.05905512  79.94094488],0
d2,1,0.059418,3.553552,[103 140] ; [133 129],[113.56039604 129.43960396] ; [122.43960396 139.56039604],0
u1,1,0.061126,3.506554,[ 27 219] ; [ 44 219],[ 34.31434185 211.68565815] ; [ 36.68565815 226.31434185],0
p12,1,0.097909,2.739284,[  8 236] ; [ 17 246],[ 12.03155819 231.96844181] ; [ 12.96844181 250.03155819],0
n4,1,0.144077,2.133865,[169  76] ; [196  66],[176.38067061  68.61932939] ; [188.61932939  73.38067061],0
n1,1,0.177187,1.82106,[31 43] ; [17 39],[27.32307692 46.67692308] ; [20.67692308 35.32307692],0
a4,1,0.186822,1.742503,[ 93 151] ; [115 147],[100.30039526 143.69960474] ; [107.69960474 154.30039526],0
n5,1,0.275592,1.1887,[165  80] ; [186  73],[170.625  74.375] ; [180.375  78.625],0
u4,1,0.292167,1.10961,[  2 244] ; [  5 258],[  3.38310413 242.61689587] ; [  3.61689587 259.38310413],0
b5,1,0.318683,0.994344,[151  95] ; [150 113],[145.47347741 100.52652259] ; [155.52652259 107.47347741],0
b4,1,0.329544,0.950689,[148  98] ; [147 116],[142.57367387 103.42632613] ; [152.42632613 110.57367387],0
a1,1,0.421083,0.647292,[ 13 233] ; [ 10 253],[ 11.11591356 234.88408644] ; [ 11.88408644 251.11591356],0
s3,1,0.448938,0.573333,[110 132] ; [126 132],[114.224 127.776] ; [121.776 136.224],0
p1,1,0.552359,0.353109,[ 18 225] ; [ 16 247],[ 16.32806324 226.67193676] ; [ 17.67193676 245.32806324],0
u2,1,0.651353,0.204199,[50 46] ; [31 33],[48.6 47.4] ; [32.4 31.6],0
p5,1,0.775621,0.081242,[ 18 222] ; [ 18 245],[ 17.17693837 222.82306163] ; [ 18.82306163 244.17693837],0
b2,1,0.788493,0.071968,[49 99] ; [ 57 108],[50.12140575 97.87859425] ; [ 55.87859425 109.12140575],0
b3,1,0.788493,0.071968,[49 99] ; [ 57 108],[50.12140575 97.87859425] ; [ 55.87859425 109.12140575],0
a8,1,0.882687,0.021775,[ 33 197] ; [ 35 201],[ 33.56223176 196.43776824] ; [ 34.43776824 201.56223176],0
u3,1,0.925301,0.008791,[48 48] ; [34 33],[48.29447853 47.70552147] ; [33.70552147 33.29447853],0
