Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.004969,7.890836,[31 52] ; [15  6],[36.71153846 46.28846154] ; [ 9.28846154 11.71153846],0
d2,1,0.005629,7.665389,[43 39] ; [18  3],[48.5631068 33.4368932] ; [12.4368932  8.5631068],0
s3,1,0.026872,4.899017,[33 50] ; [14  7],[37.50961538 45.49038462] ; [ 9.49038462 11.50961538],0
n6,1,0.042313,4.12263,[46 35] ; [17  4],[50.02941176 30.97058824] ; [12.97058824  8.02941176],0
p5,1,0.043467,4.077133,[ 1 81] ; [ 2 19],[ 2.38834951 79.61165049] ; [ 0.61165049 20.38834951],0
s2,1,0.046016,3.98101,[24 58] ; [11 10],[27.86407767 54.13592233] ; [ 7.13592233 13.86407767],0
u1,1,0.093114,2.819696,[14 69] ; [ 7 14],[16.75961538 66.24038462] ; [ 4.24038462 16.75961538],0
s8,1,0.093114,2.819696,[14 69] ; [ 7 14],[16.75961538 66.24038462] ; [ 4.24038462 16.75961538],0
p10,1,0.096785,2.757737,[18 64] ; [ 8 12],[20.90196078 61.09803922] ; [ 5.09803922 14.90196078],0
a7,1,0.13917,2.187113,[57 25] ; [11 10],[54.13592233 27.86407767] ; [13.86407767  7.13592233],0
n2,1,0.142188,2.15412,[15 13] ; [8 2],[16.94736842 11.05263158] ; [6.05263158 3.94736842],0
d4,1,0.144077,2.133865,[63 20] ; [19  2],[65.44230769 17.55769231] ; [16.55769231  4.44230769],0
d1,1,0.153804,2.03411,[45 38] ; [15  6],[47.88461538 35.11538462] ; [12.11538462  8.88461538],0
a6,1,0.179117,1.804934,[60 23] ; [12  9],[57.46153846 25.53846154] ; [14.53846154  6.46153846],0
a4,1,0.188556,1.728863,[41 40] ; [14  7],[43.67647059 37.32352941] ; [11.32352941  9.67647059],0
u3,1,0.191254,1.707933,[15 10] ; [1 3],[13.79310345 11.20689655] ; [2.20689655 1.79310345],0
p8,1,0.230087,1.440326,[31 51] ; [ 5 16],[28.66019417 53.33980583] ; [ 7.33980583 13.66019417],0
n3,1,0.237884,1.393092,[12 13] ; [7 3],[13.57142857 11.42857143] ; [5.42857143 4.57142857],0
s4,1,0.26833,1.225266,[ 9 74] ; [ 4 16],[10.47572816 72.52427184] ; [ 2.52427184 17.47572816],0
r3,1,0.282179,1.156564,[66 16] ; [19  2],[67.66990291 14.33009709] ; [17.33009709  3.66990291],0
s1,1,0.322023,0.980713,[ 6 75] ; [ 3 18],[ 7.14705882 73.85294118] ; [ 1.85294118 19.14705882],0
