Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,5.8e-05,16.164329,[  9 239] ; [12 58],[ 16.37735849 231.62264151] ; [ 4.62264151 65.37735849],1
s6,1,0.000163,14.221396,[112 138] ; [48 20],[125.78616352 124.21383648] ; [34.21383648 33.78616352],1
d4,1,0.000173,14.10849,[177  73] ; [64  5],[188.87147335  61.12852665] ; [52.12852665 16.87147335],1
b5,1,0.001548,10.020787,[163  87] ; [31 39],[151.5625  98.4375] ; [42.4375 27.5625],0
s2,1,0.006059,7.532703,[ 59 188] ; [28 41],[ 68.00316456 178.99683544] ; [18.99683544 50.00316456],0
p1,1,0.008243,6.979898,[ 13 237] ; [10 59],[ 18.02507837 231.97492163] ; [ 4.97492163 64.02507837],0
p7,1,0.011625,6.367175,[130 115] ; [49 21],[139.22222222 105.77777778] ; [39.77777778 30.22222222],0
d1,1,0.012252,6.273971,[122 128] ; [46 24],[131.25 118.75] ; [36.75 33.25],0
a5,1,0.013539,6.097338,[161  89] ; [56 14],[169.53125  80.46875] ; [47.46875 22.53125],0
r1,1,0.01567,5.839573,[173  75] ; [59 11],[180.93081761  67.06918239] ; [51.06918239 18.93081761],0
v1,1,0.017034,5.69284,[120 125] ; [45 24],[128.74203822 116.25796178] ; [36.25796178 32.74203822],0
r4,1,0.019451,5.460522,[203  47] ; [65  5],[209.375  40.625] ; [58.625 11.375],0
s8,1,0.020984,5.328119,[ 38 212] ; [19 51],[ 44.53125 205.46875] ; [12.46875 57.53125],0
p10,1,0.024958,5.026772,[183  64] ; [60  9],[189.93987342  57.06012658] ; [53.06012658 15.93987342],0
p3,1,0.036092,4.39277,[ 93 155] ; [36 34],[100.60377358 147.39622642] ; [28.39622642 41.60377358],0
p6,1,0.036104,4.392168,[ 61 184] ; [26 43],[ 67.88216561 177.11783439] ; [19.11783439 49.88216561],0
a4,1,0.036279,4.38396,[ 96 151] ; [37 33],[103.63091483 143.36908517] ; [29.36908517 40.63091483],0
n6,1,0.046243,3.972722,[202  46] ; [64  6],[207.44654088  40.55345912] ; [58.55345912 11.44654088],0
p8,1,0.049484,3.858866,[107 137] ; [40 30],[114.22929936 129.77070064] ; [32.77070064 37.22929936],0
