Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,37.534694,[106  38] ; [27 57],[84. 60.] ; [49. 35.],1
a6,1,0.0,28.533912,[110  35] ; [34 50],[91.1790393 53.8209607] ; [52.8209607 31.1790393],1
d5,1,7e-06,20.062983,[114  31] ; [42 42],[98.77729258 46.22270742] ; [57.22270742 26.77729258],1
r4,1,0.0001,15.137441,[112  33] ; [44 40],[98.77729258 46.22270742] ; [57.22270742 26.77729258],1
r3,1,0.000741,11.382836,[127  17] ; [59 25],[117.47368421  26.52631579] ; [68.52631579 15.47368421],1
d4,1,0.000867,11.091861,[114  31] ; [48 35],[103.02631579  41.97368421] ; [58.97368421 24.02631579],1
r1,1,0.001885,9.658145,[97 47] ; [39 45],[85.89473684 58.10526316] ; [50.10526316 33.89473684],0
a2,1,0.002818,8.921694,[ 30 115] ; [ 5 79],[ 22.16157205 122.83842795] ; [12.83842795 71.16157205],0
d1,1,0.005522,7.699989,[74 71] ; [27 57],[63.95196507 81.04803493] ; [37.04803493 46.95196507],0
a5,1,0.005774,7.619372,[96 49] ; [40 44],[86.11353712 58.88646288] ; [49.88646288 34.11353712],0
u1,1,0.006738,7.34162,[ 19 126] ; [ 2 82],[ 13.29694323 131.70305677] ; [ 7.70305677 76.29694323],0
v4,1,0.009817,6.667876,[126  19] ; [60 22],[118.81057269  26.18942731] ; [67.18942731 14.81057269],0
r2,1,0.015782,5.826992,[124  18] ; [62 21],[117.38666667  24.61333333] ; [68.61333333 14.38666667],0
b1,1,0.016216,5.779353,[54 91] ; [45 39],[62.68558952 82.31441048] ; [36.31441048 47.68558952],0
p10,1,0.022612,5.198051,[95 49] ; [42 41],[86.90748899 57.09251101] ; [50.09251101 32.90748899],0
b5,1,0.023272,5.148117,[93 52] ; [41 43],[84.84716157 60.15283843] ; [49.15283843 34.84716157],0
p6,1,0.040595,4.192836,[ 36 107] ; [11 70],[ 30.00446429 112.99553571] ; [16.99553571 64.00446429],0
p3,1,0.049723,3.850783,[52 91] ; [20 64],[45.35682819 97.64317181] ; [26.64317181 57.35682819],0
p8,1,0.050483,3.825327,[59 83] ; [24 60],[52.15044248 89.84955752] ; [30.84955752 53.15044248],0
p9,1,0.051546,3.790451,[99 43] ; [46 35],[92.33183857 49.66816143] ; [52.66816143 28.33183857],0
p2,1,0.086472,2.938864,[105  40] ; [51 32],[99.21052632 45.78947368] ; [56.78947368 26.21052632],0
p4,1,0.090716,2.861623,[60 85] ; [25 58],[54.05701754 90.94298246] ; [30.94298246 52.05701754],0
u3,1,0.118017,2.443439,[27 27] ; [12 24],[23.4 30.6] ; [15.6 20.4],0
