Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000207,13.762003,[3 4] ; [ 1 43],[0.54901961 6.45098039] ; [ 3.45098039 40.54901961],1
p6,1,0.000247,13.437094,[3 4] ; [ 1 42],[0.56 6.44] ; [ 3.44 39.56],1
s7,1,0.000441,12.35111,[5 2] ; [ 5 35],[1.4893617 5.5106383] ; [ 8.5106383 31.4893617],1
s2,1,0.003167,8.708952,[4 3] ; [ 5 39],[1.23529412 5.76470588] ; [ 7.76470588 36.23529412],0
p9,1,0.004358,8.128223,[6 1] ; [12 29],[2.625 4.375] ; [15.375 25.625],0
s3,1,0.009902,6.652428,[5 2] ; [10 33],[2.1 4.9] ; [12.9 30.1],0
p10,1,0.009902,6.652428,[5 2] ; [10 33],[2.1 4.9] ; [12.9 30.1],0
n6,1,0.014336,5.996336,[6 1] ; [16 28],[3.01960784 3.98039216] ; [18.98039216 25.01960784],0
s5,1,0.029637,4.730229,[3 3] ; [ 6 38],[1.08 4.92] ; [ 7.92 36.08],0
p4,1,0.033325,4.529023,[3 4] ; [ 5 39],[1.09803922 5.90196078] ; [ 6.90196078 37.09803922],0
p2,1,0.049431,3.860646,[5 2] ; [14 29],[2.66 4.34] ; [16.34 26.66],0
s6,1,0.058068,3.591711,[4 3] ; [10 34],[1.92156863 5.07843137] ; [12.07843137 31.92156863],0
n1,1,0.076309,3.141818,[4 1] ; [ 8 14],[2.22222222 2.77777778] ; [ 9.77777778 12.22222222],0
v3,1,0.095316,2.782222,[3 4] ; [ 7 37],[1.37254902 5.62745098] ; [ 8.62745098 35.37254902],0
d5,1,0.119622,2.422263,[6 1] ; [24 20],[4.11764706 2.88235294] ; [25.88235294 18.11764706],0
u1,1,0.128287,2.313113,[1 6] ; [ 1 43],[0.2745098 6.7254902] ; [ 1.7254902 42.2745098],0
p5,1,0.134262,2.242525,[1 6] ; [ 1 42],[0.28 6.72] ; [ 1.72 41.28],0
n2,1,0.162862,1.947453,[4 1] ; [10 12],[2.59259259 2.40740741] ; [11.40740741 10.59259259],0
b1,1,0.192814,1.695986,[3 4] ; [30 14],[4.52941176 2.47058824] ; [28.47058824 15.52941176],0
a7,1,0.192814,1.695986,[4 3] ; [14 30],[2.47058824 4.52941176] ; [15.52941176 28.47058824],0
r1,1,0.192814,1.695986,[4 3] ; [14 30],[2.47058824 4.52941176] ; [15.52941176 28.47058824],0
r2,1,0.235429,1.407759,[5 1] ; [25 18],[3.67346939 2.32653061] ; [26.32653061 16.67346939],0
a5,1,0.29141,1.113095,[5 2] ; [22 22],[3.70588235 3.29411765] ; [23.29411765 20.70588235],0
n4,1,0.294211,1.100249,[6 1] ; [29 15],[4.80392157 2.19607843] ; [30.19607843 13.80392157],0
u3,1,0.360585,0.835855,[1 1] ; [ 4 15],[0.47619048 1.52380952] ; [ 4.52380952 14.47619048],0
n5,1,0.400731,0.706131,[6 1] ; [31 13],[5.07843137 1.92156863] ; [31.92156863 12.07843137],0
d4,1,0.402184,0.701787,[5 2] ; [24 20],[3.98039216 3.01960784] ; [25.01960784 18.98039216],0
d2,1,0.450017,0.570609,[4 3] ; [18 25],[3.08 3.92] ; [18.92 24.08],0
u2,1,0.480659,0.497368,[1 1] ; [ 5 14],[0.57142857 1.42857143] ; [ 5.42857143 13.57142857],0
b4,1,0.490508,0.475412,[3 4] ; [25 19],[3.84313725 3.15686275] ; [24.15686275 19.84313725],0
a3,1,0.505693,0.442968,[5 2] ; [25 18],[4.2 2.8] ; [25.8 17.2],0
p3,1,0.540965,0.373754,[2 5] ; [ 8 35],[1.4 5.6] ; [ 8.6 34.4],0
d1,1,0.564972,0.331169,[3 4] ; [14 30],[2.33333333 4.66666667] ; [14.66666667 29.33333333],0
p11,1,0.627691,0.235205,[2 5] ; [ 9 35],[1.50980392 5.49019608] ; [ 9.49019608 34.50980392],0
s4,1,0.702587,0.145795,[1 6] ; [ 9 35],[1.37254902 5.62745098] ; [ 8.62745098 35.37254902],0
a6,1,0.725486,0.123297,[4 3] ; [22 22],[3.56862745 3.43137255] ; [22.43137255 21.56862745],0
b2,1,0.749139,0.102256,[3 3] ; [12 16],[2.64705882 3.35294118] ; [12.35294118 15.64705882],0
b3,1,0.749139,0.102256,[3 3] ; [12 16],[2.64705882 3.35294118] ; [12.35294118 15.64705882],0
p7,1,0.782683,0.076079,[1 6] ; [ 8 35],[1.26 5.74] ; [ 7.74 35.26],0
b5,1,0.810501,0.057495,[3 4] ; [21 23],[3.29411765 3.70588235] ; [20.70588235 23.29411765],0
a2,1,0.823629,0.049675,[1 6] ; [ 5 39],[0.82352941 6.17647059] ; [ 5.17647059 38.82352941],0
v1,1,0.840393,0.040558,[2 5] ; [11 33],[1.78431373 5.21568627] ; [11.21568627 32.78431373],0
n3,1,0.866784,0.028139,[2 2] ; [10 12],[1.84615385 2.15384615] ; [10.15384615 11.84615385],0
a4,1,0.86785,0.027685,[3 4] ; [17 26],[2.8 4.2] ; [17.2 25.8],0
d3,1,0.92251,0.009462,[3 4] ; [18 26],[2.88235294 4.11764706] ; [18.11764706 25.88235294],0
p1,1,0.963013,0.00215,[1 6] ; [ 6 38],[0.96078431 6.03921569] ; [ 6.03921569 37.96078431],0
v2,1,0.981258,0.000552,[1 6] ; [ 6 37],[0.98 6.02] ; [ 6.02 36.98],0
