Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,25.579536,[71 10] ; [15 20],[60.05172414 20.94827586] ; [25.94827586  9.05172414],1
n6,1,0.000241,13.481775,[68 13] ; [18 17],[60.05172414 20.94827586] ; [25.94827586  9.05172414],1
p10,1,0.009104,6.802387,[60 20] ; [17 17],[54.03508772 25.96491228] ; [22.96491228 11.03508772],0
s5,1,0.031504,4.62527,[ 7 71] ; [ 8 25],[10.54054054 67.45945946] ; [ 4.45945946 28.54054054],0
s8,1,0.070745,3.265656,[30 51] ; [ 7 28],[25.8362069 55.1637931] ; [11.1637931 23.8362069],0
a2,1,0.073478,3.203569,[15 66] ; [ 2 33],[11.87068966 69.12931034] ; [ 5.12931034 29.87068966],0
r4,1,0.074134,3.189026,[71 10] ; [26  9],[67.73275862 13.26724138] ; [29.26724138  5.73275862],0
p6,1,0.077007,3.12697,[26 55] ; [ 5 27],[22.22123894 58.77876106] ; [ 8.77876106 23.22123894],0
a6,1,0.095925,2.772019,[59 22] ; [20 15],[55.1637931 25.8362069] ; [23.8362069 11.1637931],0
p9,1,0.096386,2.764341,[61 20] ; [21 14],[57.25862069 23.74137931] ; [24.74137931 10.25862069],0
u2,1,0.099228,2.717906,[12 19] ; [8 4],[14.41860465 16.58139535] ; [5.58139535 6.41860465],0
n1,1,0.130995,2.28067,[9 8] ; [ 4 11],[ 6.90625 10.09375] ; [6.09375 8.90625],0
s1,1,0.146356,2.109824,[ 2 77] ; [ 3 32],[ 3.46491228 75.53508772] ; [ 1.53508772 33.46491228],0
a7,1,0.161348,1.961546,[55 26] ; [19 16],[51.67241379 29.32758621] ; [22.32758621 12.67241379],0
s6,1,0.185916,1.749691,[51 28] ; [18 17],[47.81578947 31.18421053] ; [21.18421053 13.81578947],0
d5,1,0.223132,1.484111,[60 21] ; [22 13],[57.25862069 23.74137931] ; [24.74137931 10.25862069],0
r3,1,0.259067,1.273734,[74  7] ; [34  1],[75.4137931  5.5862069] ; [32.5862069  2.4137931],0
v2,1,0.325756,0.965695,[33 44] ; [18 16],[35.37837838 41.62162162] ; [15.62162162 18.37837838],0
n3,1,0.352724,0.863635,[11  7] ; [10  3],[12.19354839  5.80645161] ; [8.80645161 4.19354839],0
p5,1,0.35303,0.862536,[ 9 71] ; [ 2 33],[ 7.65217391 72.34782609] ; [ 3.34782609 31.65217391],0
p11,1,0.359657,0.839092,[60 21] ; [23 12],[57.95689655 23.04310345] ; [25.04310345  9.95689655],0
p3,1,0.392634,0.730768,[38 43] ; [13 21],[35.92173913 45.07826087] ; [15.07826087 18.92173913],0
p2,1,0.39803,0.714269,[64 17] ; [30  5],[65.63793103 15.36206897] ; [28.36206897  6.63793103],0
p8,1,0.40736,0.686492,[41 39] ; [15 20],[38.95652174 41.04347826] ; [17.04347826 17.95652174],0
d1,1,0.418721,0.653902,[39 42] ; [14 21],[37.00862069 43.99137931] ; [15.99137931 19.00862069],0
d4,1,0.431588,0.618546,[56 24] ; [27  8],[57.73913043 22.26086957] ; [25.26086957  9.73913043],0
v3,1,0.450568,0.569223,[28 53] ; [ 9 24],[26.28947368 54.71052632] ; [10.71052632 22.28947368],0
n2,1,0.47546,0.509259,[14  4] ; [10  5],[13.09090909  4.90909091] ; [10.90909091  4.09090909],0
