Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.3e-05,19.050968,[17 69] ; [30 24],[28.87142857 57.12857143] ; [18.12857143 35.87142857],1
p6,1,0.000466,12.247272,[13 70] ; [23 31],[21.81021898 61.18978102] ; [14.18978102 39.81021898],1
s6,1,0.003868,8.34457,[21 63] ; [26 27],[28.81751825 55.18248175] ; [18.18248175 34.81751825],0
p8,1,0.008724,6.878409,[27 59] ; [29 25],[34.4 51.6] ; [21.6 32.4],0
d3,1,0.02262,5.197478,[52 33] ; [43 11],[58.09352518 26.90647482] ; [36.90647482 17.09352518],0
p7,1,0.022861,5.179062,[34 52] ; [32 22],[40.54285714 45.45714286] ; [25.45714286 28.54285714],0
a5,1,0.02472,5.043403,[44 42] ; [38 16],[50.37142857 35.62857143] ; [31.62857143 22.37142857],0
p1,1,0.030699,4.669743,[ 2 83] ; [ 6 48],[ 4.89208633 80.10791367] ; [ 3.10791367 50.89208633],0
s2,1,0.03143,4.629332,[ 7 79] ; [11 42],[11.13669065 74.86330935] ; [ 6.86330935 46.13669065],0
s5,1,0.037356,4.334129,[11 73] ; [14 37],[15.55555556 68.44444444] ; [ 9.44444444 41.55555556],0
u3,1,0.056925,3.624796,[14 17] ; [17  7],[17.47272727 13.52727273] ; [13.52727273 10.47272727],0
r3,1,0.117864,2.445478,[74 12] ; [51  3],[76.78571429  9.21428571] ; [48.21428571  5.78571429],0
u1,1,0.148552,2.08706,[ 4 82] ; [ 6 48],[ 6.14285714 79.85714286] ; [ 3.85714286 50.14285714],0
s7,1,0.171934,1.866002,[15 67] ; [15 38],[18.22222222 63.77777778] ; [11.77777778 41.22222222],0
v4,1,0.174043,1.84777,[73 13] ; [50  4],[75.55714286 10.44285714] ; [47.44285714  6.55714286],0
s8,1,0.175506,1.835273,[14 71] ; [14 40],[17.12230216 67.87769784] ; [10.87769784 43.12230216],0
b2,1,0.175787,1.832885,[11 36] ; [12 20],[13.6835443 33.3164557] ; [ 9.3164557 22.6835443],0
b3,1,0.175787,1.832885,[11 36] ; [12 20],[13.6835443 33.3164557] ; [ 9.3164557 22.6835443],0
d5,1,0.193951,1.687344,[61 24] ; [44 10],[64.20863309 20.79136691] ; [40.79136691 13.20863309],0
p2,1,0.211996,1.557742,[55 31] ; [40 14],[58.35714286 27.64285714] ; [36.64285714 17.35714286],0
r1,1,0.211996,1.557742,[55 31] ; [40 14],[58.35714286 27.64285714] ; [36.64285714 17.35714286],0
p10,1,0.279928,1.167439,[44 41] ; [33 21],[47.08633094 37.91366906] ; [29.91366906 24.08633094],0
p9,1,0.285357,1.141398,[50 34] ; [37 17],[52.95652174 31.04347826] ; [34.04347826 19.95652174],0
p11,1,0.291122,1.114424,[53 33] ; [38 16],[55.9 30.1] ; [35.1 18.9],0
d1,1,0.297521,1.085271,[40 46] ; [30 24],[43. 43.] ; [27. 27.],0
a2,1,0.318328,0.995805,[ 8 78] ; [ 8 46],[ 9.82857143 76.17142857] ; [ 6.17142857 47.82857143],0
a3,1,0.322,0.980807,[55 31] ; [30 24],[52.21428571 33.78571429] ; [32.78571429 21.21428571],0
b1,1,0.332308,0.939882,[39 47] ; [20 34],[36.24285714 49.75714286] ; [22.75714286 31.24285714],0
a6,1,0.332308,0.939882,[47 39] ; [34 20],[49.75714286 36.24285714] ; [31.24285714 22.75714286],0
a4,1,0.363219,0.826733,[27 59] ; [21 33],[29.48571429 56.51428571] ; [18.51428571 35.48571429],0
r2,1,0.365577,0.818644,[70 14] ; [48  6],[71.82608696 12.17391304] ; [46.17391304  7.82608696],0
a8,1,0.376032,0.783635,[ 6 75] ; [ 6 44],[ 7.41984733 73.58015267] ; [ 4.58015267 45.41984733],0
n4,1,0.43861,0.599916,[31 55] ; [23 31],[33.17142857 52.82857143] ; [20.82857143 33.17142857],0
v1,1,0.474367,0.511786,[28 57] ; [21 33],[29.96402878 55.03597122] ; [19.03597122 34.96402878],0
p5,1,0.494035,0.467726,[ 4 82] ; [ 4 50],[ 4.91428571 81.08571429] ; [ 3.08571429 50.91428571],0
r4,1,0.506088,0.442148,[66 20] ; [44 10],[67.57142857 18.42857143] ; [42.42857143 11.57142857],0
a7,1,0.521959,0.410022,[62 23] ; [42 12],[63.5971223 21.4028777] ; [40.4028777 13.5971223],0
d2,1,0.534476,0.385874,[29 57] ; [21 33],[30.71428571 55.28571429] ; [19.28571429 34.71428571],0
s4,1,0.583447,0.300695,[10 76] ; [ 8 46],[11.05714286 74.94285714] ; [ 6.94285714 47.05714286],0
u2,1,0.670684,0.180803,[16 15] ; [11 13],[15.21818182 15.78181818] ; [11.78181818 12.21818182],0
n2,1,0.759047,0.094085,[15 11] ; [9 8],[14.51162791 11.48837209] ; [9.48837209 7.51162791],0
v3,1,0.782467,0.076235,[22 59] ; [13 39],[21.31578947 59.68421053] ; [13.68421053 38.31578947],0
n1,1,0.808883,0.0585,[ 5 21] ; [ 4 14],[ 5.31818182 20.68181818] ; [ 3.68181818 14.31818182],0
n6,1,0.874039,0.025132,[53 33] ; [34 20],[53.44285714 32.55714286] ; [33.55714286 20.44285714],0
b4,1,0.89584,0.01714,[50 36] ; [32 22],[50.37142857 35.62857143] ; [31.62857143 22.37142857],0
b5,1,0.905633,0.014054,[55 31] ; [34 20],[54.67142857 31.32857143] ; [34.32857143 19.67142857],0
v2,1,0.91794,0.010615,[40 45] ; [24 28],[39.7080292 45.2919708] ; [24.2919708 27.7080292],0
n3,1,0.929711,0.007781,[17  9] ; [12  6],[17.13636364  8.86363636] ; [11.86363636  6.13636364],0
d4,1,0.93082,0.007537,[69 17] ; [43 11],[68.8 17.2] ; [43.2 10.8],0
s1,1,0.946718,0.004466,[ 3 83] ; [ 2 52],[ 3.07142857 82.92857143] ; [ 1.92857143 52.07142857],0
a1,1,0.946718,0.004466,[ 3 83] ; [ 2 52],[ 3.07142857 82.92857143] ; [ 1.92857143 52.07142857],0
