Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.3e-05,16.347728,[75  3] ; [62 23],[65.55828221 12.44171779] ; [71.44171779 13.55828221],1
p10,1,0.000193,13.896129,[55 22] ; [35 48],[43.3125 33.6875] ; [46.6875 36.3125],1
s6,1,0.000706,11.472952,[53 24] ; [35 48],[42.35 34.65] ; [45.65 37.35],1
p7,1,0.001346,10.277899,[35 41] ; [18 64],[25.49367089 50.50632911] ; [27.50632911 54.49367089],0
p12,1,0.005498,7.707946,[ 9 68] ; [ 1 84],[ 4.75308642 72.24691358] ; [ 5.24691358 79.75308642],0
v3,1,0.006183,7.496197,[36 40] ; [21 59],[27.76923077 48.23076923] ; [29.23076923 50.76923077],0
p9,1,0.006207,7.489126,[54 23] ; [40 42],[45.52201258 31.47798742] ; [48.47798742 33.52201258],0
s1,1,0.00916,6.791384,[ 2 75] ; [12 73],[ 6.65432099 70.34567901] ; [ 7.34567901 77.65432099],0
d4,1,0.010886,6.483819,[64 13] ; [55 29],[56.91304348 20.08695652] ; [62.08695652 21.91304348],0
s2,1,0.013388,6.117165,[41 37] ; [28 56],[33.22222222 44.77777778] ; [35.77777778 48.22222222],0
s5,1,0.017816,5.614177,[27 48] ; [15 64],[20.45454545 54.54545455] ; [21.54545455 57.45454545],0
p6,1,0.024067,5.089777,[22 55] ; [12 73],[16.16049383 60.83950617] ; [17.83950617 67.16049383],0
s3,1,0.035612,4.415604,[42 36] ; [31 52],[35.36645963 42.63354037] ; [37.63354037 45.36645963],0
v4,1,0.037742,4.316632,[72  6] ; [69 16],[67.47239264 10.52760736] ; [73.52760736 11.47239264],0
a5,1,0.039057,4.258382,[57 21] ; [49 36],[50.72392638 27.27607362] ; [55.27607362 29.72392638],0
d5,1,0.039936,4.220592,[60 17] ; [53 31],[54.04347826 22.95652174] ; [58.95652174 25.04347826],0
r1,1,0.047238,3.93688,[63 15] ; [57 28],[57.42331288 20.57668712] ; [62.57668712 22.42331288],0
r4,1,0.053421,3.730705,[68 10] ; [64 21],[63.16564417 14.83435583] ; [68.83435583 16.16564417],0
s8,1,0.058303,3.58502,[33 44] ; [24 60],[27.26086957 49.73913043] ; [29.73913043 54.26086957],0
s7,1,0.064163,3.426365,[35 40] ; [25 53],[29.41176471 45.58823529] ; [30.58823529 47.41176471],0
a7,1,0.067123,3.352007,[54 24] ; [47 38],[48.33128834 29.66871166] ; [52.66871166 32.33128834],0
p8,1,0.076655,3.134435,[24 54] ; [16 69],[19.14110429 58.85889571] ; [20.85889571 64.14110429],0
n6,1,0.080775,3.049242,[60 17] ; [55 29],[55. 22.] ; [60. 24.],0
p4,1,0.092833,2.824556,[30 47] ; [22 61],[25.025 51.975] ; [26.975 56.025],0
p3,1,0.106527,2.605004,[31 46] ; [24 61],[26.14197531 50.85802469] ; [28.85802469 56.14197531],0
d1,1,0.131782,2.271387,[45 33] ; [39 46],[40.19631902 37.80368098] ; [43.80368098 41.19631902],0
n1,1,0.138006,2.200051,[ 7 16] ; [18 18],[ 9.74576271 13.25423729] ; [15.25423729 20.74576271],0
s4,1,0.143993,2.134765,[19 58] ; [13 71],[15.30434783 61.69565217] ; [16.69565217 67.30434783],0
p1,1,0.198663,1.652177,[ 4 74] ; [ 9 76],[ 6.2208589 71.7791411] ; [ 6.7791411 78.2208589],0
d3,1,0.208668,1.580643,[47 30] ; [43 41],[43.04347826 33.95652174] ; [46.95652174 37.04347826],0
p11,1,0.214985,1.537534,[47 31] ; [43 42],[43.06748466 34.93251534] ; [46.93251534 38.06748466],0
v1,1,0.219887,1.505107,[35 43] ; [29 53],[31.2 46.8] ; [32.8 49.2],0
a8,1,0.37838,0.775959,[ 7 65] ; [ 5 79],[ 5.53846154 66.46153846] ; [ 6.46153846 77.53846154],0
d2,1,0.378626,0.775158,[35 42] ; [43 39],[37.77358491 39.22641509] ; [40.22641509 41.77358491],0
b2,1,0.458471,0.549626,[16 32] ; [23 34],[17.82857143 30.17142857] ; [21.17142857 35.82857143],0
b3,1,0.458471,0.549626,[16 32] ; [23 34],[17.82857143 30.17142857] ; [21.17142857 35.82857143],0
n5,1,0.496336,0.462763,[48 30] ; [56 28],[50.07407407 27.92592593] ; [53.92592593 30.07407407],0
u2,1,0.534679,0.385491,[14 13] ; [14 18],[12.81355932 14.18644068] ; [15.18644068 16.81355932],0
b4,1,0.542294,0.371304,[45 33] ; [45 40],[43.06748466 34.93251534] ; [46.93251534 38.06748466],0
b1,1,0.552211,0.353372,[34 44] ; [41 44],[35.88957055 42.11042945] ; [39.11042945 45.88957055],0
u4,1,0.580757,0.305012,[ 3 75] ; [ 2 83],[ 2.39263804 75.60736196] ; [ 2.60736196 82.39263804],0
a2,1,0.583291,0.300944,[13 65] ; [17 68],[14.35582822 63.64417178] ; [15.64417178 69.35582822],0
p5,1,0.609761,0.260523,[ 5 73] ; [ 7 75],[ 5.85 72.15] ; [ 6.15 75.85],0
n4,1,0.661819,0.191322,[53 25] ; [55 30],[51.6809816 26.3190184] ; [56.3190184 28.6809816],0
n3,1,0.692227,0.156686,[13 10] ; [21 13],[13.71929825  9.28070175] ; [20.28070175 13.71929825],0
a6,1,0.726698,0.122165,[47 30] ; [49 35],[45.91304348 31.08695652] ; [50.08695652 33.91304348],0
n2,1,0.766545,0.088148,[16  8] ; [26 11],[16.52459016  7.47540984] ; [25.47540984 11.52459016],0
a4,1,0.771471,0.084362,[33 45] ; [37 46],[33.91304348 44.08695652] ; [36.08695652 46.91304348],0
u1,1,0.819618,0.052,[12 66] ; [12 73],[11.48466258 66.51533742] ; [12.51533742 72.48466258],0
u3,1,0.861108,0.030612,[16 12] ; [19 13],[16.33333333 11.66666667] ; [18.66666667 13.33333333],0
a3,1,0.894092,0.017723,[50 28] ; [53 31],[49.59259259 28.40740741] ; [53.40740741 30.59259259],0
a1,1,0.923118,0.009314,[ 7 71] ; [ 8 77],[ 7.17791411 70.82208589] ; [ 7.82208589 77.17791411],0
b5,1,0.984402,0.000382,[46 32] ; [50 35],[45.93865031 32.06134969] ; [50.06134969 34.93865031],0
