Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.2e-05,19.090909,[ 6 26] ; [21  7],[14.4 17.6] ; [12.6 15.4],1
p6,1,0.00103,10.773725,[ 2 29] ; [12 16],[ 7.3559322 23.6440678] ; [ 6.6440678 21.3559322],0
r3,1,0.001651,9.901884,[15 17] ; [24  4],[20.8 11.2] ; [18.2  9.8],0
p3,1,0.002807,8.928571,[ 3 29] ; [12 16],[ 8. 24.] ; [ 7. 21.],0
r4,1,0.006019,7.544643,[14 18] ; [22  6],[19.2 12.8] ; [16.8 11.2],0
p2,1,0.007347,7.186086,[13 19] ; [21  7],[18.13333333 13.86666667] ; [15.86666667 12.13333333],0
b2,1,0.020036,5.408717,[ 8 11] ; [ 1 14],[ 5.02941176 13.97058824] ; [ 3.97058824 11.02941176],0
b3,1,0.020036,5.408717,[ 8 11] ; [ 1 14],[ 5.02941176 13.97058824] ; [ 3.97058824 11.02941176],0
n6,1,0.021953,5.249487,[16 16] ; [22  6],[20.26666667 11.73333333] ; [17.73333333 10.26666667],0
s2,1,0.022687,5.192308,[ 7 25] ; [14 14],[11.2 20.8] ; [ 9.8 18.2],0
v4,1,0.023897,5.102111,[19 13] ; [24  4],[22.93333333  9.06666667] ; [20.06666667  7.93333333],0
s3,1,0.028465,4.799682,[10 21] ; [17 11],[14.18644068 16.81355932] ; [12.81355932 15.18644068],0
p8,1,0.030626,4.673791,[ 5 27] ; [11 16],[ 8.6779661 23.3220339] ; [ 7.3220339 19.6779661],0
u2,1,0.031305,4.636173,[ 2 16] ; [7 9],[ 4.76470588 13.23529412] ; [ 4.23529412 11.76470588],0
s5,1,0.036245,4.385545,[ 2 30] ; [ 7 20],[ 4.88135593 27.11864407] ; [ 4.11864407 22.88135593],0
s8,1,0.038676,4.275061,[ 5 27] ; [11 17],[ 8.53333333 23.46666667] ; [ 7.46666667 20.53333333],0
n3,1,0.040424,4.2,[7 9] ; [7 1],[9.33333333 6.66666667] ; [4.66666667 3.33333333],0
v2,1,0.04573,3.991498,[ 5 26] ; [11 17],[ 8.40677966 22.59322034] ; [ 7.59322034 20.40677966],0
s6,1,0.046432,3.96585,[ 9 23] ; [14 12],[12.68965517 19.31034483] ; [10.31034483 15.68965517],0
s7,1,0.072046,3.235773,[ 7 23] ; [12 14],[10.17857143 19.82142857] ; [ 8.82142857 17.17857143],0
d5,1,0.108515,2.575722,[10 22] ; [14 13],[13.01694915 18.98305085] ; [10.98305085 16.01694915],0
b1,1,0.161601,1.959184,[16 16] ; [19  9],[18.66666667 13.33333333] ; [16.33333333 11.66666667],0
u3,1,0.183226,1.771266,[ 5 13] ; [8 8],[ 6.88235294 11.11764706] ; [6.11764706 9.88235294],0
p1,1,0.187003,1.741071,[ 6 26] ; [ 2 26],[ 4.26666667 27.73333333] ; [ 3.73333333 24.26666667],0
n5,1,0.20015,1.64128,[25  7] ; [17 10],[22.77966102  9.22033898] ; [19.22033898  7.77966102],0
s4,1,0.211894,1.558442,[ 4 28] ; [ 7 21],[ 5.86666667 26.13333333] ; [ 5.13333333 22.86666667],0
s1,1,0.226797,1.460837,[ 4 28] ; [ 1 26],[ 2.71186441 29.28813559] ; [ 2.28813559 24.71186441],0
v1,1,0.23264,1.424647,[ 9 23] ; [12 16],[11.2 20.8] ; [ 9.8 18.2],0
b4,1,0.2452,1.350446,[15 17] ; [ 9 19],[12.8 19.2] ; [11.2 16.8],0
p10,1,0.254978,1.295823,[10 20] ; [13 14],[12.10526316 17.89473684] ; [10.89473684 16.10526316],0
d3,1,0.270437,1.21453,[ 8 24] ; [10 16],[ 9.93103448 22.06896552] ; [ 8.06896552 17.93103448],0
a6,1,0.300623,1.071429,[14 18] ; [16 12],[16. 16.] ; [14. 14.],0
a5,1,0.315945,1.00566,[13 19] ; [15 13],[14.93333333 17.06666667] ; [13.06666667 14.93333333],0
a7,1,0.317708,0.99836,[16 16] ; [17 10],[17.89830508 14.10169492] ; [15.10169492 11.89830508],0
r1,1,0.388494,0.743649,[13 19] ; [14 13],[14.6440678 17.3559322] ; [12.3559322 14.6440678],0
b5,1,0.427186,0.630462,[15 17] ; [16 12],[16.53333333 15.46666667] ; [14.46666667 13.53333333],0
a8,1,0.445009,0.583333,[ 3 25] ; [ 5 23],[ 4. 24.] ; [ 4. 24.],0
n4,1,0.448125,0.575391,[22 10] ; [16 11],[20.61016949 11.38983051] ; [17.38983051  9.61016949],0
r2,1,0.448486,0.574477,[25  7] ; [24  4],[26.13333333  5.86666667] ; [22.86666667  5.13333333],0
p5,1,0.455691,0.556458,[ 1 31] ; [ 2 25],[ 1.62711864 30.37288136] ; [ 1.37288136 25.62711864],0
n2,1,0.596613,0.280135,[11  7] ; [4 4],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
a2,1,0.754969,0.097403,[ 3 29] ; [ 2 26],[ 2.66666667 29.33333333] ; [ 2.33333333 25.66666667],0
a3,1,0.770657,0.084982,[14 16] ; [12 16],[13.44827586 16.55172414] ; [12.55172414 15.44827586],0
v3,1,0.811453,0.056907,[ 8 23] ; [ 8 20],[ 8.40677966 22.59322034] ; [ 7.59322034 20.40677966],0
a4,1,0.882737,0.021756,[ 6 25] ; [ 5 23],[ 5.77966102 25.22033898] ; [ 5.22033898 22.77966102],0
p9,1,0.896432,0.016944,[15 14] ; [14 14],[14.75438596 14.24561404] ; [14.24561404 13.75438596],0
d1,1,0.923436,0.009236,[ 1 31] ; [ 1 27],[ 1.06666667 30.93333333] ; [ 0.93333333 27.06666667],0
n1,1,0.946434,0.004514,[ 7 11] ; [3 5],[ 6.92307692 11.07692308] ; [3.07692308 4.92307692],0
