Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.7e-05,17.008075,[62 43] ; [ 53 106],[45.73863636 59.26136364] ; [69.26136364 89.73863636],1
s6,1,0.000304,13.043258,[74 37] ; [74 92],[59.30685921 51.69314079] ; [88.69314079 77.30685921],1
s2,1,0.000337,12.853017,[57 53] ; [ 50 115],[42.8 67.2] ; [ 64.2 100.8],1
v3,1,0.001085,10.675885,[43 61] ; [ 36 124],[31.12121212 72.87878788] ; [ 47.87878788 112.12121212],0
p2,1,0.002541,9.110699,[78 34] ; [86 81],[65.83512545 46.16487455] ; [98.16487455 68.83512545],0
p9,1,0.002767,8.955105,[85 25] ; [97 65],[73.60294118 36.39705882] ; [108.39705882  53.60294118],0
p3,1,0.004574,8.040754,[38 73] ; [ 32 135],[27.94964029 83.05035971] ; [ 42.05035971 124.94964029],0
v4,1,0.007886,7.059136,[102   9] ; [134  33],[94.23021583 16.76978417] ; [141.76978417  25.23021583],0
r3,1,0.010312,6.580268,[102   9] ; [134  32],[94.57039711 16.42960289] ; [141.42960289  24.57039711],0
p11,1,0.010499,6.548136,[80 32] ; [94 73],[69.84946237 42.15053763] ; [104.15053763  62.84946237],0
s8,1,0.014891,5.929292,[42 70] ; [ 40 127],[32.91756272 79.08243728] ; [ 49.08243728 117.91756272],0
r4,1,0.035422,4.424727,[91 21] ; [117  50],[83.49820789 28.50179211] ; [124.50179211  42.49820789],0
s3,1,0.042189,4.127603,[57 53] ; [ 65 100],[48.8 61.2] ; [73.2 91.8],0
s7,1,0.066897,3.357563,[42 63] ; [ 46 112],[35.13307985 69.86692015] ; [ 52.86692015 105.13307985],0
a5,1,0.068858,3.310025,[79 33] ; [100  67],[71.85663082 40.14336918] ; [107.14336918  59.85663082],0
b5,1,0.071445,3.249503,[77 35] ; [97 70],[69.84946237 42.15053763] ; [104.15053763  62.84946237],0
p4,1,0.071505,3.248119,[44 68] ; [ 48 118],[37.0647482 74.9352518] ; [ 54.9352518 111.0647482],0
u3,1,0.088326,2.90462,[22 11] ; [30 32],[18.06315789 14.93684211] ; [33.93684211 28.06315789],0
p12,1,0.096447,2.763334,[ 10 100] ; [  7 160],[  6.75090253 103.24909747] ; [ 10.24909747 156.75090253],0
p10,1,0.097066,2.753095,[74 37] ; [93 71],[67.40727273 43.59272727] ; [99.59272727 64.40727273],0
p5,1,0.097942,2.738743,[  7 103] ; [  4 163],[  4.36823105 105.63176895] ; [  6.63176895 160.36823105],0
r2,1,0.100724,2.694048,[103   9] ; [141  24],[98.65703971 13.34296029] ; [145.34296029  19.65703971],0
r1,1,0.182915,1.773782,[82 30] ; [109  57],[76.94964029 35.05035971] ; [114.05035971  51.94964029],0
d5,1,0.196452,1.668558,[90 22] ; [123  44],[85.50537634 26.49462366] ; [127.49462366  39.50537634],0
a3,1,0.208052,1.584931,[79 33] ; [105  61],[74.1294964 37.8705036] ; [109.8705036  56.1294964],0
p6,1,0.212528,1.55412,[16 94] ; [ 16 150],[12.75362319 97.24637681] ; [ 19.24637681 146.75362319],0
s5,1,0.237033,1.398152,[31 75] ; [ 36 122],[26.90151515 79.09848485] ; [ 40.09848485 117.90151515],0
u2,1,0.242756,1.364516,[18 14] ; [27 35],[15.31914894 16.68085106] ; [29.68085106 32.31914894],0
a8,1,0.280137,1.166423,[10 91] ; [ 10 150],[ 7.7394636 93.2605364] ; [ 12.2605364 147.7394636],0
b1,1,0.32374,0.973778,[41 71] ; [71 96],[44.96057348 67.03942652] ; [67.03942652 99.96057348],0
s4,1,0.350049,0.873278,[17 93] ; [ 33 133],[19.92753623 90.07246377] ; [ 30.07246377 135.92753623],0
a2,1,0.369835,0.804219,[25 87] ; [ 30 137],[22.07885305 89.92114695] ; [ 32.92114695 134.07885305],0
a6,1,0.423371,0.640938,[75 37] ; [104  63],[71.85663082 40.14336918] ; [107.14336918  59.85663082],0
a4,1,0.426478,0.632397,[54 58] ; [72 94],[50.76258993 61.23741007] ; [75.23741007 90.76258993],0
a1,1,0.454786,0.558695,[  5 107] ; [ 11 156],[  6.42293907 105.57706093] ; [  9.57706093 157.42293907],0
b3,1,0.47152,0.518412,[27 38] ; [33 59],[24.84076433 40.15923567] ; [35.15923567 56.84076433],0
b2,1,0.47152,0.518412,[27 38] ; [33 59],[24.84076433 40.15923567] ; [35.15923567 56.84076433],0
p1,1,0.499177,0.456687,[  7 105] ; [ 14 152],[  8.46043165 103.53956835] ; [ 12.53956835 153.46043165],0
b4,1,0.502054,0.450592,[68 44] ; [108  59],[70.65232975 41.34767025] ; [105.34767025  61.65232975],0
n2,1,0.527088,0.400002,[24 10] ; [47 26],[22.56074766 11.43925234] ; [48.43925234 24.56074766],0
n3,1,0.632206,0.229081,[23 11] ; [44 26],[21.90384615 12.09615385] ; [45.09615385 24.90384615],0
u4,1,0.685425,0.164083,[  2 110] ; [  2 165],[  1.60573477 110.39426523] ; [  2.39426523 164.60573477],0
n4,1,0.687023,0.162327,[79 33] ; [114  53],[77.47670251 34.52329749] ; [115.52329749  51.47670251],0
s1,1,0.724325,0.124386,[  5 106] ; [  9 156],[  5.63043478 105.36956522] ; [  8.36956522 156.63043478],0
n1,1,0.736998,0.112783,[13 21] ; [30 42],[13.79245283 20.20754717] ; [29.20754717 42.79245283],0
u1,1,0.742519,0.107925,[17 95] ; [ 23 144],[16.05734767 95.94265233] ; [ 23.94265233 143.05734767],0
a7,1,0.770321,0.085238,[73 39] ; [111  55],[74.1294964 37.8705036] ; [109.8705036  56.1294964],0
n6,1,0.771206,0.084564,[80 31] ; [123  44],[81.05395683 29.94604317] ; [121.94604317  45.05395683],0
d3,1,0.771779,0.084128,[71 41] ; [103  64],[69.84946237 42.15053763] ; [104.15053763  62.84946237],0
d2,1,0.792316,0.069329,[51 60] ; [78 86],[52.06909091 58.93090909] ; [76.93090909 87.06909091],0
n5,1,0.821225,0.051062,[73 39] ; [106  60],[72.11510791 39.88489209] ; [106.88489209  59.11510791],0
d1,1,0.884411,0.021135,[58 54] ; [85 82],[57.40501792 54.59498208] ; [85.59498208 81.40501792],0
