Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.5e-05,18.77983,[74  8] ; [31 22],[63.77777778 18.22222222] ; [41.22222222 11.77777778],1
p9,1,3.1e-05,17.374249,[68 15] ; [22 25],[57.46153846 25.53846154] ; [32.53846154 14.46153846],1
p10,1,0.000193,13.893496,[61 22] ; [21 30],[50.79104478 32.20895522] ; [31.20895522 19.79104478],1
p11,1,0.000919,10.983466,[61 22] ; [24 29],[51.875 31.125] ; [33.125 19.875],1
r3,1,0.003506,8.5237,[68 14] ; [32 21],[60.74074074 21.25925926] ; [39.25925926 13.74074074],0
p7,1,0.004186,8.201168,[36 44] ; [11 42],[28.27067669 51.72932331] ; [18.72932331 34.27067669],0
p8,1,0.008812,6.860606,[31 49] ; [ 9 43],[24.24242424 55.75757576] ; [15.75757576 36.24242424],0
s3,1,0.009822,6.666967,[37 45] ; [12 40],[29.98507463 52.01492537] ; [19.01492537 32.98507463],0
s6,1,0.012856,6.188767,[40 40] ; [15 38],[33.08270677 46.91729323] ; [21.91729323 31.08270677],0
s2,1,0.014578,5.966705,[34 49] ; [11 42],[27.46323529 55.53676471] ; [17.53676471 35.46323529],0
b1,1,0.015585,5.849064,[28 55] ; [29 24],[34.78676471 48.21323529] ; [22.21323529 30.78676471],0
r4,1,0.031636,4.618098,[47 36] ; [20 33],[40.88970588 42.11029412] ; [26.11029412 26.88970588],0
s4,1,0.032689,4.562008,[22 61] ; [ 6 47],[17.08823529 65.91176471] ; [10.91176471 42.08823529],0
p4,1,0.038899,4.26527,[29 53] ; [10 43],[23.68888889 58.31111111] ; [15.31111111 37.68888889],0
p6,1,0.061903,3.485648,[22 59] ; [ 7 45],[17.66165414 63.33834586] ; [11.33834586 40.66165414],0
a1,1,0.080167,3.061505,[ 4 79] ; [ 7 46],[ 6.71323529 76.28676471] ; [ 4.28676471 48.71323529],0
n3,1,0.096321,2.765432,[26 10] ; [10 10],[23.14285714 12.85714286] ; [12.85714286  7.14285714],0
r2,1,0.107551,2.589844,[63 17] ; [33 17],[59.07692308 20.92307692] ; [36.92307692 13.07692308],0
n6,1,0.108642,2.573861,[61 22] ; [32 21],[56.75735294 26.24264706] ; [36.24264706 16.75735294],0
n2,1,0.12465,2.357895,[27  9] ; [11  9],[24.42857143 11.57142857] ; [13.57142857  6.42857143],0
s1,1,0.137284,2.208144,[ 1 81] ; [ 3 50],[ 2.42962963 79.57037037] ; [ 1.57037037 51.42962963],0
a2,1,0.149759,2.074704,[ 5 78] ; [ 7 46],[ 7.32352941 75.67647059] ; [ 4.67647059 48.32352941],0
u1,1,0.159535,1.978632,[ 3 80] ; [ 5 48],[ 4.88235294 78.11764706] ; [ 3.11764706 49.88235294],0
n1,1,0.167189,1.907965,[10 25] ; [ 9 10],[12.31481481 22.68518519] ; [ 6.68518519 12.31481481],0
s5,1,0.168626,1.895117,[18 61] ; [ 7 46],[14.96212121 64.03787879] ; [10.03787879 42.96212121],0
v2,1,0.182827,1.774489,[32 51] ; [13 35],[28.51145038 54.48854962] ; [16.48854962 31.51145038],0
a8,1,0.189224,1.723647,[10 68] ; [ 3 49],[ 7.8 70.2] ; [ 5.2 46.8],0
d2,1,0.194131,1.685984,[29 54] ; [24 28],[32.58518519 50.41481481] ; [20.41481481 31.58518519],0
b2,1,0.219016,1.510807,[13 29] ; [16 20],[15.61538462 26.38461538] ; [13.38461538 22.61538462],0
b3,1,0.219016,1.510807,[13 29] ; [16 20],[15.61538462 26.38461538] ; [13.38461538 22.61538462],0
s7,1,0.264749,1.243752,[23 57] ; [10 40],[20.30769231 59.69230769] ; [12.69230769 37.30769231],0
s8,1,0.266263,1.235899,[19 64] ; [ 8 45],[16.47794118 66.52205882] ; [10.52205882 42.47794118],0
a5,1,0.316343,1.004006,[35 48] ; [27 26],[37.83823529 45.16176471] ; [24.16176471 28.83823529],0
a3,1,0.364708,0.821618,[43 39] ; [32 21],[45.55555556 36.44444444] ; [29.44444444 23.55555556],0
b5,1,0.397731,0.715175,[53 30] ; [30 23],[50.65441176 32.34558824] ; [32.34558824 20.65441176],0
a7,1,0.423266,0.64123,[46 36] ; [26 27],[43.73333333 38.26666667] ; [28.26666667 24.73333333],0
d1,1,0.440931,0.593858,[26 57] ; [20 33],[28.07352941 54.92647059] ; [17.92647059 35.07352941],0
b4,1,0.524308,0.405411,[50 33] ; [29 24],[48.21323529 34.78676471] ; [30.78676471 22.21323529],0
a4,1,0.53734,0.380492,[23 60] ; [17 35],[24.59259259 58.40740741] ; [15.40740741 36.59259259],0
n4,1,0.574722,0.314845,[51 32] ; [30 23],[49.43382353 33.56617647] ; [31.56617647 21.43382353],0
v1,1,0.575399,0.313731,[23 55] ; [13 39],[21.6 56.4] ; [14.4 37.6],0
a6,1,0.639446,0.219468,[42 41] ; [29 24],[43.33088235 39.66911765] ; [27.66911765 25.33088235],0
d5,1,0.666883,0.18527,[51 31] ; [31 22],[49.80740741 32.19259259] ; [32.19259259 20.80740741],0
u2,1,0.729536,0.119538,[19 21] ; [ 9 12],[18.36065574 21.63934426] ; [ 9.63934426 11.36065574],0
v3,1,0.731924,0.117352,[19 64] ; [13 38],[19.82089552 63.17910448] ; [12.17910448 38.82089552],0
u4,1,0.747289,0.103823,[ 1 82] ; [ 1 52],[ 1.22058824 81.77941176] ; [ 0.77941176 52.22058824],0
u3,1,0.747456,0.103681,[15 25] ; [ 7 14],[14.42622951 25.57377049] ; [ 7.57377049 13.42622951],0
p5,1,0.789472,0.071287,[ 4 79] ; [ 2 50],[ 3.68888889 79.31111111] ; [ 2.31111111 49.68888889],0
d4,1,0.851115,0.03523,[53 30] ; [33 20],[52.48529412 30.51470588] ; [33.51470588 19.48529412],0
d3,1,0.859765,0.031214,[41 40] ; [26 27],[40.5 40.5] ; [26.5 26.5],0
n5,1,0.913825,0.011711,[54 29] ; [34 19],[53.70588235 29.29411765] ; [34.29411765 18.70588235],0
p12,1,0.972427,0.001195,[ 3 79] ; [ 2 51],[ 3.03703704 78.96296296] ; [ 1.96296296 51.03703704],0
