Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.7e-05,16.214397,[12 12] ; [13 86],[ 4.87804878 19.12195122] ; [20.12195122 78.87804878],1
s6,1,8.8e-05,15.382452,[18  6] ; [31 68],[ 9.56097561 14.43902439] ; [39.43902439 59.56097561],1
s7,1,0.000739,11.387514,[11  9] ; [18 77],[ 5.04347826 14.95652174] ; [23.95652174 71.04347826],1
p6,1,0.001813,9.729801,[11 12] ; [17 81],[ 5.32231405 17.67768595] ; [22.67768595 75.32231405],0
v3,1,0.002323,9.274663,[14  9] ; [26 69],[ 7.79661017 15.20338983] ; [32.20338983 62.79661017],0
r3,1,0.003287,8.640647,[23  1] ; [65 34],[17.17073171  6.82926829] ; [70.82926829 28.17073171],0
s5,1,0.004529,8.058437,[10 14] ; [15 82],[ 4.95867769 19.04132231] ; [20.04132231 76.95867769],0
u1,1,0.008132,7.004182,[ 7 17] ; [ 9 91],[ 3.09677419 20.90322581] ; [12.90322581 87.09677419],0
p4,1,0.010812,6.495891,[13 10] ; [28 70],[ 7.79338843 15.20661157] ; [33.20661157 64.79338843],0
p10,1,0.016056,5.796699,[16  7] ; [40 56],[10.82352941 12.17647059] ; [45.17647059 50.82352941],0
p3,1,0.021066,5.32133,[12 11] ; [27 72],[ 7.35245902 15.64754098] ; [31.64754098 67.35245902],0
v2,1,0.036846,4.357495,[14 10] ; [34 63],[ 9.52066116 14.47933884] ; [38.47933884 58.52066116],0
u3,1,0.038449,4.285069,[6 2] ; [13 24],[3.37777778 4.62222222] ; [15.62222222 21.37777778],0
r4,1,0.045272,4.008472,[19  5] ; [57 43],[14.70967742  9.29032258] ; [61.29032258 38.70967742],0
v1,1,0.053891,3.716083,[13 11] ; [33 67],[ 8.90322581 15.09677419] ; [37.09677419 62.90322581],0
d4,1,0.068087,3.328549,[21  3] ; [69 31],[17.41935484  6.58064516] ; [72.58064516 27.41935484],0
p9,1,0.077366,3.119392,[15  8] ; [42 52],[11.20512821 11.79487179] ; [45.79487179 48.20512821],0
n6,1,0.079457,3.075965,[18  5] ; [58 41],[14.32786885  8.67213115] ; [61.67213115 37.32786885],0
s1,1,0.094435,2.797104,[ 3 20] ; [ 4 95],[ 1.31967213 21.68032787] ; [ 5.68032787 93.31967213],0
a4,1,0.112314,2.521361,[14 10] ; [40 59],[10.53658537 13.46341463] ; [43.46341463 55.53658537],0
a5,1,0.124671,2.357632,[18  6] ; [58 42],[14.70967742  9.29032258] ; [61.29032258 38.70967742],0
u2,1,0.169703,1.885565,[5 3] ; [13 23],[3.27272727 4.72727273] ; [14.72727273 21.27272727],0
d2,1,0.188734,1.727473,[13 11] ; [39 60],[10.14634146 13.85365854] ; [41.85365854 57.14634146],0
p2,1,0.202685,1.622924,[15  8] ; [50 49],[12.25409836 10.74590164] ; [52.74590164 46.25409836],0
r2,1,0.22733,1.457488,[22  2] ; [79 18],[20.03305785  3.96694215] ; [80.96694215 16.03305785],0
p7,1,0.270328,1.21508,[11 12] ; [34 62],[ 8.69747899 14.30252101] ; [36.30252101 59.69747899],0
n1,1,0.27809,1.176399,[1 6] ; [14 26],[2.23404255 4.76595745] ; [12.76595745 27.23404255],0
v4,1,0.288309,1.1275,[21  3] ; [77 22],[19.12195122  4.87804878] ; [78.87804878 20.12195122],0
d3,1,0.331568,0.942766,[16  7] ; [58 41],[13.95081967  9.04918033] ; [60.04918033 38.95081967],0
b4,1,0.353981,0.859136,[15  9] ; [52 48],[12.96774194 11.03225806] ; [54.03225806 45.96774194],0
d5,1,0.386016,0.751456,[19  4] ; [74 26],[17.3902439  5.6097561] ; [75.6097561 24.3902439],0
s4,1,0.403944,0.696555,[ 5 19] ; [14 86],[ 3.67741935 20.32258065] ; [15.32258065 84.67741935],0
