Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00023,13.570865,[13 61] ; [13 10],[19.83505155 54.16494845] ; [ 6.16494845 16.83505155],1
p11,1,0.001002,10.824477,[27 47] ; [18  6],[33.97959184 40.02040816] ; [11.02040816 12.97959184],0
p7,1,0.001258,10.403229,[15 57] ; [12  9],[20.90322581 51.09677419] ; [ 6.09677419 14.90322581],0
p5,1,0.002213,9.364285,[ 3 70] ; [ 6 18],[ 6.77319588 66.22680412] ; [ 2.22680412 21.77319588],0
p10,1,0.006577,7.384945,[29 44] ; [16  6],[34.57894737 38.42105263] ; [10.42105263 11.57894737],0
p2,1,0.006705,7.350413,[31 41] ; [18  6],[36.75 35.25] ; [12.25 11.75],0
v4,1,0.008028,7.027223,[38 34] ; [20  4],[43.5 28.5] ; [14.5  9.5],0
p3,1,0.01193,6.321258,[10 62] ; [ 9 15],[14.25 57.75] ; [ 4.75 19.25],0
s1,1,0.014009,6.037048,[ 2 71] ; [ 4 20],[ 4.51546392 68.48453608] ; [ 1.48453608 22.51546392],0
n6,1,0.014679,5.954565,[36 37] ; [18  5],[41.0625 31.9375] ; [12.9375 10.0625],0
s7,1,0.017712,5.624412,[10 58] ; [ 9 15],[14.04347826 53.95652174] ; [ 4.95652174 19.04347826],0
p6,1,0.027612,4.85212,[ 6 65] ; [ 6 17],[ 9.06382979 61.93617021] ; [ 2.93617021 20.06382979],0
u3,1,0.032808,4.555785,[ 6 27] ; [6 6],[ 8.8 24.2] ; [3.2 8.8],0
p9,1,0.033522,4.518922,[32 38] ; [17  7],[36.4893617 33.5106383] ; [12.5106383 11.4893617],0
s8,1,0.047742,3.919047,[ 5 69] ; [ 5 19],[ 7.55102041 66.44897959] ; [ 2.44897959 21.55102041],0
p12,1,0.075565,3.157789,[ 1 73] ; [ 2 21],[ 2.28865979 71.71134021] ; [ 0.71134021 22.28865979],0
a4,1,0.115986,2.470703,[28 45] ; [ 5 19],[24.83505155 48.16494845] ; [ 8.16494845 15.83505155],0
b3,1,0.159066,1.983082,[19 23] ; [ 4 12],[16.65517241 25.34482759] ; [6.34482759 9.65517241],0
b2,1,0.159066,1.983082,[19 23] ; [ 4 12],[16.65517241 25.34482759] ; [6.34482759 9.65517241],0
n2,1,0.204962,1.606663,[16 18] ; [10  5],[18.04081633 15.95918367] ; [7.95918367 7.04081633],0
a1,1,0.260824,1.264379,[ 9 65] ; [ 1 23],[ 7.55102041 66.44897959] ; [ 2.44897959 21.55102041],0
d1,1,0.300816,1.070573,[27 47] ; [ 6 18],[24.91836735 49.08163265] ; [ 8.08163265 15.91836735],0
d4,1,0.308064,1.038957,[48 25] ; [13 11],[45.90721649 27.09278351] ; [15.09278351  8.90721649],0
a6,1,0.340902,0.907037,[36 38] ; [ 9 15],[33.97959184 40.02040816] ; [11.02040816 12.97959184],0
a3,1,0.344098,0.895105,[41 31] ; [11 13],[39. 33.] ; [13. 11.],0
r3,1,0.372279,0.796044,[31 40] ; [13 11],[32.88421053 38.11578947] ; [11.11578947 12.88421053],0
v3,1,0.378963,0.774063,[15 58] ; [ 3 21],[13.54639175 59.45360825] ; [ 4.45360825 19.54639175],0
a7,1,0.409294,0.680851,[35 37] ; [14 10],[36.75 35.25] ; [12.25 11.75],0
b4,1,0.414132,0.666906,[47 27] ; [13 11],[45.30612245 28.69387755] ; [14.69387755  9.30612245],0
s4,1,0.446971,0.578323,[ 8 66] ; [ 4 20],[ 9.06122449 64.93877551] ; [ 2.93877551 21.06122449],0
n1,1,0.451441,0.567031,[12 22] ; [7 8],[13.18367347 20.81632653] ; [5.81632653 9.18367347],0
d2,1,0.544936,0.366468,[29 43] ; [ 8 16],[27.75 44.25] ; [ 9.25 14.75],0
r1,1,0.545813,0.364872,[23 50] ; [ 6 18],[21.82474227 51.17525773] ; [ 7.17525773 16.82474227],0
a5,1,0.638491,0.220721,[38 36] ; [11 13],[37. 37.] ; [12. 12.],0
s3,1,0.694729,0.154014,[13 59] ; [ 5 18],[13.64210526 58.35789474] ; [ 4.35789474 18.64210526],0
v1,1,0.704186,0.144153,[22 50] ; [ 8 15],[22.73684211 49.26315789] ; [ 7.26315789 15.73684211],0
b5,1,0.722719,0.125903,[37 37] ; [13 11],[37.75510204 36.24489796] ; [12.24489796 11.75510204],0
s6,1,0.725842,0.122964,[18 56] ; [ 5 19],[17.36734694 56.63265306] ; [ 5.63265306 18.36734694],0
p1,1,0.727525,0.121396,[ 8 66] ; [ 2 22],[ 7.55102041 66.44897959] ; [ 2.44897959 21.55102041],0
u2,1,0.733594,0.115837,[13 19] ; [6 7],[13.51111111 18.48888889] ; [5.48888889 7.51111111],0
d5,1,0.829401,0.046427,[45 29] ; [14 10],[44.55102041 29.44897959] ; [14.44897959  9.55102041],0
v2,1,0.835985,0.042862,[22 48] ; [ 7 17],[21.59574468 48.40425532] ; [ 7.40425532 16.59574468],0
d3,1,0.861285,0.030533,[35 38] ; [12 12],[35.37113402 37.62886598] ; [11.62886598 12.37113402],0
n3,1,0.906958,0.01366,[17 16] ; [8 7],[17.1875 15.8125] ; [7.8125 7.1875],0
r2,1,0.907904,0.013382,[39 31] ; [12  9],[39.23076923 30.76923077] ; [11.76923077  9.23076923],0
n5,1,0.959378,0.002594,[44 29] ; [14  9],[44.10416667 28.89583333] ; [13.89583333  9.10416667],0
n4,1,0.960698,0.002428,[43 30] ; [14 10],[42.89690722 30.10309278] ; [14.10309278  9.89690722],0
a2,1,0.965005,0.001925,[ 9 65] ; [ 3 21],[ 9.06122449 64.93877551] ; [ 2.93877551 21.06122449],0
u1,1,0.972066,0.001226,[ 6 68] ; [ 2 22],[ 6.04081633 67.95918367] ; [ 1.95918367 22.04081633],0
b1,1,0.992324,9.3e-05,[40 34] ; [13 11],[40.02040816 33.97959184] ; [12.97959184 11.02040816],0
