Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,59.600109,[91 18] ; [ 3 28],[73.18571429 35.81428571] ; [20.81428571 10.18571429],1
v4,1,0.0,32.971363,[95 13] ; [12 19],[83.13669065 24.86330935] ; [23.86330935  7.13669065],1
r2,1,4e-06,21.334602,[98 11] ; [16 14],[89.39568345 19.60431655] ; [24.60431655  5.39568345],1
r1,1,5e-06,20.846893,[83 26] ; [10 21],[72.40714286 36.59285714] ; [20.59285714 10.40714286],1
p2,1,7.6e-05,15.665658,[65 44] ; [ 6 25],[55.27857143 53.72142857] ; [15.72142857 15.27857143],1
a1,1,0.000882,11.059914,[  3 106] ; [ 6 25],[  7.00714286 101.99285714] ; [ 1.99285714 29.00714286],1
n5,1,0.004051,8.260614,[49 60] ; [23  8],[56.05714286 52.94285714] ; [15.94285714 15.05714286],0
p11,1,0.00469,7.995194,[52 57] ; [ 6 25],[45.15714286 63.84285714] ; [12.84285714 18.15714286],0
d4,1,0.004718,7.984451,[81 27] ; [15 16],[74.58992806 33.41007194] ; [21.41007194  9.58992806],0
v1,1,0.009903,6.652198,[45 64] ; [ 5 26],[38.92857143 70.07142857] ; [11.07142857 19.92857143],0
s6,1,0.012727,6.206722,[51 56] ; [ 7 24],[44.97101449 62.02898551] ; [13.02898551 17.97101449],0
a7,1,0.014412,5.986939,[69 40] ; [12 19],[63.06428571 45.93571429] ; [17.93571429 13.06428571],0
v2,1,0.015254,5.886876,[46 60] ; [ 6 25],[40.23357664 65.76642336] ; [11.76642336 19.23357664],0
p4,1,0.016081,5.793964,[47 62] ; [ 6 25],[41.26428571 67.73571429] ; [11.73571429 19.26428571],0
u3,1,0.01882,5.518134,[29 22] ; [ 3 11],[25.10769231 25.89230769] ; [6.89230769 7.10769231],0
p8,1,0.020031,5.409182,[34 75] ; [ 3 27],[29.01438849 79.98561151] ; [ 7.98561151 22.01438849],0
p7,1,0.030902,4.658373,[48 61] ; [ 7 24],[42.82142857 66.17857143] ; [12.17857143 18.82142857],0
p3,1,0.034997,4.445343,[39 69] ; [ 5 26],[34.18705036 73.81294964] ; [ 9.81294964 21.18705036],0
n6,1,0.038878,4.266211,[70 39] ; [13 17],[65.08633094 43.91366906] ; [17.91366906 12.08633094],0
p6,1,0.040277,4.206163,[25 81] ; [ 2 28],[21.04411765 84.95588235] ; [ 5.95588235 24.04411765],0
d5,1,0.047742,3.919052,[77 32] ; [16 15],[72.40714286 36.59285714] ; [20.59285714 10.40714286],0
n2,1,0.059415,3.553633,[25 13] ; [ 8 12],[21.62068966 16.37931034] ; [11.37931034  8.62068966],0
u1,1,0.069425,3.296553,[17 92] ; [ 1 30],[14.01428571 94.98571429] ; [ 3.98571429 27.01428571],0
b2,1,0.082998,3.005201,[15 47] ; [10 13],[18.23529412 43.76470588] ; [ 6.76470588 16.23529412],0
b3,1,0.082998,3.005201,[15 47] ; [10 13],[18.23529412 43.76470588] ; [ 6.76470588 16.23529412],0
s1,1,0.09182,2.842166,[  7 101] ; [ 5 26],[ 9.32374101 98.67625899] ; [ 2.67625899 28.32374101],0
