Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,32.492659,[ 31 130] ; [74 74],[ 54.70873786 106.29126214] ; [50.29126214 97.70873786],1
v1,1,6.9e-05,15.850023,[ 56 106] ; [84 63],[73.39805825 88.60194175] ; [66.60194175 80.39805825],1
r3,1,0.000141,14.482506,[140  27] ; [146   5],[150.19496855  16.80503145] ; [135.80503145  15.19496855],1
r1,1,0.000377,12.6411,[113  54] ; [128  23],[126.56289308  40.43710692] ; [114.43710692  36.56289308],1
s1,1,0.000702,11.482645,[ 15 151] ; [  1 149],[  8.40506329 157.59493671] ; [  7.59493671 142.40506329],1
p12,1,0.002882,8.880962,[  4 161] ; [ 16 135],[ 10.44303797 154.55696203] ; [  9.55696203 141.44303797],0
d4,1,0.004831,7.941661,[121  46] ; [129  22],[131.28930818  35.71069182] ; [118.71069182  32.28930818],0
a7,1,0.005867,7.590672,[107  60] ; [118  33],[118.16037736  48.83962264] ; [106.83962264  44.16037736],0
d1,1,0.006487,7.409905,[79 88] ; [95 57],[91.09090909 75.90909091] ; [82.90909091 69.09090909],0
a5,1,0.010959,6.471889,[108  59] ; [118  34],[118.31347962  48.68652038] ; [107.68652038  44.31347962],0
p9,1,0.012302,6.266758,[112  52] ; [121  29],[121.69426752  42.30573248] ; [111.30573248  38.69426752],0
p4,1,0.012966,6.173717,[ 58 108] ; [74 78],[68.90566038 97.09433962] ; [63.09433962 88.90566038],0
d5,1,0.01732,5.663622,[121  46] ; [127  25],[129.830721  37.169279] ; [118.169279  33.830721],0
s6,1,0.020742,5.348311,[85 80] ; [96 53],[95.11146497 69.88853503] ; [85.88853503 63.11146497],0
p2,1,0.031197,4.642095,[103  64] ; [111  41],[112.03134796  54.96865204] ; [101.96865204  50.03134796],0
s8,1,0.035229,4.434052,[ 46 121] ; [58 92],[ 54.78864353 112.21135647] ; [ 49.21135647 100.78864353],0
p10,1,0.035259,4.432611,[103  62] ; [111  40],[111.74050633  53.25949367] ; [102.25949367  48.74050633],0
r4,1,0.07967,3.071616,[138  29] ; [136  16],[143.44200627  23.55799373] ; [130.55799373  21.44200627],0
n6,1,0.096387,2.764324,[122  45] ; [123  29],[128.26018809  38.73981191] ; [116.73981191  35.26018809],0
p6,1,0.097072,2.752999,[ 20 147] ; [ 28 122],[ 25.28706625 141.71293375] ; [ 22.71293375 127.28706625],0
s2,1,0.109132,2.566753,[66 99] ; [73 76],[73.04140127 91.95859873] ; [65.95859873 83.04140127],0
p5,1,0.140701,2.17028,[ 13 152] ; [  6 146],[  9.88958991 155.11041009] ; [  9.11041009 142.88958991],0
d3,1,0.143798,2.136834,[100  67] ; [103  49],[106.27272727  60.72727273] ; [96.72727273 55.27272727],0
s7,1,0.164672,1.930791,[ 55 104] ; [61 83],[60.87128713 98.12871287] ; [55.12871287 88.87128713],0
n3,1,0.165379,1.924344,[34 23] ; [30 11],[37.2244898 19.7755102] ; [26.7755102 14.2244898],0
b1,1,0.175966,1.831371,[ 66 101] ; [ 49 103],[ 60.20376176 106.79623824] ; [54.79623824 97.20376176],0
p1,1,0.180078,1.796983,[ 18 148] ; [ 10 142],[ 14.6163522 151.3836478] ; [ 13.3836478 138.6163522],0
u2,1,0.189902,1.718379,[28 33] ; [27 19],[31.35514019 29.64485981] ; [23.64485981 22.35514019],0
p11,1,0.195793,1.673481,[105  62] ; [106  46],[110.46081505  56.53918495] ; [100.53918495  51.46081505],0
b3,1,0.21519,1.536164,[32 65] ; [36 50],[36.04371585 60.95628415] ; [31.95628415 54.04371585],0
b2,1,0.21519,1.536164,[32 65] ; [36 50],[36.04371585 60.95628415] ; [31.95628415 54.04371585],0
p8,1,0.256004,1.290238,[ 37 129] ; [ 42 109],[ 41.36908517 124.63091483] ; [ 37.63091483 113.36908517],0
a3,1,0.266418,1.235098,[106  60] ; [106  46],[110.66666667  55.33333333] ; [101.33333333  50.66666667],0
n5,1,0.269152,1.221065,[117  50] ; [97 54],[112.3836478  54.6163522] ; [101.6163522  49.3836478],0
p3,1,0.307234,1.042531,[ 49 117] ; [53 99],[ 53.24528302 112.75471698] ; [ 48.75471698 103.24528302],0
s4,1,0.328809,0.953583,[ 31 134] ; [ 22 128],[ 27.76190476 137.23809524] ; [ 25.23809524 124.76190476],0
v4,1,0.344995,0.89178,[149  17] ; [141  11],[151.3836478  14.6163522] ; [138.6163522  13.3836478],0
n1,1,0.503228,0.448122,[27 32] ; [16 25],[25.37 33.63] ; [17.63 23.37],0
d2,1,0.540238,0.375099,[79 86] ; [77 73],[81.71428571 83.28571429] ; [74.28571429 75.71428571],0
s5,1,0.544232,0.367752,[ 38 121] ; [ 38 103],[ 40.28 118.72] ; [ 35.72 105.28],0
u1,1,0.603265,0.2701,[ 25 142] ; [ 26 126],[ 26.69905956 140.30094044] ; [ 24.30094044 127.69905956],0
b5,1,0.605286,0.267097,[103  64] ; [98 54],[105.22570533  61.77429467] ; [95.77429467 56.22570533],0
