Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.1e-05,19.360238,[14  7] ; [14 64],[ 5.93939394 15.06060606] ; [22.06060606 55.93939394],1
s2,1,0.006856,7.31033,[ 9 10] ; [14 64],[ 4.50515464 14.49484536] ; [18.49484536 59.50515464],0
s1,1,0.015856,5.818809,[ 4 17] ; [ 3 75],[ 1.48484848 19.51515152] ; [ 5.51515152 72.48484848],0
n3,1,0.016643,5.733639,[8 1] ; [15 19],[4.81395349 4.18604651] ; [18.18604651 15.81395349],0
n2,1,0.02896,4.770016,[8 1] ; [18 19],[5.08695652 3.91304348] ; [20.91304348 16.08695652],0
r3,1,0.049556,3.856413,[19  2] ; [54 24],[15.48484848  5.51515152] ; [57.51515152 20.48484848],0
r1,1,0.094546,2.795209,[18  3] ; [53 26],[14.91  6.09] ; [56.09 22.91],0
r4,1,0.108335,2.578342,[16  5] ; [45 34],[12.81  8.19] ; [48.19 30.81],0
s8,1,0.125029,2.353165,[ 6 14] ; [12 67],[ 3.63636364 16.36363636] ; [14.36363636 64.63636364],0
b1,1,0.130133,2.290923,[14  7] ; [38 41],[10.92 10.08] ; [41.08 37.92],0
s3,1,0.149613,2.076192,[ 9 11] ; [22 56],[ 6.32653061 13.67346939] ; [24.67346939 53.32653061],0
b5,1,0.183204,1.771438,[ 8 13] ; [43 36],[10.71 10.29] ; [40.29 38.71],0
p8,1,0.184811,1.758508,[ 4 17] ; [ 7 72],[ 2.31 18.69] ; [ 8.69 70.31],0
a3,1,0.22706,1.459184,[11 10] ; [52 26],[13.36363636  7.63636364] ; [49.63636364 28.36363636],0
s6,1,0.231773,1.429948,[10 10] ; [28 51],[ 7.67676768 12.32323232] ; [30.32323232 48.67676768],0
p2,1,0.232852,1.423356,[11 10] ; [30 49],[ 8.61 12.39] ; [32.39 46.61],0
v1,1,0.246365,1.343801,[ 8 13] ; [20 59],[ 5.88 15.12] ; [22.12 56.88],0
v3,1,0.283786,1.148869,[ 8 12] ; [21 55],[ 6.04166667 13.95833333] ; [22.95833333 53.04166667],0
v4,1,0.289758,1.120746,[17  4] ; [54 24],[15.06060606  5.93939394] ; [55.93939394 22.06060606],0
r2,1,0.295122,1.096107,[19  2] ; [63 15],[17.39393939  3.60606061] ; [64.60606061 13.39393939],0
p5,1,0.309091,1.034555,[ 1 20] ; [ 1 78],[ 0.42 20.58] ; [ 1.58 77.42],0
s4,1,0.310987,1.026479,[ 5 15] ; [12 66],[ 3.46938776 16.53061224] ; [13.53061224 64.46938776],0
n4,1,0.313589,1.015499,[16  5] ; [51 28],[14.07  6.93] ; [52.93 26.07],0
d3,1,0.328595,0.954427,[10 11] ; [47 32],[11.97  9.03] ; [45.03 33.97],0
p1,1,0.350864,0.87033,[ 3 18] ; [ 6 72],[ 1.90909091 19.09090909] ; [ 7.09090909 70.90909091],0
a6,1,0.362251,0.830073,[11 10] ; [50 29],[12.81  8.19] ; [48.19 30.81],0
s5,1,0.390537,0.737269,[ 5 15] ; [13 65],[ 3.67346939 16.32653061] ; [14.32653061 63.67346939],0
p6,1,0.417501,0.657339,[ 2 18] ; [ 4 74],[ 1.2244898 18.7755102] ; [ 4.7755102 73.2244898],0
u2,1,0.426763,0.631616,[3 7] ; [12 15],[4.05405405 5.94594595] ; [10.94594595 16.05405405],0
p10,1,0.467274,0.528414,[ 4 17] ; [10 68],[ 2.96969697 18.03030303] ; [11.03030303 66.96969697],0
a5,1,0.482919,0.492264,[14  7] ; [46 33],[12.6  8.4] ; [47.4 31.6],0
b4,1,0.48712,0.482881,[15  6] ; [50 29],[13.65  7.35] ; [51.35 27.65],0
u1,1,0.505982,0.442367,[ 2 19] ; [12 67],[ 2.94 18.06] ; [11.06 67.94],0
n5,1,0.509193,0.435724,[10 11] ; [44 35],[11.34  9.66] ; [42.66 36.34],0
u3,1,0.521812,0.41031,[4 6] ; [14 13],[4.86486486 5.13513514] ; [13.13513514 13.86486486],0
n1,1,0.533389,0.387931,[4 5] ; [12 24],[3.2 5.8] ; [12.8 23.2],0
a2,1,0.628227,0.234472,[ 4 17] ; [19 60],[ 4.83 16.17] ; [18.17 60.83],0
a7,1,0.63487,0.225514,[12  9] ; [49 29],[12.93939394  8.06060606] ; [48.06060606 29.93939394],0
b2,1,0.697203,0.151398,[4 9] ; [19 33],[4.6 8.4] ; [18.4 33.6],0
b3,1,0.697203,0.151398,[4 9] ; [19 33],[4.6 8.4] ; [18.4 33.6],0
n6,1,0.763649,0.090416,[12  9] ; [48 31],[12.6  8.4] ; [47.4 31.6],0
p11,1,0.763649,0.090416,[ 9 12] ; [31 48],[ 8.4 12.6] ; [31.6 47.4],0
v2,1,0.797262,0.065993,[ 8 13] ; [27 50],[ 7.5 13.5] ; [27.5 49.5],0
s7,1,0.85431,0.033717,[ 4 13] ; [19 55],[ 4.2967033 12.7032967] ; [18.7032967 55.2967033],0
d4,1,0.863852,0.029403,[16  5] ; [58 20],[15.6969697  5.3030303] ; [58.3030303 19.6969697],0
a4,1,0.869009,0.027198,[ 9 12] ; [35 43],[ 9.33333333 11.66666667] ; [34.66666667 43.33333333],0
d1,1,0.886743,0.020285,[10 11] ; [39 40],[10.29 10.71] ; [38.71 40.29],0
d5,1,0.887279,0.020092,[16  5] ; [59 20],[15.75  5.25] ; [59.25 19.75],0
d2,1,0.888103,0.019798,[11 10] ; [39 38],[10.71428571 10.28571429] ; [39.28571429 37.71428571],0
a1,1,0.924816,0.008905,[ 2 19] ; [ 7 72],[ 1.89 19.11] ; [ 7.11 71.89],0
