Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.008489,6.927381,[ 3 25] ; [3 2],[ 5.09090909 22.90909091] ; [0.90909091 4.09090909],0
p8,1,0.019365,5.46827,[ 7 20] ; [4 1],[ 9.28125 17.71875] ; [1.71875 3.28125],0
r1,1,0.027662,4.84898,[ 8 20] ; [4 1],[10.18181818 17.81818182] ; [1.81818182 3.18181818],0
p6,1,0.04295,4.097354,[ 2 25] ; [2 3],[ 3.375 23.625] ; [0.625 4.375],0
s7,1,0.04911,3.871605,[ 5 22] ; [3 2],[ 6.75 20.25] ; [1.25 3.75],0
d3,1,0.074447,3.182143,[ 6 22] ; [3 2],[ 7.63636364 20.36363636] ; [1.36363636 3.63636364],0
u3,1,0.086476,2.938776,[ 1 13] ; [1 1],[ 1.75 12.25] ; [0.25 1.75],0
v3,1,0.086926,2.930403,[ 4 24] ; [2 2],[ 5.25 22.75] ; [0.75 3.25],0
v2,1,0.105659,2.617976,[ 1 26] ; [1 3],[ 1.74193548 25.25806452] ; [0.25806452 3.74193548],0
p4,1,0.11673,2.460652,[ 7 21] ; [3 2],[ 8.48484848 19.51515152] ; [1.51515152 3.48484848],0
n6,1,0.125825,2.343277,[12 16] ; [4 1],[13.57575758 14.42424242] ; [2.42424242 2.57575758],0
p2,1,0.125825,2.343277,[12 16] ; [4 1],[13.57575758 14.42424242] ; [2.42424242 2.57575758],0
p12,1,0.156144,2.011175,[ 1 27] ; [1 4],[ 1.6969697 26.3030303] ; [0.3030303 4.6969697],0
p11,1,0.169686,1.885714,[ 8 20] ; [3 2],[ 9.33333333 18.66666667] ; [1.66666667 3.33333333],0
p10,1,0.257899,1.28,[ 9 18] ; [3 2],[10.125 16.875] ; [1.875 3.125],0
p3,1,0.264582,1.244623,[ 5 23] ; [2 3],[ 5.93939394 22.06060606] ; [1.06060606 3.93939394],0
b4,1,0.270713,1.213131,[15 13] ; [4 1],[16.12121212 11.87878788] ; [2.87878788 2.12121212],0
r2,1,0.335292,0.928352,[16 12] ; [4 1],[16.96969697 11.03030303] ; [3.03030303 1.96969697],0
p9,1,0.371408,0.798948,[10 16] ; [3 2],[10.90322581 15.09677419] ; [2.09677419 2.90322581],0
b5,1,0.387985,0.745247,[11 17] ; [3 2],[11.87878788 16.12121212] ; [2.12121212 2.87878788],0
n3,1,0.453388,0.562169,[8 6] ; [1 2],[7.41176471 6.58823529] ; [1.58823529 1.41176471],0
d4,1,0.487857,0.48125,[ 7 21] ; [2 3],[ 7.63636364 20.36363636] ; [1.36363636 3.63636364],0
s2,1,0.487857,0.48125,[ 7 21] ; [2 3],[ 7.63636364 20.36363636] ; [1.36363636 3.63636364],0
n2,1,0.518217,0.41744,[8 6] ; [3 1],[8.55555556 5.44444444] ; [2.44444444 1.55555556],0
v1,1,0.586287,0.29618,[ 9 19] ; [1 4],[ 8.48484848 19.51515152] ; [1.51515152 3.48484848],0
a7,1,0.608503,0.26236,[ 8 20] ; [2 3],[ 8.48484848 19.51515152] ; [1.51515152 3.48484848],0
p7,1,0.673005,0.178108,[10 18] ; [1 3],[ 9.625 18.375] ; [1.375 2.625],0
n5,1,0.691801,0.157143,[20  8] ; [4 1],[20.36363636  7.63636364] ; [3.63636364 1.36363636],0
s6,1,0.691801,0.157143,[ 8 20] ; [1 4],[ 7.63636364 20.36363636] ; [1.36363636 3.63636364],0
s3,1,0.729034,0.12,[ 8 17] ; [2 3],[ 8.33333333 16.66666667] ; [1.66666667 3.33333333],0
a5,1,0.73137,0.117857,[ 9 19] ; [2 3],[ 9.33333333 18.66666667] ; [1.66666667 3.33333333],0
b1,1,0.7903,0.070714,[15 13] ; [3 2],[15.27272727 12.72727273] ; [2.72727273 2.27272727],0
a3,1,0.800093,0.064124,[14 12] ; [3 2],[14.25806452 11.74193548] ; [2.74193548 2.25806452],0
d2,1,0.810088,0.05775,[ 7 21] ; [1 4],[ 6.78787879 21.21212121] ; [1.21212121 3.78787879],0
b2,1,0.825381,0.048677,[ 8 12] ; [1 2],[ 7.82608696 12.17391304] ; [1.17391304 1.82608696],0
b3,1,0.825381,0.048677,[ 8 12] ; [1 2],[ 7.82608696 12.17391304] ; [1.17391304 1.82608696],0
a6,1,0.854403,0.033673,[10 18] ; [2 3],[10.18181818 17.81818182] ; [1.81818182 3.18181818],0
s4,1,0.908893,0.013095,[ 5 23] ; [1 4],[ 5.09090909 22.90909091] ; [0.90909091 4.09090909],0
n4,1,0.97598,0.000907,[17 11] ; [3 2],[16.96969697 11.03030303] ; [3.03030303 1.96969697],0
n1,1,1.0,0.0,[7 7] ; [2 2],[7. 7.] ; [2. 2.],0
