Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,39.695005,[ 29 131] ; [68 59],[ 54.07665505 105.92334495] ; [42.92334495 84.07665505],1
v1,1,0.0,29.320862,[ 40 122] ; [71 56],[62.22145329 99.77854671] ; [48.77854671 78.22145329],1
r3,1,7e-06,20.178498,[126  36] ; [125   5],[139.25342466  22.74657534] ; [111.74657534  18.25342466],1
r1,1,0.000414,12.467633,[96 66] ; [103  28],[110.02730375  51.97269625] ; [88.97269625 42.02730375],1
d4,1,0.00062,11.713633,[106  56] ; [109  22],[118.87372014  43.12627986] ; [96.12627986 34.87372014],1
p10,1,0.00081,11.218171,[87 75] ; [94 35],[100.7628866  61.2371134] ; [80.2371134 48.7628866],1
p11,1,0.001131,10.599061,[95 68] ; [100  31],[108.1122449  54.8877551] ; [86.8877551 44.1122449],0
v4,1,0.001575,9.988354,[130  32] ; [122   9],[139.33105802  22.66894198] ; [112.66894198  18.33105802],0
r4,1,0.004247,8.175129,[112  51] ; [109  22],[122.52721088  40.47278912] ; [98.47278912 32.52721088],0
s8,1,0.006802,7.3245,[ 30 133] ; [42 89],[ 39.91836735 123.08163265] ; [32.08163265 98.91836735],0
p9,1,0.006906,7.297143,[98 61] ; [98 30],[108.58536585  50.41463415] ; [87.41463415 40.58536585],0
n6,1,0.008384,6.949508,[106  56] ; [104  27],[116.10921502  45.89078498] ; [93.89078498 37.10921502],0
p7,1,0.009036,6.815744,[ 56 102] ; [65 63],[66.84615385 91.15384615] ; [54.15384615 73.84615385],0
s7,1,0.009484,6.729319,[ 37 117] ; [48 77],[ 46.91756272 107.08243728] ; [38.08243728 86.91756272],0
d1,1,0.010647,6.523288,[64 99] ; [71 60],[74.84693878 88.15306122] ; [60.15306122 70.84693878],0
d5,1,0.013381,6.118084,[104  57] ; [102  29],[113.58219178  47.41780822] ; [92.41780822 38.58219178],0
a7,1,0.021387,5.294977,[98 64] ; [96 35],[107.26279863  54.73720137] ; [86.73720137 44.26279863],0
s6,1,0.026088,4.950206,[ 60 102] ; [65 65],[69.34931507 92.65068493] ; [55.65068493 74.34931507],0
d3,1,0.026498,4.923195,[87 73] ; [88 43],[96.21993127 63.78006873] ; [78.78006873 52.21993127],0
s2,1,0.032132,4.591466,[ 41 121] ; [48 82],[ 49.37671233 112.62328767] ; [39.62328767 90.37671233],0
a3,1,0.033397,4.525313,[95 66] ; [93 38],[103.65753425  57.34246575] ; [84.34246575 46.65753425],0
p2,1,0.047546,3.925964,[97 65] ; [93 38],[105.05119454  56.94880546] ; [84.94880546 46.05119454],0
p3,1,0.049109,3.871638,[ 25 137] ; [32 98],[ 31.62328767 130.37671233] ; [ 25.37671233 104.62328767],0
