Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.001954,9.592105,[14 13] ; [10 44],[ 8. 19.] ; [16. 38.],0
s6,1,0.003405,8.576471,[16 11] ; [14 40],[10. 17.] ; [20. 34.],0
b1,1,0.005576,7.682623,[21  6] ; [25 30],[15.14634146 11.85365854] ; [30.85365854 24.14634146],0
p6,1,0.006907,7.296908,[ 9 18] ; [ 5 49],[ 4.66666667 22.33333333] ; [ 9.33333333 44.66666667],0
p8,1,0.015645,5.842358,[10 16] ; [ 8 47],[ 5.77777778 20.22222222] ; [12.22222222 42.77777778],0
p4,1,0.020581,5.361926,[12 15] ; [11 44],[ 7.57317073 19.42682927] ; [15.42682927 39.57317073],0
b3,1,0.025691,4.976663,[ 2 15] ; [13 17],[ 5.42553191 11.57446809] ; [ 9.57446809 20.42553191],0
b2,1,0.025691,4.976663,[ 2 15] ; [13 17],[ 5.42553191 11.57446809] ; [ 9.57446809 20.42553191],0
s3,1,0.027234,4.875921,[17 10] ; [20 34],[12.33333333 14.66666667] ; [24.66666667 29.33333333],0
p2,1,0.034445,4.472463,[17 10] ; [21 34],[12.51219512 14.48780488] ; [25.48780488 29.51219512],0
v4,1,0.064141,3.426923,[21  5] ; [33 22],[17.33333333  8.66666667] ; [36.66666667 18.33333333],0
v2,1,0.06706,3.353551,[12 13] ; [14 38],[ 8.44155844 16.55844156] ; [17.55844156 34.44155844],0
u2,1,0.067865,3.333911,[8 2] ; [10 12],[5.625 4.375] ; [12.375  9.625],0
n2,1,0.076638,3.134796,[8 3] ; [12 17],[5.5 5.5] ; [14.5 14.5],0
n3,1,0.086541,2.937569,[9 2] ; [14 13],[6.65789474 4.34210526] ; [16.34210526 10.65789474],0
b5,1,0.099989,2.705724,[17 10] ; [24 31],[13.5 13.5] ; [27.5 27.5],0
r3,1,0.110621,2.545326,[21  6] ; [33 22],[17.7804878  9.2195122] ; [36.2195122 18.7804878],0
s2,1,0.119954,2.417917,[12 15] ; [15 40],[ 8.8902439 18.1097561] ; [18.1097561 36.8902439],0
u1,1,0.183736,1.767147,[ 3 24] ; [ 2 53],[ 1.64634146 25.35365854] ; [ 3.35365854 51.64634146],0
p1,1,0.19561,1.674848,[ 1 26] ; [ 7 48],[ 2.63414634 24.36585366] ; [ 5.36585366 49.63414634],0
a1,1,0.19561,1.674848,[ 1 26] ; [ 7 48],[ 2.63414634 24.36585366] ; [ 5.36585366 49.63414634],0
s4,1,0.210315,1.569259,[ 7 20] ; [ 8 47],[ 4.93902439 22.06097561] ; [10.06097561 44.93902439],0
n1,1,0.233751,1.417892,[2 9] ; [11 18],[3.575 7.425] ; [ 9.425 19.575],0
u3,1,0.238185,1.391304,[6 3] ; [10 13],[4.5 4.5] ; [11.5 11.5],0
p9,1,0.379269,0.77307,[14 13] ; [22 31],[12.15 14.85] ; [23.85 29.15],0
r4,1,0.386232,0.750772,[16 11] ; [27 28],[14.15853659 12.84146341] ; [28.84146341 26.15853659],0
s7,1,0.410648,0.676924,[ 7 16] ; [11 40],[ 5.59459459 17.40540541] ; [12.40540541 38.59459459],0
p10,1,0.442272,0.590381,[11 16] ; [17 36],[ 9.45 17.55] ; [18.55 34.45],0
s5,1,0.450232,0.570067,[ 6 20] ; [ 8 42],[ 4.78947368 21.21052632] ; [ 9.21052632 40.78947368],0
n4,1,0.476092,0.507802,[11 16] ; [27 28],[12.51219512 14.48780488] ; [25.48780488 29.51219512],0
n5,1,0.49542,0.464733,[12 14] ; [21 34],[10.59259259 15.40740741] ; [22.40740741 32.59259259],0
a8,1,0.504088,0.44632,[ 3 22] ; [ 4 50],[ 2.21518987 22.78481013] ; [ 4.78481013 49.21518987],0
d3,1,0.622461,0.242424,[14 11] ; [34 21],[15. 10.] ; [33. 22.],0
d4,1,0.636442,0.223425,[19  6] ; [39 16],[18.125  6.875] ; [39.875 15.125],0
a2,1,0.66438,0.188246,[ 6 21] ; [10 45],[ 5.26829268 21.73170732] ; [10.73170732 44.26829268],0
r2,1,0.693082,0.155769,[21  6] ; [44 10],[21.66666667  5.33333333] ; [43.33333333 10.66666667],0
v1,1,0.69893,0.149588,[10 17] ; [18 37],[ 9.2195122 17.7804878] ; [18.7804878 36.2195122],0
a7,1,0.700874,0.147565,[16 11] ; [35 20],[16.79268293 10.20731707] ; [34.20731707 20.79268293],0
d2,1,0.70194,0.146462,[13 13] ; [25 30],[12.19753086 13.80246914] ; [25.80246914 29.19753086],0
d5,1,0.738707,0.111267,[17  9] ; [38 17],[17.65432099  8.34567901] ; [37.34567901 17.65432099],0
a3,1,0.747886,0.103316,[17 10] ; [32 22],[16.33333333 10.66666667] ; [32.66666667 21.33333333],0
s1,1,0.772017,0.083948,[ 3 24] ; [ 5 50],[ 2.63414634 24.36585366] ; [ 5.36585366 49.63414634],0
a4,1,0.821235,0.051056,[12 15] ; [23 32],[11.52439024 15.47560976] ; [23.47560976 31.52439024],0
r1,1,0.823351,0.049835,[16 11] ; [34 21],[16.46341463 10.53658537] ; [33.53658537 21.46341463],0
v3,1,0.851085,0.035244,[ 6 19] ; [13 37],[ 6.33333333 18.66666667] ; [12.66666667 37.33333333],0
a5,1,0.931162,0.007462,[15 12] ; [30 25],[14.81707317 12.18292683] ; [30.18292683 24.81707317],0
b4,1,0.931162,0.007462,[15 12] ; [30 25],[14.81707317 12.18292683] ; [30.18292683 24.81707317],0
d1,1,0.944756,0.004802,[12 15] ; [24 31],[11.85365854 15.14634146] ; [24.14634146 30.85365854],0
s8,1,0.974128,0.001052,[ 4 23] ; [ 8 47],[ 3.95121951 23.04878049] ; [ 8.04878049 46.95121951],0
a6,1,0.980708,0.000585,[16 10] ; [34 21],[16.04938272  9.95061728] ; [33.95061728 21.04938272],0
