Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,39.413708,[  8 127] ; [44 71],[ 28.08 106.92] ; [23.92 91.08],1
p8,1,0.0,26.209022,[ 27 108] ; [58 56],[46.08433735 88.91566265] ; [38.91566265 75.08433735],1
p2,1,1e-06,23.683397,[79 57] ; [99 16],[96.44621514 39.55378486] ; [81.55378486 33.44621514],1
p4,1,1e-06,23.483629,[ 23 112] ; [52 63],[40.5 94.5] ; [34.5 80.5],1
s3,1,0.0001,15.130762,[46 86] ; [68 46],[61.17073171 70.82926829] ; [52.82926829 61.17073171],1
s6,1,0.000206,13.775807,[58 76] ; [75 37],[72.44715447 61.55284553] ; [60.55284553 51.44715447],1
s2,1,0.000708,11.467939,[37 96] ; [56 59],[49.875 83.125] ; [43.125 71.875],1
s8,1,0.001063,10.714603,[ 27 109] ; [44 70],[38.624 97.376] ; [32.376 81.624],0
s7,1,0.001793,9.750007,[32 99] ; [47 61],[43.30125523 87.69874477] ; [35.69874477 72.30125523],0
s5,1,0.004496,8.071934,[ 21 109] ; [36 78],[30.36885246 99.63114754] ; [26.63114754 87.36885246],0
v4,1,0.005932,7.570727,[109  26] ; [104   8],[116.41700405  18.58299595] ; [96.58299595 15.41700405],0
v2,1,0.007952,7.044243,[40 89] ; [53 58],[49.9875 79.0125] ; [43.0125 67.9875],0
r3,1,0.008881,6.846584,[107  28] ; [104  10],[114.39759036  20.60240964] ; [96.60240964 17.39759036],0
r1,1,0.030688,4.670313,[80 56] ; [82 32],[88.128 47.872] ; [73.872 40.128],0
p11,1,0.067806,3.33534,[82 54] ; [82 33],[88.86055777 47.13944223] ; [75.13944223 39.86055777],0
b2,1,0.073751,3.197502,[25 39] ; [17 52],[20.21052632 43.78947368] ; [21.78947368 47.21052632],0
b3,1,0.073751,3.197502,[25 39] ; [17 52],[20.21052632 43.78947368] ; [21.78947368 47.21052632],0
r4,1,0.094573,2.794766,[95 41] ; [91 24],[100.78087649  35.21912351] ; [85.21912351 29.78087649],0
d5,1,0.096509,2.762299,[62 74] ; [64 50],[68.544 67.456] ; [57.456 56.544],0
