Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,63.107877,[ 29 123] ; [117  72],[65.07917889 86.92082111] ; [ 80.92082111 108.07917889],1
p2,1,0.0,31.067758,[94 59] ; [166  24],[115.97667638  37.02332362] ; [144.02332362  45.97667638],1
p6,1,0.0,29.867727,[ 19 134] ; [ 73 115],[ 41.27859238 111.72140762] ; [ 50.72140762 137.27859238],1
p3,1,1e-06,24.115546,[ 39 113] ; [99 92],[61.15451895 90.84548105] ; [ 76.84548105 114.15451895],1
p4,1,2e-06,22.979958,[56 97] ; [119  71],[78.06122449 74.93877551] ; [96.93877551 93.06122449],1
p11,1,4.7e-05,16.580405,[90 63] ; [151  40],[107.18895349  45.81104651] ; [133.81104651  57.18895349],1
s6,1,5.6e-05,16.230869,[72 80] ; [129  58],[90.12389381 61.87610619] ; [110.87610619  76.12389381],1
r4,1,0.000108,14.992682,[116  37] ; [174  17],[128.98255814  24.01744186] ; [161.01744186  29.98255814],1
p10,1,0.000186,13.96246,[96 56] ; [155  36],[111.2303207  40.7696793] ; [139.7696793  51.2303207],1
p9,1,0.000255,13.37731,[98 52] ; [157  33],[112.5  37.5] ; [142.5  47.5],1
v4,1,0.001183,10.51657,[130  23] ; [180   9],[138.68421053  14.31578947] ; [171.31578947  17.68421053],0
s2,1,0.002477,9.157481,[ 52 100] ; [96 94],[65.77777778 86.22222222] ; [ 82.22222222 107.77777778],0
r3,1,0.002988,8.814528,[132  20] ; [180   8],[139.48235294  12.51764706] ; [172.51764706  15.48235294],0
s7,1,0.004881,7.922899,[50 95] ; [91 91],[62.52293578 82.47706422] ; [ 78.47706422 103.52293578],0
s3,1,0.004918,7.909378,[66 86] ; [111  78],[78.8973607 73.1026393] ; [98.1026393 90.8973607],0
p5,1,0.015664,5.840258,[  5 148] ; [ 19 172],[ 10.6744186 142.3255814] ; [ 13.3255814 177.6744186],0
b4,1,0.02116,5.313569,[99 54] ; [100  91],[88.50872093 64.49127907] ; [110.49127907  80.50872093],0
a8,1,0.023823,5.107437,[  9 134] ; [ 25 152],[ 15.19375 127.80625] ; [ 18.80625 158.19375],0
r1,1,0.036994,4.350667,[107  45] ; [153  38],[115.21865889  36.78134111] ; [144.78134111  46.21865889],0
n4,1,0.044619,4.03299,[102  51] ; [146  45],[110.30232558  42.69767442] ; [137.69767442  53.30232558],0
n2,1,0.051222,3.80099,[34 25] ; [37 12],[38.78703704 20.21296296] ; [32.21296296 16.78703704],0
