Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,235.182383,[  9 156] ; [491 201],[96.26604434 68.73395566] ; [403.73395566 288.26604434],1
d4,1,0.0,125.00836,[86 78] ; [619  73],[135.07009346  28.92990654] ; [569.92990654 122.07009346],1
d3,1,0.0,55.4195,[74 90] ; [518 173],[113.55321637  50.44678363] ; [478.44678363 212.55321637],1
d2,1,0.0,52.436874,[ 37 128] ; [371 319],[78.73684211 86.26315789] ; [329.26315789 360.73684211],1
a5,1,0.0,46.964099,[84 80] ; [538 154],[119.1682243  44.8317757] ; [502.8317757 189.1682243],1
a4,1,0.0,42.82395,[ 35 128] ; [344 347],[72.33840749 90.66159251] ; [306.66159251 384.33840749],1
a3,1,0.0,38.019333,[83 80] ; [520 170],[115.22743259  47.77256741] ; [487.77256741 202.22743259],1
u1,1,0.0,27.526707,[  6 159] ; [145 547],[ 29.07234539 135.92765461] ; [121.92765461 570.07234539],1
a2,1,0.0,25.814354,[ 14 151] ; [188 504],[ 38.89148191 126.10851809] ; [163.10851809 528.89148191],1
p4,1,0.000129,14.652153,[74 86] ; [431 256],[95.39551358 64.60448642] ; [409.60448642 277.39551358],1
p2,1,0.00023,13.565063,[120  43] ; [588  99],[135.76941176  27.23058824] ; [572.23058824 114.76941176],1
s8,1,0.000618,11.720544,[ 53 111] ; [324 364],[72.56807512 91.43192488] ; [304.43192488 383.56807512],1
n4,1,0.001475,10.109482,[109  55] ; [540 150],[124.6323185  39.3676815] ; [524.3676815 165.6323185],0
r1,1,0.001521,10.052466,[120  45] ; [574 114],[134.24384525  30.75615475] ; [559.75615475 128.24384525],0
r2,1,0.002494,9.145171,[151  14] ; [664  22],[158.0199765   6.9800235] ; [656.9800235  29.0199765],0
p3,1,0.002562,9.095835,[64 99] ; [360 327],[81.30823529 81.69176471] ; [342.69176471 344.30823529],0
a7,1,0.002824,8.917528,[104  60] ; [518 173],[119.30760234  44.69239766] ; [502.69239766 188.30760234],0
s6,1,0.003484,8.535001,[93 68] ; [473 205],[108.61263409  52.38736591] ; [457.38736591 220.61263409],0
v2,1,0.004989,7.883539,[74 84] ; [391 270],[89.70695971 68.29304029] ; [375.29304029 285.70695971],0
p10,1,0.006661,7.362045,[117  43] ; [562 119],[129.17954816  30.82045184] ; [549.82045184 131.17954816],0
v1,1,0.007562,7.134449,[72 89] ; [379 293],[87.16806723 73.83193277] ; [363.83193277 308.16806723],0
s2,1,0.018924,5.508492,[69 92] ; [365 322],[82.39858491 78.60141509] ; [351.60141509 335.39858491],0
s7,1,0.022587,5.199991,[63 93] ; [334 327],[75.80416157 80.19583843] ; [321.19583843 339.80416157],0
n5,1,0.035518,4.420075,[109  54] ; [515 172],[119.66117647  43.33882353] ; [504.33882353 182.66117647],0
r4,1,0.037105,4.345574,[149  16] ; [655  37],[154.7957993  10.2042007] ; [649.2042007  42.7957993],0
p9,1,0.043771,4.065389,[128  34] ; [581  99],[136.41092637  25.58907363] ; [572.58907363 107.41092637],0
p1,1,0.044381,4.04202,[ 20 143] ; [ 51 636],[ 13.61529412 149.38470588] ; [ 57.38470588 629.61529412],0
s5,1,0.05462,3.693648,[ 42 114] ; [232 431],[ 52.19047619 103.80952381] ; [221.80952381 441.19047619],0
a6,1,0.056392,3.640433,[102  62] ; [483 208],[112.21052632  51.78947368] ; [472.78947368 218.21052632],0
p7,1,0.070005,3.282904,[92 67] ; [441 232],[101.859375  57.140625] ; [431.140625 241.859375],0
u3,1,0.162287,1.952786,[43 38] ; [106  64],[48.08366534 32.91633466] ; [100.91633466  69.08366534],0
v3,1,0.164857,1.929098,[ 57 105] ; [272 389],[64.76063183 97.23936817] ; [264.23936817 396.76063183],0
