Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.317681,[ 2 16] ; [79 33],[11.21538462  6.78461538] ; [69.78461538 42.21538462],1
n6,1,1.4e-05,18.84925,[ 6 11] ; [93 19],[13.04651163  3.95348837] ; [85.95348837 26.04651163],1
p11,1,0.000109,14.977633,[ 6 12] ; [87 25],[12.87692308  5.12307692] ; [80.12307692 31.87692308],1
p10,1,0.00017,14.137301,[ 7 11] ; [87 21],[13.42857143  4.57142857] ; [80.57142857 27.42857143],1
s1,1,0.000696,11.499146,[ 4 14] ; [  3 108],[ 0.97674419 17.02325581] ; [  6.02325581 104.97674419],1
v4,1,0.00182,9.722404,[11  7] ; [99 12],[15.34883721  2.65116279] ; [94.65116279 16.34883721],0
p2,1,0.003458,8.548427,[ 8 10] ; [86 25],[13.11627907  4.88372093] ; [80.88372093 30.11627907],0
a4,1,0.006059,7.532631,[10  8] ; [27 85],[ 5.12307692 12.87692308] ; [31.87692308 80.12307692],0
n2,1,0.008182,6.993291,[1 4] ; [25  7],[3.51351351 1.48648649] ; [22.48648649  9.51351351],0
a1,1,0.012689,6.211971,[ 4 14] ; [  6 106],[ 1.38461538 16.61538462] ; [  8.61538462 103.38461538],0
b1,1,0.013922,6.047957,[11  7] ; [35 77],[ 6.36923077 11.63076923] ; [39.63076923 72.36923077],0
r2,1,0.041418,4.158815,[11  6] ; [91 16],[13.98387097  3.01612903] ; [88.01612903 18.98387097],0
d2,1,0.04423,4.047749,[10  8] ; [35 77],[ 6.23076923 11.76923077] ; [38.76923077 73.23076923],0
p9,1,0.04847,3.893597,[11  7] ; [89 20],[14.17322835  3.82677165] ; [85.82677165 23.17322835],0
v2,1,0.07467,3.177256,[ 4 14] ; [49 61],[ 7.453125 10.546875] ; [45.546875 64.453125],0
s6,1,0.074806,3.174275,[ 6 12] ; [61 48],[9.49606299 8.50393701] ; [57.50393701 51.49606299],0
u3,1,0.107851,2.585436,[4 1] ; [19 26],[2.3 2.7] ; [20.7 24.3],0
p1,1,0.127326,2.324813,[ 3 15] ; [  7 104],[ 1.39534884 16.60465116] ; [  8.60465116 102.39534884],0
p3,1,0.130741,2.283688,[ 5 13] ; [52 59],[ 7.95348837 10.04651163] ; [49.04651163 61.95348837],0
a5,1,0.138824,2.190942,[13  5] ; [60 52],[10.10769231  7.89230769] ; [62.89230769 49.10769231],0
n3,1,0.156788,2.004938,[2 3] ; [23  9],[3.37837838 1.62162162] ; [21.62162162 10.37837838],0
u2,1,0.186505,1.745014,[4 1] ; [22 23],[2.6 2.4] ; [23.4 21.6],0
p7,1,0.192295,1.699946,[ 6 11] ; [57 52],[8.5 8.5] ; [54.5 54.5],0
a2,1,0.215023,1.53728,[ 4 14] ; [13 99],[ 2.35384615 15.64615385] ; [14.64615385 97.35384615],0
s2,1,0.226887,1.460271,[ 5 13] ; [48 64],[ 7.33846154 10.66153846] ; [45.66153846 66.33846154],0
s3,1,0.268544,1.224167,[ 6 12] ; [53 59],[8.16923077 9.83076923] ; [50.83076923 61.16923077],0
a3,1,0.283645,1.149543,[13  5] ; [66 46],[10.93846154  7.06153846] ; [68.06153846 43.93846154],0
p6,1,0.324398,0.971132,[ 4 14] ; [37 72],[ 5.81102362 12.18897638] ; [35.18897638 73.81102362],0
s4,1,0.429695,0.623648,[ 5 13] ; [22 90],[ 3.73846154 14.26153846] ; [23.26153846 88.73846154],0
a8,1,0.448169,0.575278,[ 1 16] ; [13 94],[ 1.91935484 15.08064516] ; [12.08064516 94.91935484],0
u1,1,0.450779,0.568692,[ 2 16] ; [  7 105],[ 1.24615385 16.75384615] ; [  7.75384615 104.24615385],0
b3,1,0.465905,0.531672,[6 6] ; [24 38],[4.86486486 7.13513514] ; [25.13513514 36.86486486],0
b2,1,0.465905,0.531672,[6 6] ; [24 38],[4.86486486 7.13513514] ; [25.13513514 36.86486486],0
s8,1,0.481219,0.4961,[ 4 14] ; [34 78],[ 5.26153846 12.73846154] ; [32.73846154 79.26153846],0
s7,1,0.489204,0.478277,[ 5 13] ; [38 67],[ 6.29268293 11.70731707] ; [36.70731707 68.29268293],0
b4,1,0.524217,0.405589,[10  8] ; [71 41],[11.21538462  6.78461538] ; [69.78461538 42.21538462],0
p5,1,0.524559,0.40492,[ 1 16] ; [12 98],[ 1.74015748 15.25984252] ; [11.25984252 98.74015748],0
p8,1,0.536567,0.38194,[ 6 11] ; [48 63],[7.171875 9.828125] ; [46.828125 64.171875],0
d4,1,0.548114,0.360706,[13  5] ; [88 24],[13.98461538  4.01538462] ; [87.01538462 24.98461538],0
d5,1,0.548114,0.360706,[13  5] ; [88 24],[13.98461538  4.01538462] ; [87.01538462 24.98461538],0
n1,1,0.580832,0.304891,[1 4] ; [10 21],[1.52777778 3.47222222] ; [ 9.47222222 21.52777778],0
n5,1,0.661164,0.192113,[12  6] ; [68 43],[11.1627907  6.8372093] ; [68.8372093 42.1627907],0
n4,1,0.733857,0.1156,[12  6] ; [70 42],[11.35384615  6.64615385] ; [70.64615385 41.35384615],0
v3,1,0.771072,0.084666,[ 5 13] ; [34 75],[ 5.52755906 12.47244094] ; [33.47244094 75.52755906],0
b5,1,0.799544,0.064484,[12  6] ; [78 34],[12.46153846  5.53846154] ; [77.53846154 34.46153846],0
p4,1,0.820408,0.051538,[ 8 10] ; [53 59],[8.44615385 9.55384615] ; [52.55384615 59.44615385],0
s5,1,0.847769,0.036851,[ 4 13] ; [27 78],[ 4.31967213 12.68032787] ; [26.68032787 78.31967213],0
v1,1,0.84954,0.035988,[ 8 10] ; [45 62],[ 7.632 10.368] ; [45.368 61.632],0
a6,1,0.859855,0.031173,[12  6] ; [77 35],[12.32307692  5.67692308] ; [76.67692308 35.32307692],0
d3,1,0.87896,0.023192,[12  6] ; [76 35],[12.27906977  5.72093023] ; [75.72093023 35.27906977],0
d1,1,0.987459,0.000247,[ 8 10] ; [50 62],[8.03076923 9.96923077] ; [49.96923077 62.03076923],0
