Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9e-06,19.812788,[23 13] ; [ 2 24],[14.51612903 21.48387097] ; [10.48387097 15.51612903],1
d4,1,0.000272,13.255749,[31  5] ; [11 15],[24.38709677 11.61290323] ; [17.61290323  8.38709677],1
d3,1,0.000314,12.982906,[25 11] ; [ 6 20],[18. 18.] ; [13. 13.],1
a5,1,0.000528,12.013919,[27  9] ; [ 8 18],[20.32258065 15.67741935] ; [14.67741935 11.32258065],1
v2,1,0.003951,8.306001,[17 19] ; [ 3 22],[11.80327869 24.19672131] ; [ 8.19672131 16.80327869],0
d2,1,0.005449,7.723888,[22 13] ; [ 7 19],[16.63934426 18.36065574] ; [12.36065574 13.63934426],0
a3,1,0.005923,7.57348,[27  9] ; [10 15],[21.83606557 14.16393443] ; [15.16393443  9.83606557],0
r3,1,0.007667,7.109655,[24 12] ; [ 8 17],[18.8852459 17.1147541] ; [13.1147541 11.8852459],0
a4,1,0.01258,6.227199,[16 19] ; [ 4 22],[11.47540984 23.52459016] ; [ 8.52459016 17.47540984],0
r2,1,0.018202,5.576561,[24  9] ; [11 15],[19.57627119 13.42372881] ; [15.42372881 10.57627119],0
b4,1,0.02033,5.383329,[27  9] ; [12 14],[22.64516129 13.35483871] ; [16.35483871  9.64516129],0
p11,1,0.031743,4.612348,[18 18] ; [ 6 20],[13.93548387 22.06451613] ; [10.06451613 15.93548387],0
a7,1,0.031837,4.607266,[21 15] ; [ 8 18],[16.83870968 19.16129032] ; [12.16129032 13.83870968],0
r4,1,0.047997,3.910093,[12 24] ; [ 3 23],[ 8.70967742 27.29032258] ; [ 6.29032258 19.70967742],0
s1,1,0.093162,2.81887,[ 2 34] ; [ 5 21],[ 4.06451613 31.93548387] ; [ 2.93548387 23.06451613],0
s5,1,0.113623,2.50309,[ 8 27] ; [ 2 24],[ 5.73770492 29.26229508] ; [ 4.26229508 21.73770492],0
p9,1,0.134328,2.241758,[18 17] ; [ 8 17],[15.16666667 19.83333333] ; [10.83333333 14.16666667],0
a6,1,0.156179,2.010836,[19 17] ; [ 9 17],[16.25806452 19.74193548] ; [11.74193548 14.25806452],0
a2,1,0.186894,1.741936,[ 5 31] ; [ 1 25],[ 3.48387097 32.51612903] ; [ 2.51612903 23.48387097],0
a8,1,0.19043,1.714286,[ 5 30] ; [ 1 24],[ 3.5 31.5] ; [ 2.5 22.5],0
p8,1,0.19768,1.659429,[ 4 31] ; [ 6 19],[ 5.83333333 29.16666667] ; [ 4.16666667 20.83333333],0
