Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.308595,[ 1 24] ; [57 16],[14.79591837 10.20408163] ; [43.20408163 29.79591837],1
r3,1,0.0,27.065057,[ 7 18] ; [61 12],[17.34693878  7.65306122] ; [50.65306122 22.34693878],1
p2,1,3.4e-05,17.176478,[ 6 18] ; [53 20],[14.59793814  9.40206186] ; [44.40206186 28.59793814],1
s6,1,3.6e-05,17.096513,[ 1 24] ; [37 36],[ 9.69387755 15.30612245] ; [28.30612245 44.69387755],1
r2,1,7.4e-05,15.699488,[13 11] ; [66  7],[19.54639175  4.45360825] ; [59.45360825 13.54639175],1
p11,1,0.000211,13.734685,[ 4 21] ; [43 30],[11.98979592 13.01020408] ; [35.01020408 37.98979592],1
r1,1,0.001355,10.26653,[ 8 17] ; [50 23],[14.79591837 10.20408163] ; [43.20408163 29.79591837],0
p9,1,0.003247,8.663379,[ 8 17] ; [48 25],[14.28571429 10.71428571] ; [41.71428571 31.28571429],0
p10,1,0.005464,7.719184,[ 6 19] ; [41 32],[11.98979592 13.01020408] ; [35.01020408 37.98979592],0
s8,1,0.005774,7.619521,[ 1 24] ; [23 50],[ 6.12244898 18.87755102] ; [17.87755102 55.12244898],0
a1,1,0.008283,6.971303,[ 6 19] ; [ 4 69],[ 2.55102041 22.44897959] ; [ 7.44897959 65.55102041],0
s2,1,0.012994,6.169988,[ 3 22] ; [28 44],[ 7.98969072 17.01030928] ; [23.01030928 48.98969072],0
u2,1,0.016149,5.78654,[3 8] ; [22 10],[6.39534884 4.60465116] ; [18.60465116 13.39534884],0
s7,1,0.016531,5.745508,[ 1 21] ; [20 48],[ 5.13333333 16.86666667] ; [15.86666667 52.13333333],0
d4,1,0.02174,5.266491,[13 12] ; [55 17],[17.5257732  7.4742268] ; [50.4742268 21.5257732],0
d5,1,0.026964,4.893135,[10 15] ; [47 25],[14.69072165 10.30927835] ; [42.30927835 29.69072165],0
p4,1,0.035986,4.397748,[ 4 21] ; [28 44],[ 8.24742268 16.75257732] ; [23.75257732 48.24742268],0
n5,1,0.037232,4.339745,[15 10] ; [26 46],[10.56701031 14.43298969] ; [30.43298969 41.56701031],0
s3,1,0.04508,4.015632,[ 8 16] ; [41 31],[12.25 11.75] ; [36.75 35.25],0
b2,1,0.048308,3.899233,[8 9] ; [10 36],[ 4.85714286 12.14285714] ; [13.14285714 32.85714286],0
b3,1,0.048308,3.899233,[8 9] ; [10 36],[ 4.85714286 12.14285714] ; [13.14285714 32.85714286],0
b5,1,0.073502,3.203031,[11 14] ; [47 26],[14.79591837 10.20408163] ; [43.20408163 29.79591837],0
d3,1,0.075387,3.161654,[10 15] ; [43 28],[13.80208333 11.19791667] ; [39.19791667 31.80208333],0
p3,1,0.084518,2.975806,[ 4 21] ; [25 48],[ 7.39795918 17.60204082] ; [21.60204082 51.39795918],0
n2,1,0.098281,2.733211,[5 8] ; [16  8],[7.37837838 5.62162162] ; [13.62162162 10.37837838],0
p1,1,0.101931,2.675069,[ 4 21] ; [ 4 68],[ 2.06185567 22.93814433] ; [ 5.93814433 66.06185567],0
p8,1,0.102683,2.663374,[ 4 20] ; [25 48],[ 7.17525773 16.82474227] ; [21.82474227 51.17525773],0
s5,1,0.1037,2.647702,[ 2 23] ; [16 54],[ 4.73684211 20.26315789] ; [13.26315789 56.73684211],0
a7,1,0.115861,2.472398,[12 13] ; [48 25],[15.30612245  9.69387755] ; [44.69387755 28.30612245],0
p7,1,0.154618,2.026093,[ 8 17] ; [33 35],[11.02150538 13.97849462] ; [29.97849462 38.02150538],0
b1,1,0.165556,1.922729,[17  8] ; [38 35],[14.03061224 10.96938776] ; [40.96938776 32.03061224],0
s1,1,0.178773,1.807795,[ 4 21] ; [ 5 67],[ 2.31958763 22.68041237] ; [ 6.68041237 65.31958763],0
a6,1,0.190945,1.71031,[13 12] ; [48 24],[15.72164948  9.27835052] ; [45.27835052 26.72164948],0
n3,1,0.238043,1.392145,[5 8] ; [13  9],[6.68571429 6.31428571] ; [11.31428571 10.68571429],0
n4,1,0.298045,1.082922,[15 10] ; [35 38],[12.75510204 12.24489796] ; [37.24489796 35.75510204],0
p6,1,0.300546,1.07177,[ 3 21] ; [16 56],[ 4.75 19.25] ; [14.25 57.75],0
s4,1,0.340777,0.907507,[ 3 22] ; [15 58],[ 4.59183673 20.40816327] ; [13.40816327 59.59183673],0
d1,1,0.350978,0.869918,[ 7 18] ; [28 45],[ 8.92857143 16.07142857] ; [26.07142857 46.92857143],0
v1,1,0.363141,0.827001,[ 6 19] ; [24 47],[ 7.8125 17.1875] ; [22.1875 48.8125],0
a8,1,0.367562,0.811892,[ 4 20] ; [ 7 64],[ 2.77894737 21.22105263] ; [ 8.22105263 62.77894737],0
n1,1,0.442703,0.589266,[6 7] ; [ 8 16],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
a4,1,0.618782,0.247583,[11 14] ; [28 45],[ 9.94897959 15.05102041] ; [29.05102041 43.94897959],0
b4,1,0.630326,0.231619,[13 12] ; [42 31],[14.03061224 10.96938776] ; [40.96938776 32.03061224],0
a5,1,0.639371,0.219566,[12 13] ; [39 34],[13.01020408 11.98979592] ; [37.98979592 35.01020408],0
p5,1,0.726117,0.122707,[ 1 23] ; [ 2 71],[ 0.74226804 23.25773196] ; [ 2.25773196 70.74226804],0
v3,1,0.733196,0.116197,[ 4 21] ; [ 9 59],[ 3.49462366 21.50537634] ; [ 9.50537634 58.49462366],0
d2,1,0.744629,0.1061,[11 14] ; [29 43],[10.30927835 14.69072165] ; [29.69072165 42.30927835],0
a2,1,0.836731,0.042468,[ 4 21] ; [13 60],[ 4.33673469 20.66326531] ; [12.66326531 60.33673469],0
a3,1,0.852417,0.034609,[14 10] ; [41 32],[13.60824742 10.39175258] ; [41.39175258 31.60824742],0
