Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000183,14.0,[1 6] ; [24  4],[5. 2.] ; [20.  8.],1
n6,1,0.007148,7.235468,[3 3] ; [26  2],[5.11764706 0.88235294] ; [23.88235294  4.11764706],0
p3,1,0.01081,6.496212,[2 5] ; [22  6],[4.8 2.2] ; [19.2  8.8],0
p2,1,0.021979,5.247449,[3 3] ; [25  3],[4.94117647 1.05882353] ; [23.05882353  4.94117647],0
b4,1,0.027928,4.832516,[6 1] ; [11 17],[3.4 3.6] ; [13.6 14.4],0
r1,1,0.033411,4.524573,[3 4] ; [23  5],[5.2 1.8] ; [20.8  7.2],0
v4,1,0.034573,4.466146,[5 2] ; [27  1],[6.4 0.6] ; [25.6  2.4],0
p4,1,0.043567,4.073276,[4 3] ; [25  3],[5.8 1.2] ; [23.2  4.8],0
a2,1,0.043567,4.073276,[3 4] ; [ 3 25],[1.2 5.8] ; [ 4.8 23.2],0
n2,1,0.05778,3.6,[4 1] ; [1 4],[2.5 2.5] ; [2.5 2.5],0
s8,1,0.087669,2.916667,[2 5] ; [18 10],[4. 3.] ; [16. 12.],0
v3,1,0.104756,2.631595,[1 6] ; [13 14],[2.88235294 4.11764706] ; [11.11764706 15.88235294],0
d2,1,0.17612,1.830065,[5 2] ; [12 16],[3.4 3.6] ; [13.6 14.4],0
s3,1,0.17612,1.830065,[2 5] ; [16 12],[3.6 3.4] ; [14.4 13.6],0
a5,1,0.212628,1.553442,[6 1] ; [17 11],[4.6 2.4] ; [18.4  9.6],0
a4,1,0.220806,1.499126,[4 3] ; [ 9 19],[2.6 4.4] ; [10.4 17.6],0
p6,1,0.288986,1.124339,[2 4] ; [16 12],[3.17647059 2.82352941] ; [14.82352941 13.17647059],0
d1,1,0.308711,1.036184,[5 2] ; [14 14],[3.8 3.2] ; [15.2 12.8],0
d5,1,0.349575,0.875,[6 1] ; [19  9],[5. 2.] ; [20.  8.],0
a3,1,0.349575,0.875,[4 3] ; [21  7],[5. 2.] ; [20.  8.],0
v2,1,0.352587,0.864123,[2 5] ; [13 14],[3.08823529 3.91176471] ; [11.91176471 15.08823529],0
s7,1,0.380977,0.767549,[4 3] ; [20  7],[4.94117647 2.05882353] ; [19.05882353  7.94117647],0
b1,1,0.393153,0.729167,[4 3] ; [11 17],[3. 4.] ; [12. 16.],0
u3,1,0.490153,0.47619,[2 1] ; [3 4],[1.5 1.5] ; [3.5 3.5],0
b5,1,0.490153,0.47619,[5 2] ; [16 12],[4.2 2.8] ; [16.8 11.2],0
a6,1,0.490153,0.47619,[5 2] ; [16 12],[4.2 2.8] ; [16.8 11.2],0
n4,1,0.526168,0.401786,[5 2] ; [23  5],[5.6 1.4] ; [22.4  5.6],0
n1,1,0.527089,0.4,[3 2] ; [2 3],[2.5 2.5] ; [2.5 2.5],0
p11,1,0.545972,0.364583,[6 1] ; [21  7],[5.4 1.6] ; [21.6  6.4],0
p9,1,0.545972,0.364583,[6 1] ; [26  2],[6.4 0.6] ; [25.6  2.4],0
d3,1,0.599766,0.27535,[5 2] ; [17 11],[4.4 2.6] ; [17.6 10.4],0
a7,1,0.599766,0.27535,[5 2] ; [17 11],[4.4 2.6] ; [17.6 10.4],0
p12,1,0.66233,0.190705,[1 5] ; [ 7 21],[1.41176471 4.58823529] ; [ 6.58823529 21.41176471],0
u1,1,0.672604,0.178571,[1 6] ; [ 6 22],[1.4 5.6] ; [ 5.6 22.4],0
p7,1,0.674576,0.176296,[4 2] ; [21  7],[4.41176471 1.58823529] ; [20.58823529  7.41176471],0
v1,1,0.678071,0.172306,[3 3] ; [16 11],[3.45454545 2.54545455] ; [15.54545455 11.45454545],0
b3,1,0.683949,0.165714,[2 3] ; [12 12],[2.4137931 2.5862069] ; [11.5862069 12.4137931],0
b2,1,0.683949,0.165714,[2 3] ; [12 12],[2.4137931 2.5862069] ; [11.5862069 12.4137931],0
u2,1,0.77816,0.079365,[1 2] ; [3 4],[1.2 1.8] ; [2.8 4.2],0
r2,1,0.790517,0.070565,[6 1] ; [25  3],[6.2 0.8] ; [24.8  3.2],0
d4,1,0.822564,0.050287,[6 1] ; [23  5],[5.8 1.2] ; [23.2  4.8],0
p8,1,0.85554,0.033144,[5 2] ; [19  9],[4.8 2.2] ; [19.2  8.8],0
s1,1,1.0,0.0,[1 6] ; [ 4 24],[1. 6.] ; [ 4. 24.],0
n3,1,1.0,0.0,[2 3] ; [2 3],[2. 3.] ; [2. 3.],0
p10,1,1.0,0.0,[6 1] ; [24  4],[6. 1.] ; [24.  4.],0
