Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,161.965272,[19 85] ; [251  41],[70.90909091 33.09090909] ; [199.09090909  92.90909091],1
p11,1,0.0,75.42758,[43 62] ; [249  45],[76.84210526 28.15789474] ; [215.15789474  78.84210526],1
p2,1,0.0,57.196891,[51 54] ; [248  42],[79.48101266 25.51898734] ; [219.51898734  70.48101266],1
r3,1,0.0,29.1671,[76 28] ; [273  20],[91.4256927 12.5743073] ; [257.5743073  35.4256927],1
p8,1,0.0,28.220508,[25 79] ; [156 131],[48.14322251 55.85677749] ; [132.85677749 154.14322251],1
r4,1,1e-06,24.902494,[65 40] ; [250  44],[82.89473684 22.10526316] ; [232.10526316  61.89473684],1
n6,1,5e-06,20.997788,[60 43] ; [238  56],[77.31486146 25.68513854] ; [220.68513854  73.31486146],1
v4,1,2e-05,18.198529,[79 23] ; [273  21],[90.66666667 11.33333333] ; [261.33333333  32.66666667],1
n5,1,6.9e-05,15.828927,[54 50] ; [213  78],[70.29873418 33.70126582] ; [196.70126582  94.29873418],1
b1,1,0.000138,14.533265,[56 49] ; [ 95 199],[39.73684211 65.26315789] ; [111.26315789 182.73684211],1
v1,1,0.000183,13.998554,[32 73] ; [149 139],[48.35877863 56.64122137] ; [132.64122137 155.35877863],1
p4,1,0.000203,13.800293,[33 71] ; [154 137],[49.23544304 54.76455696] ; [137.76455696 153.23544304],1
p7,1,0.000227,13.595708,[40 63] ; [172 115],[55.98974359 47.01025641] ; [156.01025641 130.98974359],1
s6,1,0.000328,12.905106,[25 80] ; [128 165],[40.36432161 64.63567839] ; [112.63567839 180.36432161],1
p3,1,0.000468,12.239384,[26 78] ; [130 162],[40.96969697 63.03030303] ; [115.03030303 176.96969697],1
s8,1,0.000475,12.210728,[ 9 96] ; [ 72 221],[21.36934673 83.63065327] ; [ 59.63065327 233.36934673],1
v2,1,0.001568,9.997172,[36 66] ; [150 130],[49.66492147 52.33507853] ; [136.33507853 143.66492147],0
a3,1,0.002738,8.974459,[53 51] ; [197  95],[65.65656566 38.34343434] ; [184.34343434 107.65656566],0
n2,1,0.003746,8.403061,[19 22] ; [53 19],[26.12389381 14.87610619] ; [45.87610619 26.12389381],0
p6,1,0.004743,7.974833,[15 87] ; [ 83 205],[25.63076923 76.36923077] ; [ 72.36923077 215.63076923],0
r2,1,0.008466,6.932188,[83 19] ; [264  26],[90.29081633 11.70918367] ; [256.70918367  33.29081633],0
d3,1,0.009159,6.791641,[56 49] ; [198  95],[67.01005025 37.98994975] ; [186.98994975 106.01005025],0
d5,1,0.010153,6.607872,[68 37] ; [228  66],[77.89473684 27.10526316] ; [218.10526316  75.89473684],0
a5,1,0.012896,6.183254,[58 47] ; [202  92],[68.42105263 36.57894737] ; [191.57894737 102.42105263],0
s1,1,0.029168,4.75765,[ 6 97] ; [  5 287],[  2.86835443 100.13164557] ; [  8.13164557 283.86835443],0
a7,1,0.034822,4.453858,[65 39] ; [216  78],[73.42713568 30.57286432] ; [207.57286432  86.42713568],0
a6,1,0.036276,4.38407,[63 42] ; [209  85],[71.57894737 33.42105263] ; [200.42105263  93.57894737],0
d4,1,0.038545,4.280806,[68 36] ; [223  71],[76.04020101 27.95979899] ; [214.95979899  79.04020101],0
v3,1,0.038644,4.276436,[25 76] ; [103 183],[33.40568475 67.59431525] ; [ 94.59431525 191.40568475],0
p5,1,0.049226,3.867619,[  2 102] ; [ 21 272],[ 6.02518892 97.97481108] ; [ 16.97481108 276.02518892],0
n3,1,0.064586,3.415516,[22 17] ; [53 19],[26.35135135 12.64864865] ; [48.64864865 23.35135135],0
r1,1,0.065743,3.386228,[66 38] ; [214  79],[73.35012594 30.64987406] ; [206.64987406  86.35012594],0
a1,1,0.06807,3.328958,[ 7 98] ; [  8 286],[  3.94736842 101.05263158] ; [ 11.05263158 282.94736842],0
s7,1,0.070321,3.275522,[17 81] ; [ 74 206],[23.59259259 74.40740741] ; [ 67.40740741 212.59259259],0
n4,1,0.085314,2.960634,[66 38] ; [213  81],[72.90452261 31.09547739] ; [206.09547739  87.90452261],0
d1,1,0.088722,2.897419,[42 63] ; [146 148],[49.47368421 55.52631579] ; [138.52631579 155.47368421],0
a8,1,0.095637,2.776827,[ 5 91] ; [ 29 234],[ 9.09192201 86.90807799] ; [ 24.90807799 238.09192201],0
b5,1,0.110545,2.546408,[59 46] ; [191 103],[65.78947368 39.21052632] ; [184.21052632 109.78947368],0
s4,1,0.217568,1.520339,[12 93] ; [ 22 271],[ 8.96984925 96.03015075] ; [ 25.03015075 267.96984925],0
u3,1,0.240222,1.37929,[28 24] ; [42 54],[24.59459459 27.40540541] ; [45.40540541 50.59459459],0
a4,1,0.249387,1.326732,[35 68] ; [118 174],[39.89620253 63.10379747] ; [113.10379747 178.89620253],0
p12,1,0.443026,0.588432,[  2 102] ; [ 10 282],[  3.15151515 100.84848485] ; [  8.84848485 283.15151515],0
u2,1,0.448699,0.573936,[24 27] ; [52 45],[26.18918919 24.81081081] ; [49.81081081 47.18918919],0
d2,1,0.487396,0.482269,[44 60] ; [113 181],[41.02512563 62.97487437] ; [115.97487437 178.02512563],0
b4,1,0.496986,0.461367,[64 41] ; [168 126],[61.05263158 43.94736842] ; [170.94736842 123.05263158],0
s3,1,0.536476,0.38211,[28 76] ; [ 69 220],[25.6692112 78.3307888] ; [ 71.3307888 217.6692112],0
n1,1,0.540284,0.375014,[13 29] ; [26 45],[14.49557522 27.50442478] ; [24.50442478 46.49557522],0
a2,1,0.721874,0.126704,[18 87] ; [ 55 239],[19.21052632 85.78947368] ; [ 53.78947368 240.21052632],0
p1,1,0.796389,0.066576,[ 6 98] ; [ 19 274],[ 6.54911839 97.45088161] ; [ 18.45088161 274.54911839],0
b2,1,0.970489,0.001369,[22 42] ; [ 58 112],[21.88034188 42.11965812] ; [ 58.11965812 111.88034188],0
b3,1,0.970489,0.001369,[22 42] ; [ 58 112],[21.88034188 42.11965812] ; [ 58.11965812 111.88034188],0
u1,1,0.984444,0.00038,[11 94] ; [ 31 263],[11.05263158 93.94736842] ; [ 30.94736842 263.05263158],0
