Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,77.75338,[367   9] ; [7 7],[360.57435897  15.42564103] ; [13.42564103  0.57435897],1
r4,1,0.0,74.581431,[360  18] ; [5 9],[351.96428571  26.03571429] ; [13.03571429  0.96428571],1
r1,1,6e-06,20.495299,[326  50] ; [6 8],[320.08205128  55.91794872] ; [11.91794872  2.08205128],1
s3,1,0.011066,6.454618,[216 153] ; [ 3 10],[211.54712042 157.45287958] ; [7.45287958 5.54712042],0
s1,1,0.021333,5.299405,[ 11 360] ; [ 2 12],[ 12.52727273 358.47272727] ; [ 0.47272727 13.52727273],0
a6,1,0.048397,3.896132,[256 120] ; [6 8],[252.59487179 123.40512821] ; [9.40512821 4.59487179],0
a7,1,0.056501,3.637218,[276 101] ; [7 7],[272.86700767 104.13299233] ; [10.13299233  3.86700767],0
s6,1,0.066996,3.355123,[266 101] ; [7 7],[262.96850394 104.03149606] ; [10.03149606  3.96850394],0
d3,1,0.067789,3.335768,[273 104] ; [7 7],[269.97442455 107.02557545] ; [10.02557545  3.97442455],0
n2,1,0.081194,3.040844,[43 10] ; [3 3],[41.3220339 11.6779661] ; [4.6779661 1.3220339],0
a2,1,0.091006,2.856489,[104 274] ; [ 1 13],[101.25 276.75] ; [ 3.75 10.25],0
d1,1,0.097259,2.74993,[244 134] ; [6 8],[241.07142857 136.92857143] ; [8.92857143 5.07142857],0
n3,1,0.110495,2.547125,[42 11] ; [3 3],[40.42372881 12.57627119] ; [4.57627119 1.42372881],0
s7,1,0.124828,2.355674,[199 158] ; [4 8],[196.39837398 160.60162602] ; [6.60162602 5.39837398],0
v2,1,0.157794,1.995237,[249 118] ; [12  2],[251.40944882 115.59055118] ; [9.59055118 4.40944882],0
n1,1,0.171534,1.869482,[33 20] ; [2 4],[31.44067797 21.55932203] ; [3.55932203 2.44067797],0
a1,1,0.172287,1.862928,[ 21 357] ; [ 2 12],[ 22.17857143 355.82142857] ; [ 0.82142857 13.17857143],0
d5,1,0.174944,1.840062,[319  57] ; [10  4],[317.18974359  58.81025641] ; [11.81025641  2.18974359],0
u1,1,0.17879,1.807652,[ 84 294] ; [ 1 13],[ 81.96428571 296.03571429] ; [ 3.03571429 10.96428571],0
v3,1,0.185778,1.750787,[196 169] ; [5 9],[193.57519789 171.42480211] ; [7.42480211 6.57519789],0
a5,1,0.194523,1.683024,[298  80] ; [9 5],[296.03571429  81.96428571] ; [10.96428571  3.03571429],0
s2,1,0.195235,1.677664,[210 161] ; [5 8],[207.72135417 163.27864583] ; [7.27864583 5.72135417],0
p5,1,0.204434,1.610412,[ 59 314] ; [ 4 10],[ 60.72093023 312.27906977] ; [ 2.27906977 11.72093023],0
s8,1,0.208553,1.581444,[197 176] ; [5 9],[194.69250646 178.30749354] ; [7.30749354 6.69250646],0
b4,1,0.221005,1.497831,[224 154] ; [6 8],[221.78571429 156.21428571] ; [8.21428571 5.78571429],0
p3,1,0.229495,1.443989,[220 153] ; [6 8],[217.82428941 155.17571059] ; [8.17571059 5.82428941],0
a4,1,0.289391,1.122454,[188 187] ; [5 9],[186.05398458 188.94601542] ; [6.94601542 7.05398458],0
b5,1,0.294421,1.099296,[241 137] ; [7 7],[239.14285714 138.85714286] ; [8.85714286 5.14285714],0
p11,1,0.32359,0.974379,[313  65] ; [13  1],[314.35714286  63.64285714] ; [11.64285714  2.35714286],0
b1,1,0.403203,0.698752,[147 231] ; [7 7],[148.5 229.5] ; [5.5 8.5],0
p6,1,0.416821,0.65926,[172 196] ; [5 9],[170.51308901 197.48691099] ; [6.48691099 7.51308901],0
b2,1,0.423506,0.640565,[109 146] ; [3 7],[107.77358491 147.22641509] ; [4.22641509 5.77358491],0
b3,1,0.423506,0.640565,[109 146] ; [3 7],[107.77358491 147.22641509] ; [4.22641509 5.77358491],0
s4,1,0.436546,0.605346,[ 52 319] ; [ 3 11],[ 53. 318.] ; [ 2. 12.],0
p4,1,0.441408,0.592618,[257 116] ; [11  3],[258.30490956 114.69509044] ; [9.69509044 4.30490956],0
p8,1,0.444009,0.5859,[221 146] ; [7 7],[219.62204724 147.37795276] ; [8.37795276 5.62204724],0
d2,1,0.458829,0.54875,[199 177] ; [6 8],[197.64102564 178.35897436] ; [7.35897436 6.64102564],0
r3,1,0.461618,0.541969,[364  14] ; [12  1],[363.49872123  14.50127877] ; [12.50127877  0.49872123],0
n6,1,0.51538,0.423128,[338  37] ; [11  2],[337.30670103  37.69329897] ; [11.69329897  1.30670103],0
d4,1,0.584954,0.298295,[316  60] ; [11  3],[315.26153846  60.73846154] ; [11.73846154  2.26153846],0
p9,1,0.615019,0.252931,[327  46] ; [12  1],[327.58290155  45.41709845] ; [11.41709845  1.58290155],0
p12,1,0.623711,0.240687,[ 38 334] ; [ 2 12],[ 38.5492228 333.4507772] ; [ 1.4507772 12.5492228],0
p7,1,0.661029,0.192276,[254 110] ; [9 5],[253.25925926 110.74074074] ; [9.74074074 4.25925926],0
a3,1,0.694828,0.153909,[285  90] ; [10  4],[284.38303342  90.61696658] ; [10.61696658  3.38303342],0
n5,1,0.695742,0.152939,[337  39] ; [13  1],[337.43589744  38.56410256] ; [12.56410256  1.43589744],0
u3,1,0.716155,0.132206,[55 38] ; [2 2],[54.64948454 38.35051546] ; [2.35051546 1.64948454],0
p1,1,0.716663,0.131712,[ 38 338] ; [ 1 13],[ 37.6 338.4] ; [ 1.4 12.6],0
s5,1,0.754122,0.098099,[144 217] ; [5 9],[143.43733333 217.56266667] ; [5.56266667 8.43733333],0
p2,1,0.827679,0.047384,[327  46] ; [12  2],[326.73643411  46.26356589] ; [12.26356589  1.73643411],0
u2,1,0.864345,0.029188,[50 42] ; [2 2],[49.83333333 42.16666667] ; [2.16666667 1.83333333],0
p10,1,0.927238,0.008339,[319  54] ; [11  2],[318.88601036  54.11398964] ; [11.11398964  1.88601036],0
