Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6.8e-05,15.863581,[4 5] ; [54  4],[7.79104478 1.20895522] ; [50.20895522  7.79104478],1
r1,1,0.00478,7.960964,[2 7] ; [41 17],[5.7761194 3.2238806] ; [37.2238806 20.7761194],0
r2,1,0.041173,4.168896,[5 4] ; [49  9],[7.25373134 1.74626866] ; [46.74626866 11.25373134],0
n6,1,0.065262,3.398331,[3 6] ; [38 20],[5.50746269 3.49253731] ; [35.49253731 22.50746269],0
a6,1,0.06582,3.384296,[2 7] ; [32 26],[4.56716418 4.43283582] ; [29.43283582 28.56716418],0
p1,1,0.070145,3.279613,[2 7] ; [ 3 55],[0.67164179 8.32835821] ; [ 4.32835821 53.67164179],0
p11,1,0.092388,2.832258,[4 5] ; [42 16],[6.17910448 2.82089552] ; [39.82089552 18.17910448],0
a7,1,0.128083,2.315586,[3 6] ; [35 23],[5.10447761 3.89552239] ; [32.89552239 25.10447761],0
v2,1,0.188243,1.731315,[1 8] ; [18 37],[2.671875 6.328125] ; [16.328125 38.671875],0
a3,1,0.202648,1.623187,[6 3] ; [25 32],[4.22727273 4.77272727] ; [26.77272727 30.22727273],0
s6,1,0.219846,1.505373,[2 7] ; [25 32],[3.68181818 5.31818182] ; [23.31818182 33.68181818],0
a5,1,0.234725,1.411996,[2 7] ; [25 33],[3.62686567 5.37313433] ; [23.37313433 34.62686567],0
s1,1,0.301035,1.069604,[1 8] ; [ 2 56],[0.40298507 8.59701493] ; [ 2.59701493 55.40298507],0
b1,1,0.315886,1.005903,[5 4] ; [22 36],[3.62686567 5.37313433] ; [23.37313433 34.62686567],0
p7,1,0.328922,0.953139,[6 2] ; [33 25],[4.72727273 3.27272727] ; [34.27272727 23.72727273],0
s8,1,0.334188,0.9326,[1 8] ; [15 43],[2.14925373 6.85074627] ; [13.85074627 44.14925373],0
d3,1,0.368201,0.809726,[5 4] ; [23 35],[3.76119403 5.23880597] ; [24.23880597 33.76119403],0
v1,1,0.401576,0.703603,[4 5] ; [17 39],[2.90769231 6.09230769] ; [18.09230769 37.90769231],0
n4,1,0.411009,0.67588,[2 7] ; [21 37],[3.08955224 5.91044776] ; [19.91044776 38.08955224],0
p6,1,0.412315,0.672116,[1 8] ; [13 43],[1.93846154 7.06153846] ; [12.06153846 43.93846154],0
n2,1,0.421317,0.646639,[1 1] ; [13  4],[1.47368421 0.52631579] ; [12.52631579  4.47368421],0
s3,1,0.50722,0.439798,[3 5] ; [29 29],[3.87878788 4.12121212] ; [28.12121212 29.87878788],0
s7,1,0.557098,0.344753,[1 7] ; [12 44],[1.625 6.375] ; [11.375 44.625],0
p8,1,0.561971,0.336303,[4 5] ; [20 38],[3.2238806 5.7761194] ; [20.7761194 37.2238806],0
p3,1,0.561971,0.336303,[4 5] ; [20 38],[3.2238806 5.7761194] ; [20.7761194 37.2238806],0
a4,1,0.613405,0.255246,[2 7] ; [ 9 49],[1.47761194 7.52238806] ; [ 9.52238806 48.47761194],0
b2,1,0.635934,0.2241,[1 4] ; [10 23],[1.44736842 3.55263158] ; [ 9.55263158 23.44736842],0
b3,1,0.635934,0.2241,[1 4] ; [10 23],[1.44736842 3.55263158] ; [ 9.55263158 23.44736842],0
p2,1,0.660704,0.192669,[7 2] ; [41 17],[6.44776119 2.55223881] ; [41.55223881 16.44776119],0
p4,1,0.709089,0.139189,[4 5] ; [22 36],[3.49253731 5.50746269] ; [22.50746269 35.49253731],0
u3,1,0.727383,0.121528,[1 2] ; [14 18],[1.28571429 1.71428571] ; [13.71428571 18.28571429],0
u2,1,0.727383,0.121528,[2 1] ; [18 14],[1.71428571 1.28571429] ; [18.28571429 13.71428571],0
s4,1,0.729991,0.11912,[1 8] ; [ 9 49],[1.34328358 7.65671642] ; [ 8.65671642 49.34328358],0
b5,1,0.79074,0.070411,[6 3] ; [36 22],[5.64179104 3.35820896] ; [36.35820896 21.64179104],0
d4,1,0.830467,0.04584,[5 4] ; [30 28],[4.70149254 4.29850746] ; [30.29850746 27.70149254],0
p10,1,0.830467,0.04584,[4 5] ; [28 30],[4.29850746 4.70149254] ; [27.70149254 30.29850746],0
b4,1,0.830467,0.04584,[5 4] ; [30 28],[4.70149254 4.29850746] ; [30.29850746 27.70149254],0
v3,1,0.857497,0.032242,[2 7] ; [14 42],[2.21538462 6.78461538] ; [13.78461538 42.21538462],0
p9,1,0.867147,0.027984,[6 3] ; [37 21],[5.7761194 3.2238806] ; [37.2238806 20.7761194],0
s2,1,1.0,0.0,[3 6] ; [19 38],[3. 6.] ; [19. 38.],0
