Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,2.1e-05,18.069614,[ 8 26] ; [14  2],[14.96 19.04] ; [7.04 8.96],1
p6,1,0.000345,12.80777,[ 2 31] ; [8 8],[ 6.73469388 26.26530612] ; [ 3.26530612 12.73469388],1
v2,1,0.000393,12.563918,[ 8 25] ; [13  4],[13.86 19.14] ; [7.14 9.86],1
p3,1,0.001116,10.625,[ 5 29] ; [10  7],[10. 24.] ; [ 5. 12.],0
p8,1,0.001828,9.714286,[ 2 32] ; [ 7 10],[ 6. 28.] ; [ 3. 14.],0
s6,1,0.00192,9.624096,[ 6 27] ; [10  6],[10.7755102 22.2244898] ; [ 5.2244898 10.7755102],0
p7,1,0.002813,8.925,[ 6 28] ; [10  7],[10.66666667 23.33333333] ; [ 5.33333333 11.66666667],0
d3,1,0.002924,8.854167,[11 23] ; [13  4],[16. 18.] ; [8. 9.],0
p5,1,0.005677,7.65,[ 1 33] ; [ 5 12],[ 4. 30.] ; [ 2. 15.],0
n6,1,0.008576,6.909104,[16 17] ; [14  2],[20.20408163 12.79591837] ; [9.79591837 6.20408163],0
p10,1,0.011178,6.436818,[12 21] ; [12  4],[16.16326531 16.83673469] ; [7.83673469 8.16326531],0
r3,1,0.020575,5.362448,[16 17] ; [14  3],[19.8 13.2] ; [10.2  6.8],0
b2,1,0.04044,4.199313,[13 12] ; [ 2 10],[10.13513514 14.86486486] ; [4.86486486 7.13513514],0
b3,1,0.04044,4.199313,[13 12] ; [ 2 10],[10.13513514 14.86486486] ; [4.86486486 7.13513514],0
p9,1,0.040524,4.195804,[14 18] ; [12  4],[17.33333333 14.66666667] ; [8.66666667 7.33333333],0
p11,1,0.046604,3.959627,[12 22] ; [11  6],[15.33333333 18.66666667] ; [7.66666667 9.33333333],0
d2,1,0.091184,2.853342,[15 18] ; [12  5],[17.82 15.18] ; [9.18 7.82],0
v1,1,0.101343,2.684282,[ 8 25] ; [8 9],[10.56 22.44] ; [ 5.44 11.56],0
b5,1,0.113071,2.510769,[14 20] ; [11  6],[16.66666667 17.33333333] ; [8.33333333 8.66666667],0
a2,1,0.150241,2.069805,[ 3 31] ; [ 4 13],[ 4.66666667 29.33333333] ; [ 2.33333333 14.66666667],0
s8,1,0.161349,1.961538,[ 6 28] ; [ 6 11],[ 8. 26.] ; [ 4. 13.],0
a4,1,0.161787,1.957448,[ 9 24] ; [8 9],[11.22 21.78] ; [ 5.78 11.22],0
a6,1,0.165602,1.922308,[15 19] ; [11  6],[17.33333333 16.66666667] ; [8.66666667 8.33333333],0
s2,1,0.203463,1.617341,[ 7 27] ; [ 6 10],[ 8.84 25.16] ; [ 4.16 11.84],0
p12,1,0.217971,1.51768,[ 1 32] ; [ 2 15],[ 1.98 31.02] ; [ 1.02 15.98],0
s5,1,0.252703,1.308296,[ 4 29] ; [ 4 12],[ 5.3877551 27.6122449] ; [ 2.6122449 13.3877551],0
n1,1,0.268925,1.222222,[10  8] ; [1 3],[9. 9.] ; [2. 2.],0
n3,1,0.268925,1.222222,[ 8 10] ; [3 1],[9. 9.] ; [2. 2.],0
r4,1,0.285992,1.138393,[ 9 25] ; [ 7 10],[10.66666667 23.33333333] ; [ 5.33333333 11.66666667],0
a5,1,0.310576,1.028226,[19 15] ; [12  5],[20.66666667 13.33333333] ; [10.33333333  6.66666667],0
b1,1,0.3175,0.999216,[21 13] ; [8 9],[19.33333333 14.66666667] ; [9.66666667 7.33333333],0
d1,1,0.3175,0.999216,[13 21] ; [9 8],[14.66666667 19.33333333] ; [7.33333333 9.66666667],0
n5,1,0.318494,0.995122,[26  8] ; [15  2],[27.33333333  6.66666667] ; [13.66666667  3.33333333],0
p1,1,0.356552,0.85,[ 5 29] ; [ 1 16],[ 4. 30.] ; [ 2. 15.],0
n2,1,0.363722,0.825,[9 9] ; [3 1],[9.81818182 8.18181818] ; [2.18181818 1.81818182],0
d5,1,0.393347,0.728571,[22 12] ; [13  4],[23.33333333 10.66666667] ; [11.66666667  5.33333333],0
b4,1,0.412685,0.671053,[20 14] ; [12  5],[21.33333333 12.66666667] ; [10.66666667  6.33333333],0
a8,1,0.414399,0.666144,[ 8 26] ; [ 2 13],[ 6.93877551 27.06122449] ; [ 3.06122449 11.93877551],0
u3,1,0.481924,0.494505,[ 2 11] ; [2 5],[ 2.6 10.4] ; [1.4 5.6],0
v3,1,0.483756,0.490385,[ 7 27] ; [ 5 12],[ 8. 26.] ; [ 4. 13.],0
a7,1,0.551764,0.354167,[15 19] ; [9 8],[16. 18.] ; [8. 9.],0
s3,1,0.618743,0.247638,[12 21] ; [7 9],[12.79591837 20.20408163] ; [6.20408163 9.79591837],0
d4,1,0.674424,0.176471,[22 12] ; [12  5],[22.66666667 11.33333333] ; [11.33333333  5.66666667],0
r1,1,0.689272,0.159875,[14 20] ; [8 9],[14.66666667 19.33333333] ; [7.33333333 9.66666667],0
s7,1,0.705883,0.142424,[ 8 24] ; [ 3 12],[ 7.4893617 24.5106383] ; [ 3.5106383 11.4893617],0
r2,1,0.732196,0.117105,[18 13] ; [9 8],[17.4375 13.5625] ; [9.5625 7.4375],0
s4,1,0.739156,0.11087,[ 3 31] ; [ 2 15],[ 3.33333333 30.66666667] ; [ 1.66666667 15.33333333],0
s1,1,0.739156,0.11087,[ 3 31] ; [ 2 15],[ 3.33333333 30.66666667] ; [ 1.66666667 15.33333333],0
a3,1,0.73979,0.110311,[21 12] ; [10  7],[20.46 12.54] ; [10.54  6.46],0
u2,1,0.786648,0.07326,[ 3 10] ; [2 5],[3.25 9.75] ; [1.75 5.25],0
