Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,23.979254,[192  59] ; [21 29],[177.6179402  73.3820598] ; [35.3820598 14.6179402],1
n5,1,0.00012,14.800067,[201  50] ; [26 22],[190.55852843  60.44147157] ; [36.44147157 11.55852843],1
s6,1,0.000187,13.961169,[170  74] ; [21 29],[158.5170068  85.4829932] ; [32.4829932 17.5170068],1
r4,1,0.000748,11.366819,[222  29] ; [35 15],[214.3089701  36.6910299] ; [42.6910299  7.3089701],1
r2,1,0.000973,10.87745,[232  18] ; [38 11],[225.75250836  24.24749164] ; [44.24749164  4.75250836],1
b1,1,0.005465,7.718693,[ 88 163] ; [28 22],[ 96.73089701 154.26910299] ; [19.26910299 30.73089701],0
u2,1,0.020146,5.399179,[54 47] ; [17  4],[58.77868852 42.22131148] ; [12.22131148  8.77868852],0
r3,1,0.022773,5.185714,[237  13] ; [43  7],[233.33333333  16.66666667] ; [46.66666667  3.33333333],0
s5,1,0.032039,4.596416,[ 77 167] ; [ 8 41],[ 70.78498294 173.21501706] ; [14.21501706 34.78498294],0
p9,1,0.033577,4.516129,[236  14] ; [43  7],[232.5  17.5] ; [46.5  3.5],0
p4,1,0.048594,3.889329,[141 110] ; [20 29],[134.70333333 116.29666667] ; [26.29666667 22.70333333],0
p3,1,0.051124,3.8042,[118 133] ; [16 34],[111.74086379 139.25913621] ; [22.25913621 27.74086379],0
p6,1,0.057225,3.616042,[ 85 163] ; [10 39],[ 79.32659933 168.67340067] ; [15.67340067 33.32659933],0
s7,1,0.057305,3.613702,[115 123] ; [16 32],[109.01398601 128.98601399] ; [21.98601399 26.01398601],0
b2,1,0.061497,3.496539,[52 87] ; [ 4 19],[48.04938272 90.95061728] ; [ 7.95061728 15.04938272],0
b3,1,0.061497,3.496539,[52 87] ; [ 4 19],[48.04938272 90.95061728] ; [ 7.95061728 15.04938272],0
p11,1,0.061567,3.494655,[213  38] ; [37 13],[208.4717608  42.5282392] ; [41.5282392  8.4717608],0
p2,1,0.063468,3.444366,[212  38] ; [37 13],[207.5  42.5] ; [41.5  8.5],0
p5,1,0.064329,3.422102,[ 33 217] ; [ 2 48],[ 29.16666667 220.83333333] ; [ 5.83333333 44.16666667],0
b4,1,0.125956,2.341655,[145 106] ; [23 27],[140.09302326 110.90697674] ; [27.90697674 22.09302326],0
p12,1,0.145865,2.114967,[ 19 230] ; [ 1 49],[ 16.65551839 232.34448161] ; [ 3.34448161 46.65551839],0
s2,1,0.162382,1.951906,[116 132] ; [18 32],[111.51677852 136.48322148] ; [22.48322148 27.51677852],0
u3,1,0.173303,1.854138,[54 47] ; [14  6],[56.76033058 44.23966942] ; [11.23966942  8.76033058],0
s8,1,0.174315,1.845437,[101 150] ; [15 35],[ 96.73089701 154.26910299] ; [19.26910299 30.73089701],0
a5,1,0.198369,1.654344,[155  96] ; [26 24],[150.93355482 100.06644518] ; [30.06644518 19.93355482],0
a6,1,0.232735,1.424067,[148 103] ; [34 16],[151.76744186  99.23255814] ; [30.23255814 19.76744186],0
v3,1,0.268964,1.222021,[ 86 162] ; [13 36],[ 82.66666667 165.33333333] ; [16.33333333 32.66666667],0
r1,1,0.330015,0.948837,[182  68] ; [33 17],[179.16666667  70.83333333] ; [35.83333333 14.16666667],0
a1,1,0.333083,0.936875,[  8 243] ; [ 3 47],[  9.17275748 241.82724252] ; [ 1.82724252 48.17275748],0
n1,1,0.338879,0.914667,[23 35] ; [3 9],[21.54285714 36.45714286] ; [4.45714286 7.54285714],0
v2,1,0.409699,0.679675,[122 116] ; [21 26],[119.41754386 118.58245614] ; [23.58245614 23.41754386],0
p7,1,0.42708,0.630752,[157  90] ; [27 20],[154.58503401  92.41496599] ; [29.41496599 17.58503401],0
v1,1,0.446787,0.57879,[127 118] ; [22 26],[124.59044369 120.40955631] ; [24.40955631 23.59044369],0
v4,1,0.466568,0.530093,[236  14] ; [44  4],[234.89932886  15.10067114] ; [45.10067114  2.89932886],0
p8,1,0.467063,0.528916,[133 115] ; [24 26],[130.65771812 117.34228188] ; [26.34228188 23.65771812],0
p1,1,0.47766,0.504202,[ 22 228] ; [ 6 44],[ 23.33333333 226.66666667] ; [ 4.66666667 45.33333333],0
d2,1,0.489578,0.477454,[ 34 216] ; [ 5 45],[ 32.5 217.5] ; [ 6.5 43.5],0
b5,1,0.513942,0.426033,[138 113] ; [30 20],[140.09302326 110.90697674] ; [27.90697674 22.09302326],0
d3,1,0.523539,0.406916,[100 150] ; [22 27],[102.00668896 147.99331104] ; [19.99331104 29.00668896],0
s4,1,0.571886,0.319537,[ 43 206] ; [ 7 43],[ 41.63879599 207.36120401] ; [ 8.36120401 41.63879599],0
d5,1,0.60164,0.272529,[145 105] ; [27 23],[143.33333333 106.66666667] ; [28.66666667 21.33333333],0
d4,1,0.659112,0.194604,[149 102] ; [28 22],[147.59800664 103.40199336] ; [29.40199336 20.59800664],0
s3,1,0.659394,0.194261,[127 120] ; [24 26],[125.57912458 121.42087542] ; [25.42087542 24.57912458],0
n2,1,0.663916,0.188801,[46 12] ; [11  2],[46.56338028 11.43661972] ; [10.43661972  2.56338028],0
a7,1,0.800236,0.06403,[164  85] ; [32 18],[163.22408027  85.77591973] ; [32.77591973 17.22408027],0
a8,1,0.831125,0.04548,[ 28 212] ; [ 6 41],[ 28.43205575 211.56794425] ; [ 5.56794425 41.43205575],0
n3,1,0.834733,0.043529,[43 15] ; [10  3],[43.29577465 14.70422535] ; [9.70422535 3.29577465],0
a2,1,0.84118,0.040154,[ 17 234] ; [ 3 47],[ 16.67774086 234.32225914] ; [ 3.32225914 46.67774086],0
a3,1,0.857957,0.032032,[149 102] ; [29 21],[148.43189369 102.56810631] ; [29.56810631 20.43189369],0
a4,1,0.89354,0.01791,[ 63 188] ; [13 37],[ 63.37541528 187.62458472] ; [12.62458472 37.37541528],0
s1,1,0.899007,0.016108,[  9 239] ; [ 2 48],[  9.15436242 238.84563758] ; [ 1.84563758 48.15436242],0
u1,1,0.903304,0.014759,[ 11 240] ; [ 2 48],[ 10.84053156 240.15946844] ; [ 2.15946844 47.84053156],0
