Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,3e-06,21.83569,[12 37] ; [21  5],[21.56 27.44] ; [11.44 14.56],1
d4,1,6e-06,20.345837,[21 28] ; [25  1],[30.05333333 18.94666667] ; [15.94666667 10.05333333],1
d2,1,5.7e-05,16.19846,[15 34] ; [20  5],[23.17567568 25.82432432] ; [11.82432432 13.17567568],1
d3,1,7.3e-05,15.733577,[16 33] ; [21  5],[24.17333333 24.82666667] ; [12.82666667 13.17333333],1
a3,1,0.000103,15.074152,[18 30] ; [22  4],[25.94594595 22.05405405] ; [14.05405405 11.94594595],1
a4,1,0.001978,9.569459,[10 39] ; [14 11],[15.89189189 33.10810811] ; [ 8.10810811 16.89189189],0
s8,1,0.011671,6.360192,[ 3 46] ; [ 7 19],[ 6.53333333 42.46666667] ; [ 3.46666667 22.53333333],0
v2,1,0.017956,5.600404,[12 37] ; [13 12],[16.55405405 32.44594595] ; [ 8.44594595 16.55405405],0
p7,1,0.029318,4.748823,[24 25] ; [ 6 20],[19.6 29.4] ; [10.4 15.6],0
a2,1,0.031845,4.606802,[ 2 47] ; [ 5 21],[ 4.57333333 44.42666667] ; [ 2.42666667 23.57333333],0
p2,1,0.063297,3.448818,[28 21] ; [ 9 17],[24.17333333 24.82666667] ; [12.82666667 13.17333333],0
s1,1,0.073139,3.211125,[ 1 48] ; [ 3 22],[ 2.64864865 46.35135135] ; [ 1.35135135 23.64864865],0
n1,1,0.138011,2.2,[ 8 10] ; [ 3 12],[ 6. 12.] ; [ 5. 10.],0
s7,1,0.138478,2.194791,[ 9 39] ; [ 8 15],[11.49295775 36.50704225] ; [ 5.50704225 17.49295775],0
n3,1,0.183226,1.771266,[13  5] ; [8 8],[11.11764706  6.88235294] ; [9.88235294 6.11764706],0
p1,1,0.217923,1.517997,[ 2 47] ; [ 3 23],[ 3.26666667 45.73333333] ; [ 1.73333333 24.26666667],0
p6,1,0.270118,1.216147,[ 9 39] ; [ 7 16],[10.81690141 37.18309859] ; [ 5.18309859 17.81690141],0
n6,1,0.285136,1.142447,[27 22] ; [17  8],[29.13513514 19.86486486] ; [14.86486486 10.13513514],0
u3,1,0.313439,1.016129,[ 8 23] ; [2 2],[ 8.85714286 22.14285714] ; [1.14285714 2.85714286],0
p4,1,0.337544,0.919737,[16 33] ; [11 14],[17.87837838 31.12162162] ; [ 9.12162162 15.87837838],0
a7,1,0.34961,0.874874,[19 30] ; [13 13],[20.90666667 28.09333333] ; [11.09333333 14.90666667],0
n5,1,0.363962,0.824176,[28 21] ; [12 14],[26.13333333 22.86666667] ; [13.86666667 12.13333333],0
p8,1,0.377745,0.778026,[12 36] ; [ 4 21],[10.52054795 37.47945205] ; [ 5.47945205 19.52054795],0
r4,1,0.390987,0.735871,[18 31] ; [ 7 19],[16.33333333 32.66666667] ; [ 8.66666667 17.33333333],0
r3,1,0.391939,0.732919,[29 20] ; [18  8],[30.70666667 18.29333333] ; [16.29333333  9.70666667],0
b5,1,0.428111,0.627943,[31 18] ; [14 12],[29.4 19.6] ; [15.6 10.4],0
v1,1,0.432522,0.616043,[10 38] ; [ 7 17],[11.33333333 36.66666667] ; [ 5.66666667 18.33333333],0
a8,1,0.449921,0.570851,[ 4 43] ; [ 1 25],[ 3.21917808 43.78082192] ; [ 1.78082192 24.21917808],0
s4,1,0.466679,0.529827,[11 38] ; [ 4 22],[ 9.8 39.2] ; [ 5.2 20.8],0
r2,1,0.492073,0.47199,[30 19] ; [16  7],[31.30555556 17.69444444] ; [14.69444444  8.30555556],0
p11,1,0.516488,0.4209,[17 32] ; [11 15],[18.29333333 30.70666667] ; [ 9.70666667 16.29333333],0
s2,1,0.521304,0.411312,[10 39] ; [ 7 19],[11.10666667 37.89333333] ; [ 5.89333333 20.10666667],0
a6,1,0.581504,0.30381,[25 24] ; [15 11],[26.13333333 22.86666667] ; [13.86666667 12.13333333],0
s5,1,0.643182,0.214605,[ 8 40] ; [ 3 21],[ 7.33333333 40.66666667] ; [ 3.66666667 20.33333333],0
u2,1,0.64649,0.210354,[11 19] ; [1 3],[10.58823529 19.41176471] ; [1.41176471 2.58823529],0
p5,1,0.655289,0.199297,[ 1 47] ; [ 1 25],[ 1.2972973 46.7027027] ; [ 0.7027027 25.2972973],0
n4,1,0.701414,0.147005,[26 23] ; [15 11],[26.78666667 22.21333333] ; [14.21333333 11.78666667],0
v3,1,0.722591,0.126024,[10 39] ; [ 6 19],[10.59459459 38.40540541] ; [ 5.40540541 19.59459459],0
v4,1,0.72357,0.125098,[34 15] ; [17  9],[33.32 15.68] ; [17.68  8.32],0
s3,1,0.770348,0.085217,[17 31] ; [ 8 17],[16.43835616 31.56164384] ; [ 8.56164384 16.43835616],0
n2,1,0.773753,0.082639,[11  7] ; [9 7],[10.58823529  7.41176471] ; [9.41176471 6.58823529],0
p3,1,0.816124,0.054072,[15 34] ; [ 7 18],[14.56756757 34.43243243] ; [ 7.43243243 17.56756757],0
b1,1,0.829713,0.046255,[27 22] ; [15 11],[27.44 21.56] ; [14.56 11.44],0
p9,1,0.86105,0.030638,[17 31] ; [ 8 16],[16.66666667 31.33333333] ; [ 8.33333333 15.66666667],0
s6,1,0.863779,0.029435,[16 33] ; [ 9 17],[16.33333333 32.66666667] ; [ 8.66666667 17.33333333],0
b2,1,0.906981,0.013653,[ 9 21] ; [ 6 13],[ 9.18367347 20.81632653] ; [ 5.81632653 13.18367347],0
b3,1,0.906981,0.013653,[ 9 21] ; [ 6 13],[ 9.18367347 20.81632653] ; [ 5.81632653 13.18367347],0
a1,1,0.928607,0.008028,[ 6 43] ; [ 3 23],[ 5.88 43.12] ; [ 3.12 22.88],0
b4,1,0.932961,0.007076,[25 24] ; [13 13],[24.82666667 24.17333333] ; [13.17333333 12.82666667],0
