Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-05,19.562181,[24  9] ; [25 63],[13.36363636 19.63636364] ; [35.63636364 52.36363636],1
s3,1,4e-05,16.87779,[22 11] ; [23 65],[12.27272727 20.72727273] ; [32.72727273 55.27272727],1
s8,1,0.000136,14.561927,[14 19] ; [10 78],[ 6.54545455 26.45454545] ; [17.45454545 70.54545455],1
s2,1,0.000763,11.329588,[16 17] ; [16 72],[ 8.72727273 24.27272727] ; [23.27272727 64.72727273],1
p10,1,0.006631,7.370254,[14 19] ; [16 71],[ 8.25 24.75] ; [21.75 65.25],0
u1,1,0.026614,4.915708,[ 8 25] ; [ 8 81],[ 4.32786885 28.67213115] ; [11.67213115 77.32786885],0
d3,1,0.058728,3.572941,[23 10] ; [45 44],[18.39344262 14.60655738] ; [49.60655738 39.39344262],0
s4,1,0.061129,3.506494,[ 7 25] ; [ 8 80],[ 4. 28.] ; [11. 77.],0
p4,1,0.067378,3.345773,[14 19] ; [22 65],[ 9.9 23.1] ; [26.1 60.9],0
r2,1,0.067636,3.33949,[31  2] ; [69 17],[27.73109244  5.26890756] ; [72.26890756 13.73109244],0
a2,1,0.073084,3.212368,[ 9 24] ; [12 77],[ 5.68032787 27.31967213] ; [15.31967213 73.68032787],0
v1,1,0.076745,3.132515,[14 19] ; [23 66],[10.00819672 22.99180328] ; [26.99180328 62.00819672],0
u2,1,0.10053,2.697116,[8 3] ; [16 20],[5.61702128 5.38297872] ; [18.38297872 17.61702128],0
n6,1,0.111924,2.526846,[25  8] ; [53 35],[21.27272727 11.72727273] ; [56.72727273 31.27272727],0
r3,1,0.124916,2.35458,[28  5] ; [62 25],[24.75  8.25] ; [65.25 21.75],0
r4,1,0.147689,2.09596,[24  9] ; [52 37],[20.55737705 12.44262295] ; [55.44262295 33.55737705],0
p6,1,0.16186,1.956766,[ 8 25] ; [12 76],[ 5.45454545 27.54545455] ; [14.54545455 73.45454545],0
n1,1,0.171208,1.872337,[7 6] ; [12 25],[4.94 8.06] ; [14.06 22.94],0
p2,1,0.187974,1.733426,[20 13] ; [42 47],[16.7704918 16.2295082] ; [45.2295082 43.7704918],0
a8,1,0.20969,1.573563,[ 5 25] ; [ 7 76],[ 3.18584071 26.81415929] ; [ 8.81415929 74.18584071],0
n2,1,0.223622,1.480975,[10  4] ; [20 18],[8.07692308 5.92307692] ; [21.92307692 16.07692308],0
p8,1,0.233943,1.416726,[11 22] ; [20 68],[ 8.45454545 24.54545455] ; [22.54545455 65.45454545],0
u3,1,0.234563,1.412977,[7 4] ; [16 21],[5.27083333 5.72916667] ; [17.72916667 19.27083333],0
n4,1,0.23789,1.393054,[23 10] ; [51 37],[20.18181818 12.81818182] ; [53.81818182 34.18181818],0
d1,1,0.243351,1.361076,[18 15] ; [38 51],[15.14754098 17.85245902] ; [40.85245902 48.14754098],0
v3,1,0.262172,1.257252,[11 22] ; [20 66],[ 8.59663866 24.40336134] ; [22.40336134 63.59663866],0
d5,1,0.265244,1.241178,[25  8] ; [58 31],[22.45081967 10.54918033] ; [60.54918033 28.45081967],0
r1,1,0.298567,1.080585,[25  8] ; [58 30],[22.63636364 10.36363636] ; [60.36363636 27.63636364],0
s5,1,0.302867,1.061527,[ 8 25] ; [14 73],[ 6.05 26.95] ; [15.95 71.05],0
p11,1,0.308176,1.038475,[19 14] ; [42 47],[16.5 16.5] ; [44.5 44.5],0
v2,1,0.345429,0.890177,[15 18] ; [31 55],[12.75630252 20.24369748] ; [33.24369748 52.75630252],0
b2,1,0.408727,0.6825,[ 7 21] ; [17 33],[ 8.61538462 19.38461538] ; [15.38461538 34.61538462],0
b3,1,0.408727,0.6825,[ 7 21] ; [17 33],[ 8.61538462 19.38461538] ; [15.38461538 34.61538462],0
n5,1,0.430011,0.622794,[21 12] ; [49 39],[19.09090909 13.90909091] ; [50.90909091 37.09090909],0
a3,1,0.446377,0.579835,[22 11] ; [52 36],[20.18181818 12.81818182] ; [53.81818182 34.18181818],0
p5,1,0.466781,0.529587,[ 1 32] ; [ 1 87],[ 0.54545455 32.45454545] ; [ 1.45454545 86.54545455],0
a4,1,0.534261,0.38628,[13 20] ; [29 58],[11.55 21.45] ; [30.45 56.55],0
s1,1,0.534423,0.385975,[ 1 32] ; [ 5 81],[ 1.66386555 31.33613445] ; [ 4.33613445 81.66386555],0
a7,1,0.539541,0.376392,[21 12] ; [50 37],[19.525 13.475] ; [51.475 35.525],0
d4,1,0.548694,0.359662,[24  9] ; [59 29],[22.63636364 10.36363636] ; [60.36363636 27.63636364],0
v4,1,0.553036,0.351906,[26  6] ; [67 21],[24.8  7.2] ; [68.2 19.8],0
p7,1,0.570261,0.322247,[14 19] ; [32 55],[12.65 20.35] ; [33.35 53.65],0
