Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001165,10.544593,[56 17] ; [12 16],[49.14851485 23.85148515] ; [18.85148515  9.14851485],0
n5,1,0.001505,10.072655,[50 23] ; [ 9 18],[43.07 29.93] ; [15.93 11.07],0
p10,1,0.004174,8.206462,[50 23] ; [ 9 16],[43.94897959 29.05102041] ; [15.05102041  9.94897959],0
r2,1,0.007885,7.059315,[71  1] ; [24  4],[68.4  3.6] ; [26.6  1.4],0
p9,1,0.014181,6.01544,[52 21] ; [11 14],[46.92857143 26.07142857] ; [16.07142857  8.92857143],0
n2,1,0.022543,5.203386,[16  3] ; [6 7],[13.0625  5.9375] ; [8.9375 4.0625],0
s8,1,0.031718,4.613665,[35 37] ; [ 7 21],[30.24 41.76] ; [11.76 16.24],0
u2,1,0.032944,4.548704,[ 7 13] ; [7 2],[ 9.65517241 10.34482759] ; [4.34482759 4.65517241],0
b5,1,0.040465,4.198261,[50 23] ; [13 15],[45.53465347 27.46534653] ; [17.46534653 10.53465347],0
v4,1,0.050647,3.819893,[69  4] ; [23  5],[66.4950495  6.5049505] ; [25.5049505  2.4950495],0
r4,1,0.050824,3.814068,[64  9] ; [20  8],[60.71287129 12.28712871] ; [23.28712871  4.71287129],0
s7,1,0.136178,2.220622,[37 30] ; [ 9 15],[33.86813187 33.13186813] ; [12.13186813 11.86813187],0
u1,1,0.155791,2.014613,[17 56] ; [ 3 25],[14.45544554 58.54455446] ; [ 5.54455446 22.45544554],0
n1,1,0.163309,1.94332,[ 9 10] ; [ 3 10],[ 7.125 11.875] ; [4.875 8.125],0
b4,1,0.20906,1.577923,[44 29] ; [13 15],[41.1980198 31.8019802] ; [15.8019802 12.1980198],0
d5,1,0.22621,1.464537,[61 12] ; [26  2],[62.88118812 10.11881188] ; [24.11881188  3.88118812],0
p2,1,0.228504,1.450148,[50 23] ; [15 12],[47.45 25.55] ; [17.55  9.45],0
v3,1,0.284807,1.144008,[36 35] ; [10 16],[33.67010309 37.32989691] ; [12.32989691 13.67010309],0
s5,1,0.285652,1.14,[28 42] ; [ 7 18],[25.78947368 44.21052632] ; [ 9.21052632 15.78947368],0
r3,1,0.335492,0.92758,[66  7] ; [26  1],[67.16  5.84] ; [24.84  2.16],0
d4,1,0.38211,0.763902,[60 13] ; [25  3],[61.43564356 11.56435644] ; [23.56435644  4.43564356],0
a4,1,0.407911,0.684882,[38 35] ; [12 16],[36.13861386 36.86138614] ; [13.86138614 14.13861386],0
s4,1,0.409031,0.681617,[15 57] ; [ 8 20],[16.56 55.44] ; [ 6.44 21.56],0
p4,1,0.421943,0.644898,[38 33] ; [12 15],[36.2244898 34.7755102] ; [13.7755102 13.2244898],0
s6,1,0.45302,0.563084,[52 18] ; [18  9],[50.51546392 19.48453608] ; [19.48453608  7.51546392],0
p8,1,0.461218,0.542937,[22 50] ; [10 16],[23.51020408 48.48979592] ; [ 8.48979592 17.51020408],0
d3,1,0.521787,0.410359,[50 23] ; [21  7],[51.31683168 21.68316832] ; [19.68316832  8.31683168],0
a2,1,0.521787,0.410359,[23 50] ; [ 7 21],[21.68316832 51.31683168] ; [ 8.31683168 19.68316832],0
s3,1,0.568494,0.325209,[38 34] ; [13 15],[36.72 35.28] ; [14.28 13.72],0
d1,1,0.62059,0.245039,[43 30] ; [18 10],[44.08910891 28.91089109] ; [16.91089109 11.08910891],0
a7,1,0.637016,0.222666,[53 20] ; [19  9],[52.03960396 20.96039604] ; [19.96039604  8.03960396],0
p6,1,0.670094,0.181492,[29 42] ; [ 9 16],[28.10416667 42.89583333] ; [ 9.89583333 15.10416667],0
a5,1,0.687161,0.162176,[55 18] ; [20  8],[54.20792079 18.79207921] ; [20.79207921  7.20792079],0
p7,1,0.69134,0.157638,[36 35] ; [12 14],[35.13402062 35.86597938] ; [12.86597938 13.13402062],0
s1,1,0.717558,0.130845,[ 4 69] ; [ 1 26],[ 3.65 69.35] ; [ 1.35 25.65],0
a8,1,0.718545,0.129891,[ 6 53] ; [ 2 24],[ 5.55294118 53.44705882] ; [ 2.44705882 23.55294118],0
p3,1,0.721885,0.126693,[31 42] ; [10 16],[30.23232323 42.76767677] ; [10.76767677 15.23232323],0
a6,1,0.731897,0.117377,[47 26] ; [17 11],[46.25742574 26.74257426] ; [17.74257426 10.25742574],0
a3,1,0.739634,0.110448,[52 21] ; [19  9],[51.31683168 21.68316832] ; [19.68316832  8.31683168],0
p1,1,0.751574,0.100213,[ 4 69] ; [ 2 26],[ 4.33663366 68.66336634] ; [ 1.66336634 26.33663366],0
b1,1,0.757699,0.095174,[34 39] ; [14 14],[34.69306931 38.30693069] ; [13.30693069 14.69306931],0
s2,1,0.760289,0.093086,[41 31] ; [15 13],[40.32 31.68] ; [15.68 12.32],0
