Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,71.314066,[ 6 49] ; [102  29],[31.93548387 23.06451613] ; [76.06451613 54.93548387],1
d5,1,0.0,53.652587,[32 23] ; [128   2],[47.56756757  7.43243243] ; [112.43243243  17.56756757],1
d3,1,0.0,41.652938,[22 33] ; [113  18],[39.91935484 15.08064516] ; [95.08064516 35.91935484],1
d4,1,0.0,35.540298,[37 18] ; [127   3],[48.75675676  6.24324324] ; [115.24324324  14.75675676],1
a5,1,2e-06,22.355359,[34 21] ; [119  12],[45.24193548  9.75806452] ; [107.75806452  23.24193548],1
a3,1,0.000448,12.318495,[33 22] ; [109  21],[42.21621622 12.78378378] ; [99.78378378 30.21621622],1
u1,1,0.001959,9.587968,[ 6 49] ; [43 88],[14.48924731 40.51075269] ; [34.51075269 96.48924731],0
a2,1,0.003499,8.527268,[ 6 49] ; [41 90],[13.89784946 41.10215054] ; [33.10215054 97.89784946],0
a4,1,0.006306,7.460652,[19 36] ; [74 57],[27.5 27.5] ; [65.5 65.5],0
s4,1,0.015489,5.859981,[ 6 49] ; [35 94],[12.25543478 42.74456522] ; [ 28.74456522 100.25543478],0
r4,1,0.023983,5.095872,[48  7] ; [126   5],[51.4516129  3.5483871] ; [122.5483871   8.4516129],0
p3,1,0.03148,4.626612,[31 24] ; [95 36],[37.25806452 17.74193548] ; [88.74193548 42.25806452],0
r2,1,0.046717,3.955542,[51  4] ; [126   2],[53.19672131  1.80327869] ; [123.80327869   4.19672131],0
a8,1,0.052812,3.74985,[14 39] ; [ 17 103],[ 9.49710983 43.50289017] ; [21.50289017 98.49710983],0
a1,1,0.055856,3.656353,[ 1 54] ; [ 13 118],[ 4.13978495 50.86021505] ; [  9.86021505 121.13978495],0
p7,1,0.087986,2.910848,[49  5] ; [103  25],[45.0989011  8.9010989] ; [106.9010989  21.0989011],0
v4,1,0.103204,2.65532,[51  4] ; [128   3],[52.93010753  2.06989247] ; [126.06989247   4.93010753],0
b5,1,0.119144,2.428543,[39 16] ; [77 54],[34.30107527 20.69892473] ; [81.69892473 49.30107527],0
p4,1,0.132063,2.268089,[42 13] ; [112  19],[45.53763441  9.46236559] ; [108.46236559  22.53763441],0
s3,1,0.134195,2.243287,[36 19] ; [99 31],[40.13513514 14.86486486] ; [94.86486486 35.13513514],0
n2,1,0.180503,1.793478,[5 5] ; [17  6],[6.66666667 3.33333333] ; [15.33333333  7.66666667],0
s7,1,0.185748,1.751026,[44  7] ; [100  29],[40.8 10.2] ; [103.2  25.8],0
p5,1,0.214803,1.538757,[15 40] ; [ 25 106],[11.82795699 43.17204301] ; [ 28.17204301 102.82795699],0
a7,1,0.238952,1.386764,[34 20] ; [94 37],[37.36216216 16.63783784] ; [90.63783784 40.36216216],0
p9,1,0.239374,1.384279,[50  5] ; [124   6],[51.72972973  3.27027027] ; [122.27027027   7.72972973],0
p11,1,0.246053,1.345576,[48  7] ; [105  26],[45.24193548  9.75806452] ; [107.75806452  23.24193548],0
s2,1,0.251386,1.315582,[38 17] ; [101  30],[41.10215054 13.89784946] ; [97.89784946 33.10215054],0
r3,1,0.264974,1.242582,[52  3] ; [128   3],[53.22580645  1.77419355] ; [126.77419355   4.22580645],0
v1,1,0.267497,1.22954,[35 20] ; [92 36],[38.16939891 16.83060109] ; [88.83060109 39.16939891],0
n5,1,0.305726,1.049048,[49  6] ; [109  22],[46.72043011  8.27956989] ; [111.27956989  19.72043011],0
n1,1,0.315814,1.006203,[4 6] ; [13  9],[5.3125 4.6875] ; [11.6875 10.3125],0
s5,1,0.337065,0.921564,[24 28] ; [66 56],[26.89655172 25.10344828] ; [63.10344828 58.89655172],0
a6,1,0.353025,0.862552,[32 23] ; [85 45],[34.78378378 20.21621622] ; [82.21621622 47.78378378],0
b2,1,0.417498,0.657347,[20 17] ; [42 49],[17.921875 19.078125] ; [44.078125 46.921875],0
b3,1,0.417498,0.657347,[20 17] ; [42 49],[17.921875 19.078125] ; [44.078125 46.921875],0
r1,1,0.418474,0.654596,[43 12] ; [109  22],[44.94623656 10.05376344] ; [107.05376344  23.94623656],0
b4,1,0.446821,0.578703,[29 26] ; [77 54],[31.34408602 23.65591398] ; [74.65591398 56.34408602],0
s6,1,0.551034,0.355469,[45  9] ; [111  17],[46.28571429  7.71428571] ; [109.71428571  18.28571429],0
p10,1,0.585051,0.29814,[48  7] ; [117  13],[49.05405405  5.94594595] ; [115.94594595  14.05405405],0
p8,1,0.602416,0.271367,[38 17] ; [94 35],[39.45652174 15.54347826] ; [92.54347826 36.45652174],0
p12,1,0.626069,0.237429,[ 7 48] ; [ 20 109],[ 8.07065217 46.92934783] ; [ 18.92934783 110.07065217],0
n4,1,0.665089,0.187401,[47  8] ; [115  16],[47.90322581  7.09677419] ; [114.09677419  16.90322581],0
v2,1,0.693283,0.155554,[35 19] ; [79 49],[33.82417582 20.17582418] ; [80.17582418 47.82417582],0
u3,1,0.741078,0.109181,[15  7] ; [16  6],[15.5  6.5] ; [15.5  6.5],0
u2,1,0.750455,0.101149,[15  7] ; [14  8],[14.5  7.5] ; [14.5  7.5],0
s1,1,0.764768,0.089536,[ 2 53] ; [  6 124],[ 2.37837838 52.62162162] ; [  5.62162162 124.37837838],0
b1,1,0.906791,0.013709,[23 32] ; [56 75],[23.36021505 31.63978495] ; [55.63978495 75.36021505],0
v3,1,0.91929,0.010267,[26 29] ; [59 68],[25.68681319 29.31318681] ; [59.31318681 67.68681319],0
p2,1,0.964413,0.001991,[49  6] ; [117  14],[49.08602151  5.91397849] ; [116.91397849  14.08602151],0
n6,1,0.975988,0.000906,[50  5] ; [118  12],[49.94594595  5.05405405] ; [118.05405405  11.94594595],0
n3,1,0.980074,0.000624,[7 3] ; [16  7],[6.96969697 3.03030303] ; [16.03030303  6.96969697],0
