Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.2e-05,19.186799,[41 16] ; [23 47],[28.72440945 28.27559055] ; [35.27559055 34.72440945],1
a4,1,1.2e-05,19.120515,[26 31] ; [ 8 63],[15.140625 41.859375] ; [18.859375 52.140625],1
d2,1,0.001598,9.962265,[29 28] ; [17 54],[20.484375 36.515625] ; [25.515625 45.484375],0
d1,1,0.003024,8.792948,[28 29] ; [17 54],[20.0390625 36.9609375] ; [24.9609375 46.0390625],0
p4,1,0.003337,8.613547,[30 27] ; [19 51],[21.99212598 35.00787402] ; [27.00787402 42.99212598],0
s6,1,0.012322,6.263883,[33 23] ; [26 45],[26.01574803 29.98425197] ; [32.98425197 38.01574803],0
r4,1,0.013886,6.052536,[46 11] ; [43 28],[39.6328125 17.3671875] ; [49.3671875 21.6328125],0
v1,1,0.017257,5.67,[22 34] ; [14 56],[16. 40.] ; [20. 50.],0
p3,1,0.029523,4.736883,[23 34] ; [16 55],[17.3671875 39.6328125] ; [21.6328125 49.3671875],0
a6,1,0.037328,4.335392,[37 20] ; [33 38],[31.171875 25.828125] ; [38.828125 32.171875],0
d3,1,0.071196,3.25524,[38 19] ; [35 34],[33.02380952 23.97619048] ; [39.97619048 29.02380952],0
d4,1,0.079056,3.084203,[45 12] ; [46 25],[40.5234375 16.4765625] ; [50.4765625 20.5234375],0
r1,1,0.092629,2.828072,[35 22] ; [33 38],[30.28125 26.71875] ; [37.71875 33.28125],0
p7,1,0.09889,2.723356,[33 23] ; [29 37],[28.45901639 27.54098361] ; [33.54098361 32.45901639],0
u1,1,0.103547,2.650046,[ 4 53] ; [ 1 70],[ 2.2265625 54.7734375] ; [ 2.7734375 68.2265625],0
d5,1,0.104873,2.629834,[39 18] ; [38 32],[34.55905512 22.44094488] ; [42.44094488 27.55905512],0
n6,1,0.108018,2.582983,[40 17] ; [40 31],[35.625 21.375] ; [44.375 26.625],0
a8,1,0.136105,2.221454,[ 5 49] ; [ 2 66],[ 3.09836066 50.90163934] ; [ 3.90163934 64.09836066],0
s8,1,0.159872,1.97544,[18 38] ; [15 56],[14.5511811 41.4488189] ; [18.4488189 52.5511811],0
s5,1,0.174074,1.847507,[18 38] ; [15 55],[14.66666667 41.33333333] ; [18.33333333 51.66666667],0
s2,1,0.225325,1.470131,[24 32] ; [23 48],[20.72440945 35.27559055] ; [26.27559055 44.72440945],0
p9,1,0.260219,1.267593,[41 15] ; [44 25],[38.08 17.92] ; [46.92 22.08],0
a1,1,0.263798,1.248716,[ 4 53] ; [ 2 69],[ 2.671875 54.328125] ; [ 3.328125 67.671875],0
p8,1,0.28008,1.1667,[25 31] ; [25 46],[22.04724409 33.95275591] ; [27.95275591 43.04724409],0
p10,1,0.317108,1.000836,[38 19] ; [40 29],[35.28571429 21.71428571] ; [42.71428571 26.28571429],0
p11,1,0.347566,0.882324,[36 21] ; [39 32],[33.3984375 23.6015625] ; [41.6015625 29.3984375],0
s4,1,0.348756,0.877977,[17 40] ; [16 55],[14.6953125 42.3046875] ; [18.3046875 52.6953125],0
n5,1,0.398481,0.712906,[22 35] ; [22 48],[19.7480315 37.2519685] ; [24.2519685 45.7480315],0
p5,1,0.433048,0.614634,[ 2 54] ; [ 1 69],[ 1.33333333 54.66666667] ; [ 1.66666667 68.33333333],0
p1,1,0.504196,0.446094,[ 5 52] ; [ 4 66],[ 4.03937008 52.96062992] ; [ 4.96062992 65.03937008],0
s7,1,0.527841,0.398547,[15 36] ; [17 53],[13.48760331 37.51239669] ; [18.51239669 51.48760331],0
p6,1,0.565942,0.329519,[14 43] ; [14 55],[12.66666667 44.33333333] ; [15.33333333 53.66666667],0
n1,1,0.572251,0.31893,[ 8 17] ; [ 7 21],[ 7.0754717 17.9245283] ; [ 7.9245283 20.0754717],0
b3,1,0.574741,0.314815,[ 9 23] ; [ 8 28],[ 8. 24.] ; [ 9. 27.],0
b2,1,0.574741,0.314815,[ 9 23] ; [ 8 28],[ 8. 24.] ; [ 9. 27.],0
v4,1,0.581081,0.30449,[50  7] ; [59 11],[48.92125984  8.07874016] ; [60.07874016  9.92125984],0
b1,1,0.58803,0.293431,[26 31] ; [29 42],[24.4921875 32.5078125] ; [30.5078125 40.4921875],0
a7,1,0.591969,0.28728,[34 23] ; [45 25],[35.45669291 21.54330709] ; [43.54330709 26.45669291],0
r2,1,0.611327,0.258247,[47 10] ; [56 15],[45.8671875 11.1328125] ; [57.1328125 13.8671875],0
b4,1,0.647946,0.208499,[29 28] ; [39 32],[30.28125 26.71875] ; [37.71875 33.28125],0
b5,1,0.666016,0.186298,[34 23] ; [45 26],[35.1796875 21.8203125] ; [43.8203125 27.1796875],0
r3,1,0.707183,0.141107,[48  9] ; [58 13],[47.203125  9.796875] ; [58.796875 12.203125],0
n2,1,0.77562,0.081243,[17  8] ; [18 10],[16.50943396  8.49056604] ; [18.49056604  9.50943396],0
v3,1,0.793845,0.068289,[ 5 52] ; [ 7 62],[ 5.42857143 51.57142857] ; [ 6.57142857 62.42857143],0
u3,1,0.815529,0.054429,[9 7] ; [28 19],[9.3968254 6.6031746] ; [27.6031746 19.3968254],0
p2,1,0.845468,0.037988,[40 17] ; [48 22],[39.49606299 17.50393701] ; [48.50393701 21.49606299],0
s1,1,0.926967,0.008402,[ 3 54] ; [ 4 67],[ 3.1171875 53.8828125] ; [ 3.8828125 67.1171875],0
u2,1,0.948396,0.004189,[9 7] ; [26 21],[8.88888889 7.11111111] ; [26.11111111 20.88888889],0
n3,1,0.982725,0.000469,[16  9] ; [18 10],[16.03773585  8.96226415] ; [17.96226415 10.03773585],0
s3,1,0.986532,0.000285,[24 33] ; [30 41],[24.046875 32.953125] ; [29.953125 41.046875],0
