Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-06,23.860722,[20  4] ; [12 39],[10.24 13.76] ; [21.76 29.24],1
d5,1,2e-06,22.919695,[24  1] ; [19 31],[14.33333333 10.66666667] ; [28.66666667 21.33333333],1
d3,1,7e-06,20.298733,[22  3] ; [16 33],[12.83783784 12.16216216] ; [25.16216216 23.83783784],1
a5,1,8e-06,20.052078,[21  4] ; [15 36],[11.84210526 13.15789474] ; [24.15789474 26.84210526],1
d4,1,2.5e-05,17.776684,[23  2] ; [21 30],[14.47368421 10.52631579] ; [29.52631579 21.47368421],1
a4,1,0.000103,15.088397,[15  9] ; [ 9 42],[ 7.68 16.32] ; [16.32 34.68],1
a3,1,0.000173,14.109175,[20  5] ; [17 33],[12.33333333 12.66666667] ; [24.66666667 25.33333333],1
a2,1,0.002271,9.316716,[ 7 18] ; [ 2 49],[ 2.96052632 22.03947368] ; [ 6.03947368 44.96052632],0
u1,1,0.020369,5.379986,[ 4 21] ; [ 1 50],[ 1.64473684 23.35526316] ; [ 3.35526316 47.64473684],0
p1,1,0.022765,5.186376,[ 5 20] ; [ 2 49],[ 2.30263158 22.69736842] ; [ 4.69736842 46.30263158],0
p2,1,0.121395,2.399226,[ 9 16] ; [28 23],[12.17105263 12.82894737] ; [24.82894737 26.17105263],0
b3,1,0.139649,2.181818,[9 6] ; [ 9 16],[6.75 8.25] ; [11.25 13.75],0
b2,1,0.139649,2.181818,[9 6] ; [ 9 16],[6.75 8.25] ; [11.25 13.75],0
v3,1,0.149127,2.081158,[ 3 21] ; [14 37],[ 5.44 18.56] ; [11.56 39.44],0
s4,1,0.158316,1.990236,[ 8 17] ; [ 9 42],[ 5.59210526 19.40789474] ; [11.40789474 39.59210526],0
n6,1,0.211571,1.560642,[17  8] ; [27 24],[14.47368421 10.52631579] ; [29.52631579 21.47368421],0
s8,1,0.216665,1.526322,[ 5 20] ; [ 5 46],[ 3.28947368 21.71052632] ; [ 6.71052632 44.28947368],0
p3,1,0.21828,1.515643,[10 14] ; [14 37],[ 7.68 16.32] ; [16.32 34.68],0
p8,1,0.249343,1.326983,[ 3 21] ; [12 38],[ 4.86486486 19.13513514] ; [10.13513514 39.86486486],0
v2,1,0.275234,1.190476,[ 9 16] ; [12 38],[ 7. 18.] ; [14. 36.],0
r2,1,0.315682,1.006755,[18  4] ; [36 15],[16.2739726  5.7260274] ; [37.7260274 13.2739726],0
n5,1,0.372611,0.794938,[12 13] ; [30 21],[13.81578947 11.18421053] ; [28.18421053 22.81578947],0
v1,1,0.375962,0.783863,[ 6 19] ; [17 33],[ 7.66666667 17.33333333] ; [15.33333333 34.66666667],0
s7,1,0.39529,0.722608,[ 6 16] ; [ 9 40],[ 4.64788732 17.35211268] ; [10.35211268 38.64788732],0
s5,1,0.405663,0.691477,[ 6 15] ; [10 41],[ 4.66666667 16.33333333] ; [11.33333333 39.66666667],0
a7,1,0.414175,0.666785,[14 11] ; [23 27],[12.33333333 12.66666667] ; [24.66666667 25.33333333],0
r3,1,0.43909,0.598659,[17  8] ; [30 21],[15.46052632  9.53947368] ; [31.53947368 19.46052632],0
s1,1,0.454401,0.559651,[ 2 23] ; [ 2 49],[ 1.31578947 23.68421053] ; [ 2.68421053 48.31578947],0
n4,1,0.458584,0.549348,[15 10] ; [26 25],[13.48684211 11.51315789] ; [27.51315789 23.48684211],0
a6,1,0.463899,0.536471,[14 11] ; [24 27],[12.5 12.5] ; [25.5 25.5],0
u2,1,0.472301,0.516587,[1 4] ; [12 21],[1.71052632 3.28947368] ; [11.28947368 21.71052632],0
n1,1,0.517613,0.418647,[ 4 10] ; [6 9],[4.82758621 9.17241379] ; [5.17241379 9.82758621],0
p6,1,0.551576,0.354502,[ 5 18] ; [ 8 42],[ 4.09589041 18.90410959] ; [ 8.90410959 41.09589041],0
p7,1,0.551945,0.353844,[ 9 16] ; [22 29],[10.19736842 14.80263158] ; [20.80263158 30.19736842],0
n3,1,0.572645,0.318277,[6 8] ; [8 7],[6.75862069 7.24137931] ; [7.24137931 7.75862069],0
n2,1,0.588439,0.292788,[7 7] ; [9 6],[7.72413793 6.27586207] ; [8.27586207 6.72413793],0
a1,1,0.61535,0.252457,[ 2 23] ; [ 6 45],[ 2.63157895 22.36842105] ; [ 5.36842105 45.63157895],0
s2,1,0.638389,0.220855,[ 7 18] ; [17 34],[ 7.89473684 17.10526316] ; [16.10526316 34.89473684],0
p10,1,0.653816,0.201123,[10 15] ; [17 32],[ 9.12162162 15.87837838] ; [17.87837838 31.12162162],0
p4,1,0.72357,0.125098,[ 9 15] ; [17 34],[ 8.32 15.68] ; [17.68 33.32],0
u3,1,0.734849,0.114706,[2 3] ; [11 23],[1.66666667 3.33333333] ; [11.33333333 22.66666667],0
a8,1,0.778788,0.078904,[ 2 23] ; [ 3 45],[ 1.71232877 23.28767123] ; [ 3.28767123 44.71232877],0
b1,1,0.794662,0.067736,[15 10] ; [29 22],[14.47368421 10.52631579] ; [29.52631579 21.47368421],0
p9,1,0.798997,0.064845,[12 12] ; [25 22],[12.50704225 11.49295775] ; [24.49295775 22.50704225],0
b4,1,0.801538,0.06318,[11 14] ; [24 27],[11.51315789 13.48684211] ; [23.48684211 27.51315789],0
s6,1,0.941472,0.00539,[ 7 17] ; [15 35],[ 7.13513514 16.86486486] ; [14.86486486 35.13513514],0
r4,1,0.947599,0.004319,[10 15] ; [20 31],[ 9.86842105 15.13157895] ; [20.13157895 30.86842105],0
b5,1,0.947599,0.004319,[15 10] ; [31 20],[15.13157895  9.86842105] ; [30.86842105 20.13157895],0
v4,1,0.955909,0.003057,[17  8] ; [35 16],[17.10526316  7.89473684] ; [34.89473684 16.10526316],0
s3,1,0.966884,0.001724,[ 9 15] ; [19 31],[ 9.08108108 14.91891892] ; [18.91891892 31.08108108],0
p5,1,1.0,0.0,[ 1 24] ; [ 2 48],[ 1. 24.] ; [ 2. 48.],0
