Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.001376,10.237232,[6 4] ; [ 4 30],[2.27272727 7.72727273] ; [ 7.72727273 26.27272727],0
b2,1,0.001376,10.237232,[6 4] ; [ 4 30],[2.27272727 7.72727273] ; [ 7.72727273 26.27272727],0
u1,1,0.003326,8.619395,[7 9] ; [ 8 58],[ 2.92682927 13.07317073] ; [12.07317073 53.92682927],0
a4,1,0.005208,7.805665,[12  4] ; [24 42],[7.02439024 8.97560976] ; [28.97560976 37.02439024],0
a2,1,0.006393,7.436015,[7 9] ; [ 9 57],[ 3.12195122 12.87804878] ; [12.87804878 53.12195122],0
n5,1,0.007428,7.166512,[ 4 12] ; [41 25],[8.7804878 7.2195122] ; [36.2195122 29.7804878],0
p1,1,0.008616,6.900779,[ 4 12] ; [ 3 63],[ 1.36585366 14.63414634] ; [ 5.63414634 60.36585366],0
s7,1,0.013264,6.133583,[12  4] ; [25 37],[7.58974359 8.41025641] ; [29.41025641 32.58974359],0
s5,1,0.01418,6.015579,[10  3] ; [25 38],[5.98684211 7.01315789] ; [29.01315789 33.98684211],0
d1,1,0.01935,5.469625,[12  4] ; [28 38],[7.80487805 8.19512195] ; [32.19512195 33.80487805],0
p7,1,0.026026,4.954266,[10  6] ; [21 44],[6.12345679 9.87654321] ; [24.87654321 40.12345679],0
n6,1,0.029655,4.729152,[9 7] ; [54 12],[12.29268293  3.70731707] ; [50.70731707 15.29268293],0
s8,1,0.031898,4.603958,[10  6] ; [22 44],[6.24390244 9.75609756] ; [25.75609756 40.24390244],0
p4,1,0.031898,4.603958,[10  6] ; [22 44],[6.24390244 9.75609756] ; [25.75609756 40.24390244],0
d2,1,0.034256,4.481868,[11  5] ; [26 40],[7.2195122 8.7804878] ; [29.7804878 36.2195122],0
d4,1,0.059647,3.547171,[15  1] ; [47 19],[12.09756098  3.90243902] ; [49.90243902 16.09756098],0
a6,1,0.063869,3.433944,[13  3] ; [37 29],[9.75609756 6.24390244] ; [40.24390244 25.75609756],0
b5,1,0.06572,3.386801,[14  2] ; [42 24],[10.92682927  5.07317073] ; [45.07317073 20.92682927],0
n1,1,0.084382,2.978422,[3 2] ; [ 6 21],[1.40625 3.59375] ; [ 7.59375 19.40625],0
p3,1,0.105277,2.623732,[8 8] ; [19 47],[ 5.26829268 10.73170732] ; [21.73170732 44.26829268],0
a3,1,0.149321,2.079178,[14  2] ; [46 20],[11.70731707  4.29268293] ; [48.29268293 17.70731707],0
d3,1,0.151809,2.05398,[13  2] ; [45 21],[10.74074074  4.25925926] ; [47.25925926 18.74074074],0
r1,1,0.198985,1.649809,[9 7] ; [48 18],[11.12195122  4.87804878] ; [45.87804878 20.12195122],0
a5,1,0.214425,1.541297,[13  3] ; [43 23],[10.92682927  5.07317073] ; [45.07317073 20.92682927],0
d5,1,0.21761,1.520065,[13  2] ; [47 19],[11.11111111  3.88888889] ; [48.88888889 17.11111111],0
p11,1,0.267289,1.230608,[7 9] ; [39 27],[8.97560976 7.02439024] ; [37.02439024 28.97560976],0
p5,1,0.270679,1.213305,[ 1 15] ; [ 1 65],[ 0.3902439 15.6097561] ; [ 1.6097561 64.3902439],0
a7,1,0.312926,1.018286,[12  3] ; [44 22],[10.37037037  4.62962963] ; [45.62962963 20.37037037],0
s2,1,0.407926,0.684836,[12  4] ; [41 23],[10.6  5.4] ; [42.4 21.6],0
r3,1,0.417921,0.656155,[15  1] ; [57  9],[14.04878049  1.95121951] ; [57.95121951  8.04878049],0
p2,1,0.477342,0.504929,[11  5] ; [39 27],[9.75609756 6.24390244] ; [40.24390244 25.75609756],0
s6,1,0.497044,0.461243,[11  5] ; [50 15],[12.04938272  3.95061728] ; [48.95061728 16.04938272],0
p10,1,0.497162,0.46099,[12  4] ; [43 22],[10.86419753  5.13580247] ; [44.13580247 20.86419753],0
n4,1,0.509528,0.435037,[8 8] ; [39 27],[9.17073171 6.82926829] ; [37.82926829 28.17073171],0
n2,1,0.554628,0.349091,[4 1] ; [18  9],[3.4375 1.5625] ; [18.5625  8.4375],0
v2,1,0.575255,0.313969,[8 7] ; [29 35],[7.02531646 7.97468354] ; [29.97468354 34.02531646],0
v1,1,0.584624,0.298818,[7 9] ; [24 42],[6.04878049 9.95121951] ; [24.95121951 41.04878049],0
r4,1,0.587897,0.29364,[14  2] ; [54 12],[13.26829268  2.73170732] ; [54.73170732 11.26829268],0
v3,1,0.619796,0.246154,[ 3 12] ; [17 48],[ 3.75 11.25] ; [16.25 48.75],0
s3,1,0.63307,0.22792,[10  6] ; [44 20],[10.8  5.2] ; [43.2 20.8],0
n3,1,0.66,0.193523,[4 1] ; [19  8],[3.59375 1.40625] ; [19.40625  7.59375],0
b1,1,0.66438,0.188246,[ 6 10] ; [21 45],[ 5.26829268 10.73170732] ; [21.73170732 44.26829268],0
v4,1,0.703855,0.144493,[15  1] ; [59  6],[14.61728395  1.38271605] ; [59.38271605  5.61728395],0
b4,1,0.802995,0.062236,[10  6] ; [39 27],[9.56097561 6.43902439] ; [39.43902439 26.56097561],0
