Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,97.084741,[227   9] ; [13 20],[210.55762082  25.44237918] ; [29.44237918  3.55762082],1
n5,1,0.0,31.940399,[203  32] ; [15 18],[191.15671642  43.84328358] ; [26.84328358  6.15671642],1
p11,1,0.0,31.783165,[217  19] ; [19 14],[207.04832714  28.95167286] ; [28.95167286  4.04832714],1
n6,1,6.2e-05,16.043415,[211  21] ; [22 11],[203.98490566  28.01509434] ; [29.01509434  3.98490566],1
n4,1,0.000335,12.86385,[198  38] ; [19 14],[190.37918216  45.62081784] ; [26.62081784  6.37918216],1
s5,1,0.002765,8.956709,[101 127] ; [ 5 26],[ 93.31274131 134.68725869] ; [12.68725869 18.31274131],0
p3,1,0.003167,8.708466,[167  68] ; [15 18],[159.58955224  75.41044776] ; [22.41044776 10.58955224],0
p5,1,0.019673,5.44066,[ 46 190] ; [ 1 32],[ 41.23420074 194.76579926] ; [ 5.76579926 27.23420074],0
b4,1,0.020001,5.411803,[136 100] ; [26  7],[142.12639405  93.87360595] ; [19.87360595 13.12639405],0
u3,1,0.02191,5.252899,[32 20] ; [3 9],[28.4375 23.5625] ; [6.5625 5.4375],0
p7,1,0.023004,5.168208,[199  34] ; [23 10],[194.45864662  38.54135338] ; [27.54135338  5.45864662],0
v1,1,0.039548,4.237175,[168  65] ; [18 15],[162.92481203  70.07518797] ; [23.07518797  9.92481203],0
v3,1,0.041869,4.140473,[148  83] ; [14 17],[142.83206107  88.16793893] ; [19.16793893 11.83206107],0
a3,1,0.0629,3.459231,[184  51] ; [21 12],[179.75746269  55.24253731] ; [25.24253731  7.75746269],0
b5,1,0.063726,3.437653,[124 112] ; [23 10],[128.96654275 107.03345725] ; [18.03345725 14.96654275],0
p12,1,0.068833,3.310624,[ 34 202] ; [ 1 32],[ 30.7063197 205.2936803] ; [ 4.2936803 28.7063197],0
r4,1,0.08023,3.060227,[225  11] ; [29  4],[222.8401487  13.1598513] ; [31.1598513  1.8401487],0
s7,1,0.08263,3.012391,[127  96] ; [13 19],[122.43137255 100.56862745] ; [17.56862745 14.43137255],0
n1,1,0.08827,2.905637,[12 21] ; [5 2],[14.025 18.975] ; [2.975 4.025],0
p2,1,0.096451,2.763273,[215  21] ; [27  6],[212.31226766  23.68773234] ; [29.68773234  3.31226766],0
s6,1,0.121247,2.401143,[160  69] ; [18 14],[156.17624521  72.82375479] ; [21.82375479 10.17624521],0
d1,1,0.145683,2.11688,[159  77] ; [18 15],[155.28624535  80.71375465] ; [21.71375465 11.28624535],0
a5,1,0.170894,1.875085,[195  41] ; [24  9],[192.133829  43.866171] ; [26.866171  6.133829],0
b3,1,0.179113,1.804965,[61 83] ; [ 6 16],[58.12048193 85.87951807] ; [ 8.87951807 13.12048193],0
b2,1,0.179113,1.804965,[61 83] ; [ 6 16],[58.12048193 85.87951807] ; [ 8.87951807 13.12048193],0
s8,1,0.18854,1.728991,[123 109] ; [13 19],[119.51515152 112.48484848] ; [16.48484848 15.51515152],0
v4,1,0.188563,1.728809,[228   5] ; [31  2],[226.86842105   6.13157895] ; [32.13157895  0.86842105],0
b1,1,0.21118,1.563318,[ 81 155] ; [15 18],[ 84.22304833 151.77695167] ; [11.77695167 21.22304833],0
d4,1,0.216149,1.529757,[204  31] ; [26  7],[201.67910448  33.32089552] ; [28.32089552  4.67910448],0
s2,1,0.254311,1.299467,[128 107] ; [14 18],[124.98127341 110.01872659] ; [17.01872659 14.98127341],0
s4,1,0.263006,1.252866,[ 31 204] ; [ 2 30],[ 29.04494382 205.95505618] ; [ 3.95505618 28.04494382],0
d2,1,0.265659,1.239023,[124 111] ; [14 19],[121.00746269 113.99253731] ; [16.99253731 16.00746269],0
p4,1,0.275789,1.187723,[183  51] ; [23 10],[180.53932584  53.46067416] ; [25.46067416  7.53932584],0
p1,1,0.290872,1.11558,[ 29 206] ; [ 2 31],[ 27.18283582 207.81716418] ; [ 3.81716418 29.18283582],0
s3,1,0.295382,1.094929,[136  98] ; [16 17],[133.21348315 100.78651685] ; [18.78651685 14.21348315],0
u2,1,0.314787,1.010484,[30 22] ; [5 7],[28.4375 23.5625] ; [6.5625 5.4375],0
u4,1,0.354489,0.857323,[  7 229] ; [ 2 31],[  7.89591078 228.10408922] ; [ 1.10408922 31.89591078],0
r1,1,0.392917,0.729896,[205  30] ; [27  6],[203.43283582  31.56716418] ; [28.56716418  4.43283582],0
a1,1,0.449314,0.572381,[ 15 221] ; [ 1 32],[ 14.03717472 221.96282528] ; [ 1.96282528 31.03717472],0
n3,1,0.471063,0.519481,[24  9] ; [6 1],[24.75  8.25] ; [5.25 1.75],0
a4,1,0.506696,0.440884,[107 128] ; [13 20],[105.2238806 129.7761194] ; [14.7761194 18.2238806],0
d5,1,0.51017,0.433719,[196  39] ; [26  7],[194.6641791  40.3358209] ; [27.3358209  5.6641791],0
a6,1,0.579978,0.30627,[159  75] ; [24  9],[160.38202247  73.61797753] ; [22.61797753 10.38202247],0
r2,1,0.650941,0.204716,[222  10] ; [31  2],[221.49433962  10.50566038] ; [31.50566038  1.49433962],0
a2,1,0.696414,0.15223,[ 57 179] ; [ 9 24],[ 57.90334572 178.09665428] ; [ 8.09665428 24.90334572],0
d3,1,0.716565,0.131808,[171  64] ; [25  8],[171.86567164  63.13432836] ; [24.13432836  8.86567164],0
