Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000322,12.935165,[52 40] ; [ 4 21],[44.03418803 47.96581197] ; [11.96581197 13.03418803],1
p4,1,0.001553,10.014404,[56 38] ; [ 6 19],[48.97478992 45.02521008] ; [13.02521008 11.97478992],0
v4,1,0.016379,5.761704,[90  3] ; [21  4],[87.48305085  5.51694915] ; [23.51694915  1.48305085],0
r2,1,0.019766,5.432417,[88  5] ; [20  5],[85.11864407  7.88135593] ; [22.88135593  2.11864407],0
d5,1,0.032392,4.577645,[69 24] ; [13 12],[64.62711864 28.37288136] ; [17.37288136  7.62711864],0
s1,1,0.033921,4.498658,[ 4 88] ; [ 4 20],[ 6.34482759 85.65517241] ; [ 1.65517241 22.34482759],0
p3,1,0.038755,4.271561,[40 54] ; [ 5 20],[35.54621849 58.45378151] ; [ 9.45378151 15.54621849],0
a6,1,0.039808,4.226054,[48 46] ; [ 7 18],[43.44537815 50.55462185] ; [11.55462185 13.44537815],0
s7,1,0.060558,3.522035,[56 33] ; [ 9 13],[52.11711712 36.88288288] ; [12.88288288  9.11711712],0
d3,1,0.068628,3.315543,[63 30] ; [12 13],[59.11016949 33.88983051] ; [15.88983051  9.11016949],0
p6,1,0.078463,3.09646,[37 55] ; [ 5 19],[33.31034483 58.68965517] ; [ 8.68965517 15.31034483],0
p10,1,0.085978,2.94812,[76 16] ; [16  8],[72.96551724 19.03448276] ; [19.03448276  4.96551724],0
p9,1,0.09544,2.780132,[74 17] ; [15  8],[71.04385965 19.95614035] ; [17.95614035  5.04385965],0
d1,1,0.108995,2.56873,[39 55] ; [ 6 19],[35.54621849 58.45378151] ; [ 9.45378151 15.54621849],0
b5,1,0.108995,2.56873,[55 39] ; [19  6],[58.45378151 35.54621849] ; [15.54621849  9.45378151],0
s5,1,0.111566,2.5319,[36 55] ; [ 5 18],[32.72807018 58.27192982] ; [ 8.27192982 14.72807018],0
a7,1,0.165367,1.924452,[65 27] ; [14 11],[62.11965812 29.88034188] ; [16.88034188  8.11965812],0
n2,1,0.17072,1.876612,[19  3] ; [3 2],[17.92592593  4.07407407] ; [4.07407407 0.92592593],0
s6,1,0.188608,1.728457,[77 16] ; [17  7],[74.71794872 18.28205128] ; [19.28205128  4.71794872],0
d4,1,0.211054,1.564181,[75 19] ; [17  8],[72.67226891 21.32773109] ; [19.32773109  5.67226891],0
n6,1,0.221486,1.494715,[74 19] ; [17  8],[71.72033898 21.27966102] ; [19.27966102  5.72033898],0
n5,1,0.247772,1.335822,[71 23] ; [16  9],[68.72268908 25.27731092] ; [18.27731092  6.72268908],0
s8,1,0.281074,1.161891,[49 45] ; [10 15],[46.60504202 47.39495798] ; [12.39495798 12.60504202],0
p7,1,0.31089,1.026889,[61 29] ; [13 10],[58.9380531 31.0619469] ; [15.0619469  7.9380531],0
u3,1,0.365758,0.818025,[33 16] ; [7 6],[31.61290323 17.38709677] ; [8.38709677 4.61290323],0
p1,1,0.425641,0.634688,[13 80] ; [ 2 23],[11.8220339 81.1779661] ; [ 3.1779661 21.8220339],0
s3,1,0.43507,0.60925,[81 13] ; [23  2],[82.1512605 11.8487395] ; [21.8487395  3.1512605],0
n3,1,0.438058,0.601364,[13  9] ; [2 3],[12.22222222  9.77777778] ; [2.77777778 2.22222222],0
u2,1,0.475556,0.509038,[28 20] ; [9 4],[29.1147541 18.8852459] ; [7.8852459 5.1147541],0
v3,1,0.475762,0.508563,[29 60] ; [ 6 18],[27.56637168 61.43362832] ; [ 7.43362832 16.56637168],0
a8,1,0.522908,0.408153,[11 76] ; [ 2 23],[10.09821429 76.90178571] ; [ 2.90178571 22.09821429],0
r4,1,0.535585,0.383785,[80 14] ; [20  5],[78.99159664 15.00840336] ; [21.00840336  3.99159664],0
v1,1,0.537499,0.380194,[41 50] ; [13 12],[42.36206897 48.63793103] ; [11.63793103 13.36206897],0
d2,1,0.553239,0.351547,[21 73] ; [ 7 18],[22.11764706 71.88235294] ; [ 5.88235294 19.11764706],0
n4,1,0.579589,0.306899,[62 32] ; [15 10],[60.82352941 33.17647059] ; [16.17647059  8.82352941],0
r1,1,0.63916,0.219843,[67 27] ; [19  6],[67.93277311 26.06722689] ; [18.06722689  6.93277311],0
p12,1,0.681635,0.168291,[ 6 88] ; [ 1 23],[ 5.57627119 88.42372881] ; [ 1.42372881 22.57627119],0
p11,1,0.707025,0.141266,[64 30] ; [18  7],[64.77310924 29.22689076] ; [17.22689076  7.77310924],0
a4,1,0.72842,0.120567,[16 78] ; [ 5 20],[16.58823529 77.41176471] ; [ 4.41176471 20.58823529],0
