Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,62.202116,[33 53] ; [95  8],[58.24338624 27.75661376] ; [69.75661376 33.24338624],1
d5,1,0.0,55.910378,[43 43] ; [99  3],[64.95744681 21.04255319] ; [77.04255319 24.95744681],1
d2,1,0.0,52.691505,[15 72] ; [72 31],[39.83684211 47.16315789] ; [47.16315789 55.83684211],1
d4,1,0.0,38.948881,[53 34] ; [99  3],[69.96825397 17.03174603] ; [82.03174603 19.96825397],1
u1,1,0.0,29.078991,[ 1 86] ; [32 72],[15.03141361 71.96858639] ; [17.96858639 86.03141361],1
a4,1,0.0,26.449314,[22 65] ; [65 39],[39.62827225 47.37172775] ; [47.37172775 56.62827225],1
a2,1,2e-06,22.337025,[ 6 81] ; [37 67],[19.58638743 67.41361257] ; [23.41361257 80.58638743],1
a5,1,2.1e-05,18.131884,[43 44] ; [82 22],[56.93717277 30.06282723] ; [68.06282723 35.93717277],1
r1,1,0.000533,11.995391,[55 31] ; [89 15],[65.17894737 20.82105263] ; [78.82105263 25.17894737],1
a3,1,0.001438,10.15653,[51 36] ; [83 21],[61.03664921 25.96335079] ; [72.96335079 31.03664921],0
r4,1,0.001492,10.088618,[70 17] ; [99  5],[76.97905759 10.02094241] ; [92.02094241 11.97905759],0
s8,1,0.002313,9.282855,[36 51] ; [66 38],[46.46073298 40.53926702] ; [55.53926702 48.46073298],0
p3,1,0.00373,8.410858,[34 53] ; [62 41],[43.95789474 43.04210526] ; [52.04210526 50.95789474],0
s7,1,0.010845,6.490608,[45 38] ; [71 27],[53.19337017 29.80662983] ; [62.80662983 35.19337017],0
p6,1,0.016791,5.718129,[27 60] ; [50 54],[35.07329843 51.92670157] ; [41.92670157 62.07329843],0
r3,1,0.019577,5.449205,[77 10] ; [100   3],[81.04736842  5.95263158] ; [95.95263158  7.04736842],0
p4,1,0.022736,5.188583,[49 38] ; [75 29],[56.48167539 30.51832461] ; [67.51832461 36.48167539],0
n5,1,0.026247,4.939667,[58 29] ; [84 20],[64.68062827 22.31937173] ; [77.31937173 26.68062827],0
s6,1,0.03818,4.296967,[68 19] ; [91 11],[73.19047619 13.80952381] ; [85.80952381 16.19047619],0
n2,1,0.042522,4.114286,[18  2] ; [18 10],[15.  5.] ; [21.  7.],0
u3,1,0.042757,4.104977,[21 14] ; [18  3],[24.375 10.625] ; [14.625  6.375],0
s3,1,0.043414,4.079227,[70 16] ; [95  9],[74.68421053 11.31578947] ; [90.31578947 13.68421053],0
u2,1,0.043776,4.065185,[19 16] ; [17  4],[22.5 12.5] ; [13.5  7.5],0
v4,1,0.044662,4.031348,[79  7] ; [102   2],[81.92631579  4.07368421] ; [99.07368421  4.92631579],0
n4,1,0.053077,3.7415,[59 27] ; [84 20],[64.72631579 21.27368421] ; [78.27368421 25.72631579],0
a6,1,0.095206,2.784071,[48 39] ; [69 34],[53.57368421 33.42631579] ; [63.42631579 39.57368421],0
n6,1,0.117508,2.450223,[68 18] ; [91 13],[71.96842105 14.03157895] ; [87.03157895 16.96842105],0
b3,1,0.146042,2.113117,[14 36] ; [29 42],[17.76859504 32.23140496] ; [25.23140496 45.76859504],0
b2,1,0.146042,2.113117,[14 36] ; [29 42],[17.76859504 32.23140496] ; [25.23140496 45.76859504],0
p11,1,0.165927,1.919365,[61 26] ; [82 22],[65.13612565 21.86387435] ; [77.86387435 26.13612565],0
p8,1,0.169497,1.887389,[39 48] ; [57 47],[43.72774869 43.27225131] ; [52.27225131 51.72774869],0
b5,1,0.170458,1.878912,[57 30] ; [58 46],[52.38219895 34.61780105] ; [62.61780105 41.38219895],0
p5,1,0.171475,1.87,[ 9 76] ; [18 84],[12.27272727 72.72727273] ; [14.72727273 87.27272727],0
p12,1,0.267658,1.22871,[ 4 83] ; [ 9 95],[ 5.92146597 81.07853403] ; [ 7.07853403 96.92146597],0
s5,1,0.286823,1.134476,[35 50] ; [49 51],[38.59459459 46.40540541] ; [45.40540541 54.59459459],0
p2,1,0.327187,0.959998,[69 17] ; [89 15],[71.51578947 14.48421053] ; [86.48421053 17.51578947],0
a8,1,0.362878,0.827909,[13 69] ; [11 87],[10.93333333 71.06666667] ; [13.06666667 84.93333333],0
n3,1,0.364346,0.822857,[11  9] ; [19  9],[12.5  7.5] ; [17.5 10.5],0
p10,1,0.395086,0.72323,[67 18] ; [87 17],[69.25925926 15.74074074] ; [84.74074074 19.25925926],0
u4,1,0.404256,0.69563,[ 1 86] ; [  3 101],[ 1.82198953 85.17801047] ; [  2.17801047 101.82198953],0
s4,1,0.452981,0.563183,[24 61] ; [34 68],[26.36363636 58.63636364] ; [31.63636364 70.36363636],0
p7,1,0.463451,0.537548,[54 29] ; [61 41],[51.59459459 31.40540541] ; [63.40540541 38.59459459],0
a1,1,0.528576,0.397128,[ 4 83] ; [ 7 97],[ 5.0104712 81.9895288] ; [ 5.9895288 98.0104712],0
a7,1,0.580243,0.305841,[58 28] ; [74 30],[59.74736842 26.25263158] ; [72.25263158 31.74736842],0
n1,1,0.658036,0.195918,[ 8 12] ; [13 15],[ 8.75 11.25] ; [12.25 15.75],0
s1,1,0.672704,0.178456,[ 8 77] ; [ 8 96],[ 7.1957672 77.8042328] ; [ 8.8042328 95.1957672],0
p9,1,0.676053,0.174603,[70 15] ; [88 16],[71.05820106 13.94179894] ; [86.94179894 17.05820106],0
b4,1,0.772166,0.083835,[47 40] ; [54 50],[46.0052356 40.9947644] ; [54.9947644 49.0052356],0
b1,1,0.789418,0.071324,[41 46] ; [47 57],[40.08376963 46.91623037] ; [47.91623037 56.08376963],0
p1,1,0.791012,0.070223,[ 8 77] ; [11 93],[ 8.54497354 76.45502646] ; [10.45502646 93.54497354],0
v3,1,0.859471,0.031346,[18 68] ; [22 78],[18.49462366 67.50537634] ; [21.50537634 78.49462366],0
v1,1,0.997452,1e-05,[37 49] ; [43 57],[36.98924731 49.01075269] ; [43.01075269 56.98924731],0
