Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,27.537909,[137  20] ; [15 17],[126.26455026  30.73544974] ; [25.73544974  6.26455026],1
p9,1,9.4e-05,15.244719,[135  22] ; [18 14],[127.0952381  29.9047619] ; [25.9047619  6.0952381],1
d1,1,0.000236,13.516561,[95 62] ; [ 8 24],[85.56084656 71.43915344] ; [17.43915344 14.56084656],1
d3,1,0.000238,13.500727,[108  49] ; [11 21],[98.85185185 58.14814815] ; [20.14814815 11.85185185],1
s1,1,0.001748,9.79737,[  1 156] ; [ 3 29],[  3.32275132 153.67724868] ; [ 0.67724868 31.32275132],0
p10,1,0.003326,8.619211,[129  27] ; [19 13],[122.80851064  33.19148936] ; [25.19148936  6.80851064],0
v4,1,0.003769,8.39193,[149   7] ; [26  6],[145.21276596  10.78723404] ; [29.78723404  2.21276596],0
a2,1,0.006125,7.513035,[ 39 118] ; [ 1 31],[ 33.22751323 123.77248677] ; [ 6.77248677 25.22751323],0
d4,1,0.00814,7.002325,[127  30] ; [19 13],[121.28042328  35.71957672] ; [24.71957672  7.28042328],0
p4,1,0.008871,6.848537,[123  34] ; [18 14],[117.12698413  39.87301587] ; [23.87301587  8.12698413],0
d2,1,0.014752,5.945798,[78 79] ; [ 8 23],[71.81914894 85.18085106] ; [14.18085106 16.81914894],0
v1,1,0.024717,5.04357,[90 62] ; [12 20],[84.26086957 67.73913043] ; [17.73913043 14.26086957],0
s8,1,0.042838,4.101768,[ 47 110] ; [ 4 28],[ 42.36507937 114.63492063] ; [ 8.63492063 23.36507937],0
a4,1,0.064647,3.413963,[72 85] ; [ 9 23],[67.28571429 89.71428571] ; [13.71428571 18.28571429],0
p11,1,0.067858,3.334082,[130  27] ; [22 10],[126.26455026  30.73544974] ; [25.73544974  6.26455026],0
a5,1,0.068411,3.320738,[118  39] ; [19 13],[113.8042328  43.1957672] ; [23.1957672  8.8042328],0
a7,1,0.073025,3.213675,[121  35] ; [20 12],[117.  39.] ; [24.  8.],0
u1,1,0.088825,2.895544,[ 29 128] ; [ 2 30],[ 25.75132275 131.24867725] ; [ 5.24867725 26.75132275],0
r1,1,0.096926,2.755417,[122  32] ; [21 11],[118.39784946  35.60215054] ; [24.60215054  7.39784946],0
a3,1,0.102133,2.671912,[98 59] ; [15 17],[93.86772487 63.13227513] ; [19.13227513 12.86772487],0
p7,1,0.107247,2.59433,[114  41] ; [19 13],[110.24064171  44.75935829] ; [22.75935829  9.24064171],0
p8,1,0.111047,2.539262,[102  55] ; [16 16],[98.02116402 58.97883598] ; [19.97883598 12.02116402],0
a1,1,0.112922,2.512837,[  5 152] ; [ 3 29],[  6.64550265 150.35449735] ; [ 1.35449735 30.64550265],0
p6,1,0.125491,2.347409,[61 94] ; [ 8 24],[57.19251337 97.80748663] ; [11.80748663 20.19251337],0
r2,1,0.125871,2.3427,[146   8] ; [28  4],[144.06451613   9.93548387] ; [29.93548387  2.06451613],0
r4,1,0.131392,2.275975,[142  15] ; [26  6],[139.55555556  17.44444444] ; [28.44444444  3.55555556],0
a6,1,0.156945,2.003414,[113  44] ; [19 13],[109.65079365  47.34920635] ; [22.34920635  9.65079365],0
r3,1,0.23197,1.42874,[146  10] ; [28  4],[144.38297872  11.61702128] ; [29.61702128  2.38297872],0
