Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,70.223214,[51 89] ; [105  15],[84. 56.] ; [72. 48.],1
p6,1,3e-06,22.137811,[ 29 111] ; [58 62],[46.84615385 93.15384615] ; [40.15384615 79.84615385],1
p8,1,3e-06,21.728865,[48 89] ; [77 43],[66.63424125 70.36575875] ; [58.36575875 61.63424125],1
p5,1,1.7e-05,18.46909,[  4 136] ; [23 97],[ 14.53846154 125.46153846] ; [ 12.46153846 107.53846154],1
p7,1,0.000912,10.997305,[72 64] ; [87 32],[84.8 51.2] ; [74.2 44.8],1
p1,1,0.001039,10.756592,[  3 137] ; [ 15 105],[  9.69230769 130.30769231] ; [  8.30769231 111.69230769],0
a5,1,0.022123,5.236111,[91 50] ; [93 27],[99.40229885 41.59770115] ; [84.59770115 35.40229885],0
a8,1,0.03269,4.561938,[ 22 107] ; [  9 105],[ 16.45679012 112.54320988] ; [14.54320988 99.45679012],0
b5,1,0.042053,4.133051,[87 54] ; [59 61],[78.87356322 62.12643678] ; [67.12643678 52.87356322],0
a4,1,0.05042,3.82743,[49 92] ; [56 64],[56.72413793 84.27586207] ; [48.27586207 71.72413793],0
s7,1,0.061116,3.506843,[71 69] ; [70 42],[78.33333333 61.66666667] ; [62.66666667 49.33333333],0
p9,1,0.082494,3.015074,[106  31] ; [103  17],[111.41245136  25.58754864] ; [97.58754864 22.41245136],0
a3,1,0.083959,2.986556,[88 53] ; [87 33],[94.54022989 46.45977011] ; [80.45977011 39.54022989],0
a7,1,0.099547,2.712789,[107  34] ; [80 40],[101.02298851  39.97701149] ; [85.97701149 34.02298851],0
s5,1,0.112126,2.523996,[50 88] ; [53 62],[56.18181818 81.81818182] ; [46.81818182 68.18181818],0
u1,1,0.113858,2.499835,[ 20 121] ; [26 94],[ 24.85057471 116.14942529] ; [21.14942529 98.85057471],0
p2,1,0.115404,2.478618,[109  32] ; [102  18],[113.98850575  27.01149425] ; [97.01149425 22.98850575],0
s3,1,0.121779,2.394287,[92 47] ; [90 30],[97.67567568 41.32432432] ; [84.32432432 35.67567568],0
d2,1,0.155907,2.013486,[60 80] ; [62 58],[65.69230769 74.30769231] ; [56.30769231 63.69230769],0
r1,1,0.188304,1.730838,[108  33] ; [99 20],[112.25769231  28.74230769] ; [94.74230769 24.25769231],0
n4,1,0.194963,1.679707,[98 43] ; [92 28],[102.64367816  38.35632184] ; [87.35632184 32.64367816],0
p12,1,0.203293,1.618557,[  9 131] ; [ 13 107],[ 11.84615385 128.15384615] ; [ 10.15384615 109.84615385],0
s8,1,0.214724,1.539288,[62 79] ; [62 58],[66.98850575 74.01149425] ; [57.01149425 62.98850575],0
d3,1,0.215057,1.537052,[101  39] ; [78 42],[96.38461538 43.61538462] ; [82.61538462 37.38461538],0
p11,1,0.227566,1.45601,[100  41] ; [93 27],[104.26436782  36.73563218] ; [88.73563218 31.26436782],0
p10,1,0.245985,1.345961,[105  34] ; [97 22],[108.82945736  30.17054264] ; [93.17054264 25.82945736],0
u2,1,0.253824,1.302131,[26 25] ; [21 12],[28.53571429 22.46428571] ; [18.46428571 14.53571429],0
d1,1,0.288558,1.126336,[73 68] ; [70 50],[77.25287356 63.74712644] ; [65.74712644 54.25287356],0
b1,1,0.296251,1.090993,[51 90] ; [51 69],[55.10344828 85.89655172] ; [46.89655172 73.10344828],0
n2,1,0.300989,1.069809,[34 11] ; [18 10],[32.05479452 12.94520548] ; [19.94520548  8.05479452],0
r4,1,0.32492,0.96904,[124  17] ; [110  10],[126.4137931  14.5862069] ; [107.5862069  12.4137931],0
a2,1,0.325047,0.968531,[ 27 114] ; [29 91],[ 30.25287356 110.74712644] ; [25.74712644 94.25287356],0
v2,1,0.344422,0.893902,[53 80] ; [54 64],[56.69721116 76.30278884] ; [50.30278884 67.69721116],0
a1,1,0.38884,0.742567,[  6 135] ; [  8 112],[  7.56321839 133.43678161] ; [  6.43678161 113.56321839],0
v3,1,0.449934,0.570817,[ 36 100] ; [36 81],[38.70355731 97.29644269] ; [33.29644269 83.70355731],0
a6,1,0.462702,0.539352,[97 43] ; [78 42],[94.23076923 45.76923077] ; [80.76923077 39.23076923],0
v4,1,0.473516,0.513759,[130  10] ; [114   6],[131.38461538   8.61538462] ; [112.61538462   7.38461538],0
s2,1,0.476257,0.507422,[85 55] ; [78 42],[87.76923077 52.23076923] ; [75.23076923 44.76923077],0
n6,1,0.536462,0.382136,[115  25] ; [102  18],[116.84615385  23.15384615] ; [100.15384615  19.84615385],0
d5,1,0.555355,0.347811,[109  31] ; [97 23],[110.92307692  29.07692308] ; [95.07692308 24.92307692],0
b3,1,0.555859,0.346924,[18 52] ; [22 51],[19.58041958 50.41958042] ; [20.41958042 52.58041958],0
b2,1,0.555859,0.346924,[18 52] ; [22 51],[19.58041958 50.41958042] ; [20.41958042 52.58041958],0
r2,1,0.591849,0.287466,[128  12] ; [110   8],[129.14728682  10.85271318] ; [108.85271318   9.14728682],0
n5,1,0.617429,0.249497,[96 44] ; [85 34],[97.83783784 42.16216216] ; [83.16216216 35.83783784],0
n3,1,0.717158,0.131232,[32 13] ; [21  7],[32.67123288 12.32876712] ; [20.32876712  7.67123288],0
d4,1,0.755794,0.096726,[111  29] ; [97 23],[112.  28.] ; [96. 24.],0
r3,1,0.760673,0.092779,[133   7] ; [114   5],[133.51351351   6.48648649] ; [113.48648649   5.51351351],0
b4,1,0.778873,0.078842,[81 60] ; [71 49],[82.11494253 58.88505747] ; [69.88505747 50.11494253],0
s1,1,0.788633,0.071871,[  8 131] ; [  6 114],[  7.51351351 131.48648649] ; [  6.48648649 113.51351351],0
u3,1,0.817248,0.053401,[30 21] ; [18 14],[29.4939759 21.5060241] ; [18.5060241 13.4939759],0
s4,1,0.853803,0.033955,[ 38 100] ; [34 85],[38.6614786 99.3385214] ; [33.3385214 85.6614786],0
n1,1,0.887831,0.019895,[15 29] ; [10 18],[15.27777778 28.72222222] ; [ 9.72222222 18.27777778],0
u4,1,0.908764,0.013133,[  1 140] ; [  1 119],[  1.08045977 139.91954023] ; [  0.91954023 119.08045977],0
