Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000988,10.85,[35 28] ; [27  3],[42. 21.] ; [20. 10.],1
v4,1,0.018632,5.535714,[37 26] ; [25  5],[42. 21.] ; [20. 10.],0
v3,1,0.019769,5.432143,[ 9 51] ; [11 19],[13.33333333 46.66666667] ; [ 6.66666667 23.33333333],0
s4,1,0.021142,5.315021,[ 2 61] ; [ 5 25],[ 4.74193548 58.25806452] ; [ 2.25806452 27.74193548],0
p11,1,0.022395,5.214852,[22 41] ; [18 12],[27.09677419 35.90322581] ; [12.90322581 17.09677419],0
p10,1,0.026482,4.924264,[24 38] ; [19 11],[28.97826087 33.02173913] ; [14.02173913 15.97826087],0
n6,1,0.036031,4.39565,[29 33] ; [21  9],[33.69565217 28.30434783] ; [16.30434783 13.69565217],0
p3,1,0.070705,3.266573,[11 52] ; [10 19],[14.38043478 48.61956522] ; [ 6.61956522 22.38043478],0
p8,1,0.079259,3.080035,[ 9 53] ; [ 9 21],[12.13043478 49.86956522] ; [ 5.86956522 24.13043478],0
p4,1,0.086436,2.939533,[ 8 54] ; [ 8 21],[10.9010989 51.0989011] ; [ 5.0989011 23.9010989],0
d5,1,0.099895,2.707212,[35 28] ; [22  8],[38.61290323 24.38709677] ; [18.38709677 11.61290323],0
a5,1,0.107479,2.590904,[33 30] ; [21  9],[36.58064516 26.41935484] ; [17.41935484 12.58064516],0
r1,1,0.118584,2.435919,[29 34] ; [19 11],[32.51612903 30.48387097] ; [15.48387097 14.51612903],0
u3,1,0.1611,1.963874,[ 9 17] ; [5 3],[10.70588235 15.29411765] ; [3.29411765 4.70588235],0
n1,1,0.163208,1.944247,[15 16] ; [3 9],[12.97674419 18.02325581] ; [5.02325581 6.97674419],0
d1,1,0.163879,1.938066,[26 37] ; [17 13],[29.12903226 33.87096774] ; [13.87096774 16.12903226],0
a7,1,0.193331,1.692049,[33 30] ; [20 10],[35.90322581 27.09677419] ; [17.09677419 12.90322581],0
a3,1,0.200464,1.63899,[37 25] ; [22  8],[39.76086957 22.23913043] ; [19.23913043 10.76086957],0
p7,1,0.229908,1.441429,[14 48] ; [10 19],[16.35164835 45.64835165] ; [ 7.64835165 21.35164835],0
d4,1,0.238046,1.392127,[43 20] ; [24  6],[45.38709677 17.61290323] ; [21.61290323  8.38709677],0
r4,1,0.264053,1.247381,[30 33] ; [18 12],[32.51612903 30.48387097] ; [15.48387097 14.51612903],0
s5,1,0.345929,0.888336,[ 3 57] ; [ 3 26],[ 4.04494382 55.95505618] ; [ 1.95505618 27.04494382],0
p9,1,0.37133,0.79921,[25 35] ; [15 14],[26.96629213 33.03370787] ; [13.03370787 15.96629213],0
n2,1,0.375678,0.784798,[17 14] ; [9 4],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
a1,1,0.380073,0.770465,[ 8 55] ; [ 2 28],[ 6.77419355 56.22580645] ; [ 3.22580645 26.77419355],0
u2,1,0.403454,0.698009,[12 14] ; [2 5],[11.03030303 14.96969697] ; [2.96969697 4.03030303],0
b5,1,0.41462,0.665515,[33 30] ; [13 17],[31.16129032 31.83870968] ; [14.83870968 15.16129032],0
r2,1,0.433648,0.613032,[48 13] ; [24  4],[49.34831461 11.65168539] ; [22.65168539  5.34831461],0
s7,1,0.450496,0.569405,[ 8 50] ; [ 6 24],[ 9.22727273 48.77272727] ; [ 4.77272727 25.22727273],0
v1,1,0.46048,0.544727,[13 50] ; [ 8 21],[14.38043478 48.61956522] ; [ 6.61956522 22.38043478],0
s3,1,0.564603,0.331797,[18 44] ; [ 7 23],[16.84782609 45.15217391] ; [ 8.15217391 21.84782609],0
s8,1,0.579322,0.307332,[ 6 57] ; [ 4 26],[ 6.77419355 56.22580645] ; [ 3.22580645 26.77419355],0
a6,1,0.629487,0.232756,[39 24] ; [17 13],[37.93548387 25.06451613] ; [18.06451613 11.93548387],0
a4,1,0.671574,0.179766,[24 38] ; [13 17],[24.93478261 37.06521739] ; [12.06521739 17.93478261],0
n5,1,0.673981,0.176981,[40 22] ; [18 12],[39.08695652 22.91304348] ; [18.91304348 11.08695652],0
b4,1,0.720118,0.128379,[34 29] ; [15 15],[33.19354839 29.80645161] ; [15.80645161 14.19354839],0
a2,1,0.748843,0.102506,[10 53] ; [ 4 26],[ 9.48387097 53.51612903] ; [ 4.51612903 25.48387097],0
n3,1,0.78146,0.07696,[15 13] ; [7 5],[15.4 12.6] ; [6.6 5.4],0
u1,1,0.828222,0.047081,[ 5 58] ; [ 2 28],[ 4.74193548 58.25806452] ; [ 2.25806452 27.74193548],0
d3,1,0.829938,0.046131,[30 33] ; [15 15],[30.48387097 32.51612903] ; [14.51612903 15.48387097],0
b1,1,0.840462,0.040523,[28 35] ; [14 16],[28.4516129 34.5483871] ; [13.5483871 16.4516129],0
p1,1,0.871548,0.026145,[ 7 56] ; [ 3 27],[ 6.77419355 56.22580645] ; [ 3.22580645 26.77419355],0
s1,1,0.871548,0.026145,[ 7 56] ; [ 3 27],[ 6.77419355 56.22580645] ; [ 3.22580645 26.77419355],0
n4,1,0.894248,0.017671,[39 24] ; [19 11],[39.29032258 23.70967742] ; [18.70967742 11.29032258],0
s2,1,0.901463,0.01533,[ 9 54] ; [ 4 26],[ 8.80645161 54.19354839] ; [ 4.19354839 25.80645161],0
a8,1,0.931557,0.007376,[ 5 58] ; [ 2 25],[ 4.9 58.1] ; [ 2.1 24.9],0
b3,1,0.935096,0.006632,[18 27] ; [ 7 11],[17.85714286 27.14285714] ; [ 7.14285714 10.85714286],0
b2,1,0.935096,0.006632,[18 27] ; [ 7 11],[17.85714286 27.14285714] ; [ 7.14285714 10.85714286],0
d2,1,0.937403,0.006168,[29 32] ; [14 16],[28.82417582 32.17582418] ; [14.17582418 15.82417582],0
p6,1,0.955833,0.003067,[ 2 60] ; [ 1 28],[ 2.04395604 59.95604396] ; [ 0.95604396 28.04395604],0
