Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4e-06,21.055513,[16  5] ; [21 68],[ 7.06363636 13.93636364] ; [29.93636364 59.06363636],1
s6,1,8.3e-05,15.494544,[18  3] ; [36 58],[ 9.86086957 11.13913043] ; [44.13913043 49.86086957],1
s2,1,0.000527,12.017296,[15  7] ; [27 67],[ 7.96551724 14.03448276] ; [34.03448276 59.96551724],1
s8,1,0.001673,9.877683,[12 10] ; [20 74],[ 6.06896552 15.93103448] ; [25.93103448 68.06896552],0
p7,1,0.001752,9.793273,[16  5] ; [35 56],[ 9.5625 11.4375] ; [41.4375 49.5625],0
s4,1,0.002231,9.348766,[ 9 13] ; [12 81],[ 4.0173913 17.9826087] ; [16.9826087 76.0173913],0
p8,1,0.004847,7.935548,[13  9] ; [25 66],[ 7.39823009 14.60176991] ; [30.60176991 60.39823009],0
r4,1,0.017975,5.598631,[19  3] ; [56 38],[14.22413793  7.77586207] ; [60.77586207 33.22413793],0
s3,1,0.025239,5.007379,[14  7] ; [37 56],[ 9.39473684 11.60526316] ; [41.60526316 51.39473684],0
p1,1,0.026587,4.91742,[ 5 16] ; [ 7 87],[ 2.19130435 18.80869565] ; [ 9.80869565 84.19130435],0
n6,1,0.046902,3.948914,[19  3] ; [60 33],[15.11304348  6.88695652] ; [63.88695652 29.11304348],0
p10,1,0.057446,3.609615,[16  4] ; [52 39],[12.25225225  7.74774775] ; [55.74774775 35.25225225],0
p4,1,0.064601,3.415145,[10 12] ; [24 70],[ 6.44827586 15.55172414] ; [27.55172414 66.44827586],0
v3,1,0.068695,3.313941,[ 8 13] ; [18 74],[ 4.83185841 16.16814159] ; [21.16814159 70.83185841],0
r2,1,0.089475,2.883794,[21  1] ; [74 18],[18.33333333  3.66666667] ; [76.66666667 15.33333333],0
p6,1,0.129832,2.294515,[ 7 15] ; [16 76],[ 4.43859649 17.56140351] ; [18.56140351 73.43859649],0
p9,1,0.14059,2.17149,[17  5] ; [55 36],[14.01769912  7.98230088] ; [57.98230088 33.01769912],0
p2,1,0.154374,2.02849,[17  4] ; [61 33],[14.24347826  6.75652174] ; [63.75652174 30.24347826],0
r3,1,0.185117,1.756059,[19  3] ; [67 25],[16.59649123  5.40350877] ; [69.40350877 22.59649123],0
