Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.173935,[101   5] ; [20 14],[91.61428571 14.38571429] ; [29.38571429  4.61428571],1
r2,1,0.000305,13.040016,[100   4] ; [25  8],[94.89051095  9.10948905] ; [30.10948905  2.89051095],1
r3,1,0.003091,8.753237,[105   1] ; [30  4],[102.21428571   3.78571429] ; [32.78571429  1.21428571],0
p10,1,0.020281,5.387558,[82 23] ; [19 14],[76.84782609 28.15217391] ; [24.15217391  8.84782609],0
a1,1,0.023724,5.11472,[  4 102] ; [ 5 29],[ 6.81428571 99.18571429] ; [ 2.18571429 31.81428571],0
s3,1,0.023851,5.105412,[74 30] ; [17 17],[68.57971014 35.42028986] ; [22.42028986 11.57971014],0
a6,1,0.035081,4.441219,[74 32] ; [17 17],[68.9 37.1] ; [22.1 11.9],0
b1,1,0.035081,4.441219,[32 74] ; [17 17],[37.1 68.9] ; [11.9 22.1],0
a5,1,0.046483,3.96402,[81 25] ; [20 14],[76.47142857 29.52857143] ; [24.52857143  9.47142857],0
v2,1,0.050078,3.838856,[56 41] ; [13 21],[51.09160305 45.90839695] ; [17.90839695 16.09160305],0
a7,1,0.111141,2.537921,[83 23] ; [22 12],[79.5 26.5] ; [25.5  8.5],0
p2,1,0.117975,2.443999,[82 23] ; [22 12],[78.56115108 26.43884892] ; [25.43884892  8.56115108],0
p9,1,0.133235,2.254406,[86 19] ; [23 10],[82.93478261 22.06521739] ; [26.06521739  6.93478261],0
a2,1,0.167694,1.903441,[24 82] ; [ 4 30],[21.2 84.8] ; [ 6.8 27.2],0
d1,1,0.172095,1.864595,[64 42] ; [16 18],[60.57142857 45.42857143] ; [19.42857143 14.57142857],0
n3,1,0.181746,1.783292,[25  6] ; [8 5],[23.25  7.75] ; [9.75 3.25],0
s8,1,0.196794,1.666006,[54 52] ; [13 21],[50.72857143 55.27142857] ; [16.27142857 17.72857143],0
v4,1,0.235355,1.4082,[99  6] ; [30  4],[97.44604317  7.55395683] ; [31.55395683  2.44604317],0
n2,1,0.251541,1.314723,[21 10] ; [11  2],[22.54545455  8.45454545] ; [9.45454545 3.54545455],0
n1,1,0.280514,1.164599,[ 7 24] ; [5 8],[ 8.45454545 22.54545455] ; [3.54545455 9.45454545],0
d4,1,0.295553,1.094155,[89 17] ; [31  3],[90.85714286 15.14285714] ; [29.14285714  4.85714286],0
a4,1,0.341477,0.904877,[44 62] ; [11 23],[41.64285714 64.35714286] ; [13.35714286 20.64285714],0
p12,1,0.369378,0.805755,[  5 101] ; [ 3 31],[ 6.05714286 99.94285714] ; [ 1.94285714 32.05714286],0
p5,1,0.376797,0.781126,[  5 100] ; [ 3 31],[ 6.04316547 98.95683453] ; [ 1.95683453 32.04316547],0
b4,1,0.385525,0.753009,[71 35] ; [20 14],[68.9 37.1] ; [22.1 11.9],0
a8,1,0.392802,0.730252,[ 7 88] ; [ 1 31],[ 5.98425197 89.01574803] ; [ 2.01574803 29.98425197],0
n4,1,0.446981,0.578297,[42 64] ; [11 23],[40.12857143 65.87142857] ; [12.87142857 21.12857143],0
n6,1,0.530556,0.393327,[71 34] ; [21 13],[69.49640288 35.50359712] ; [22.50359712 11.49640288],0
s1,1,0.597311,0.279071,[  4 102] ; [ 2 32],[  4.54285714 101.45714286] ; [ 1.45714286 32.54285714],0
d2,1,0.606536,0.26525,[49 57] ; [14 20],[47.7 58.3] ; [15.3 18.7],0
p6,1,0.623827,0.240525,[30 74] ; [11 22],[31.12408759 72.87591241] ; [ 9.87591241 23.12408759],0
v3,1,0.633127,0.227844,[32 69] ; [ 9 24],[30.90298507 70.09701493] ; [10.09701493 22.90298507],0
s2,1,0.65186,0.203564,[64 42] ; [22 12],[65.11428571 40.88571429] ; [20.88571429 13.11428571],0
s5,1,0.677276,0.173208,[40 61] ; [14 18],[41.0075188 59.9924812] ; [12.9924812 19.0075188],0
p7,1,0.682306,0.167542,[57 47] ; [20 14],[58.02898551 45.97101449] ; [18.97101449 15.02898551],0
p4,1,0.693443,0.155383,[52 54] ; [18 16],[53. 53.] ; [17. 17.],0
p8,1,0.772959,0.083236,[48 58] ; [14 19],[47.28057554 58.71942446] ; [14.71942446 18.28057554],0
v1,1,0.807782,0.059189,[44 57] ; [14 20],[43.39259259 57.60740741] ; [14.60740741 19.39259259],0
b5,1,0.809254,0.058269,[63 43] ; [21 13],[63.6 42.4] ; [20.4 13.6],0
s4,1,0.816238,0.054003,[29 77] ; [10 24],[29.52857143 76.47142857] ; [ 9.47142857 24.52857143],0
d5,1,0.824914,0.048942,[86 20] ; [27  7],[85.55714286 20.44285714] ; [27.44285714  6.55714286],0
s7,1,0.83198,0.045013,[49 54] ; [15 18],[48.47058824 54.52941176] ; [15.52941176 17.47058824],0
p1,1,0.83256,0.044698,[ 8 96] ; [ 3 31],[ 8.28985507 95.71014493] ; [ 2.71014493 31.28985507],0
p3,1,0.856473,0.032712,[48 58] ; [16 18],[48.45714286 57.54285714] ; [15.54285714 18.45714286],0
u3,1,0.900965,0.015486,[27 11] ; [9 4],[26.82352941 11.17647059] ; [9.17647059 3.82352941],0
d3,1,0.907685,0.013447,[79 27] ; [25  9],[78.74285714 27.25714286] ; [25.25714286  8.74285714],0
p11,1,0.953142,0.003453,[68 38] ; [22 12],[68.14285714 37.85714286] ; [21.85714286 12.14285714],0
b2,1,0.953489,0.003402,[17 41] ; [ 6 14],[17.1025641 40.8974359] ; [ 5.8974359 14.1025641],0
b3,1,0.953489,0.003402,[17 41] ; [ 6 14],[17.1025641 40.8974359] ; [ 5.8974359 14.1025641],0
u2,1,0.956687,0.00295,[26 12] ; [9 4],[26.07843137 11.92156863] ; [8.92156863 4.07843137],0
a3,1,0.958333,0.00273,[66 40] ; [21 13],[65.87142857 40.12857143] ; [21.12857143 12.87142857],0
