Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,21.000082,[85  7] ; [3 5],[80.96 11.04] ; [7.04 0.96],1
v4,1,9.2e-05,15.298335,[89  3] ; [5 3],[86.48  5.52] ; [7.52 0.48],1
b1,1,0.024586,5.052779,[32 60] ; [6 2],[34.96 57.04] ; [3.04 4.96],0
a3,1,0.024928,5.028874,[49 42] ; [1 7],[45.95959596 45.04040404] ; [4.04040404 3.95959596],0
r1,1,0.03023,4.696182,[74 16] ; [4 4],[71.63265306 18.36734694] ; [6.36734694 1.63265306],0
u2,1,0.054196,3.706662,[20 23] ; [6 1],[22.36 20.64] ; [3.64 3.36],0
v2,1,0.063528,3.442797,[40 46] ; [1 7],[37.5106383 48.4893617] ; [3.4893617 4.5106383],0
r3,1,0.064628,3.414461,[86  6] ; [6 2],[84.64  7.36] ; [7.36 0.64],0
n6,1,0.107547,2.589899,[78 14] ; [5 3],[76.36 15.64] ; [6.64 1.36],0
s2,1,0.110148,2.552098,[49 41] ; [2 6],[46.83673469 43.16326531] ; [4.16326531 3.83673469],0
p9,1,0.111794,2.528674,[77 14] ; [5 3],[75.37373737 15.62626263] ; [6.62626263 1.37373737],0
a7,1,0.155386,2.018568,[58 34] ; [3 5],[56.12 35.88] ; [4.88 3.12],0
v3,1,0.179834,1.798998,[32 57] ; [1 7],[30.27835052 58.72164948] ; [2.72164948 5.27835052],0
p10,1,0.182626,1.776123,[73 16] ; [5 3],[71.56701031 17.43298969] ; [6.43298969 1.56701031],0
s5,1,0.198164,1.655856,[31 58] ; [1 7],[29.36082474 59.63917526] ; [2.63917526 5.36082474],0
u1,1,0.200862,1.636096,[ 3 89] ; [1 7],[ 3.68 88.32] ; [0.32 7.68],0
v1,1,0.216752,1.525747,[42 46] ; [2 6],[40.33333333 47.66666667] ; [3.66666667 4.33333333],0
b4,1,0.245444,1.34905,[54 38] ; [3 5],[52.44 39.56] ; [4.56 3.44],0
b5,1,0.283657,1.149486,[51 41] ; [6 2],[52.44 39.56] ; [4.56 3.44],0
p5,1,0.299869,1.074775,[11 80] ; [2 6],[11.94949495 79.05050505] ; [1.05050505 6.94949495],0
p7,1,0.313754,1.014805,[51 39] ; [6 2],[52.34693878 37.65306122] ; [4.65306122 3.34693878],0
s7,1,0.354969,0.855615,[48 40] ; [3 5],[46.75 41.25] ; [4.25 3.75],0
d5,1,0.359777,0.838671,[50 42] ; [3 5],[48.76 43.24] ; [4.24 3.76],0
p2,1,0.394627,0.724638,[70 22] ; [5 3],[69. 23.] ; [6. 2.],0
n4,1,0.40561,0.691633,[69 22] ; [5 3],[68.02020202 22.97979798] ; [5.97979798 2.02020202],0
s4,1,0.40561,0.691633,[22 69] ; [3 5],[22.97979798 68.02020202] ; [2.02020202 5.97979798],0
a8,1,0.420141,0.649922,[12 72] ; [2 6],[12.7826087 71.2173913] ; [1.2173913 6.7826087],0
a6,1,0.427192,0.630444,[59 33] ; [4 4],[57.96 34.04] ; [5.04 2.96],0
s3,1,0.445601,0.581818,[56 32] ; [4 4],[55. 33.] ; [5. 3.],0
u3,1,0.450017,0.570609,[25 18] ; [3 4],[24.08 18.92] ; [3.92 3.08],0
d2,1,0.461882,0.54133,[22 70] ; [1 7],[21.16 70.84] ; [1.84 6.16],0
s8,1,0.497538,0.460184,[46 46] ; [3 5],[45.08 46.92] ; [3.92 4.08],0
s1,1,0.546562,0.363512,[ 6 83] ; [1 7],[ 6.42268041 82.57731959] ; [0.57731959 7.42268041],0
a4,1,0.562501,0.335392,[19 71] ; [1 7],[18.36734694 71.63265306] ; [1.63265306 6.36734694],0
n5,1,0.57145,0.320263,[72 19] ; [7 1],[72.61616162 18.38383838] ; [6.38383838 1.61616162],0
p3,1,0.656642,0.197628,[42 50] ; [3 5],[41.4 50.6] ; [3.6 4.4],0
a5,1,0.743215,0.107321,[52 40] ; [5 3],[52.44 39.56] ; [4.56 3.44],0
d3,1,0.747646,0.10352,[28 64] ; [2 6],[27.6 64.4] ; [2.4 5.6],0
p6,1,0.780797,0.07744,[27 64] ; [2 6],[26.65656566 64.34343434] ; [2.34343434 5.65656566],0
p8,1,0.787692,0.072527,[41 50] ; [4 4],[41.36363636 49.63636364] ; [3.63636364 4.36363636],0
p4,1,0.859312,0.031417,[49 43] ; [4 4],[48.76 43.24] ; [4.24 3.76],0
p11,1,0.944953,0.004767,[70 22] ; [6 2],[69.92 22.08] ; [6.08 1.92],0
p1,1,0.963811,0.002059,[11 81] ; [1 7],[11.04 80.96] ; [0.96 7.04],0
