Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,43.977897,[94  3] ; [6 9],[86.60714286 10.39285714] ; [13.39285714  1.60714286],1
r2,1,0.0,28.145452,[94  3] ; [9 7],[88.4159292  8.5840708] ; [14.5840708  1.4159292],1
r3,1,0.0,26.547417,[93  4] ; [8 7],[87.47321429  9.52678571] ; [13.52678571  1.47321429],1
r1,1,3e-06,21.814854,[77 18] ; [ 4 12],[69.32432432 25.67567568] ; [11.67567568  4.32432432],1
a1,1,0.00038,12.628903,[ 1 96] ; [ 3 13],[ 3.43362832 93.56637168] ; [ 0.56637168 15.43362832],1
n6,1,0.000872,11.081558,[83 14] ; [8 8],[78.11504425 18.88495575] ; [12.88495575  3.11504425],1
s6,1,0.00117,10.537604,[58 35] ; [ 3 13],[52.04587156 40.95412844] ; [8.95412844 7.04587156],0
v2,1,0.00226,9.325179,[49 42] ; [ 2 14],[43.37383178 47.62616822] ; [7.62616822 8.37383178],0
p3,1,0.00228,9.309454,[51 44] ; [ 2 14],[45.36036036 49.63963964] ; [7.63963964 8.36036036],0
p9,1,0.00718,7.227321,[79 14] ; [9 7],[75.08256881 17.91743119] ; [12.91743119  3.08256881],0
b5,1,0.008301,6.967268,[64 33] ; [ 5 11],[59.2300885 37.7699115] ; [9.7699115 6.2300885],0
p11,1,0.013792,6.064612,[72 25] ; [7 9],[67.81415929 29.18584071] ; [11.18584071  4.81415929],0
s7,1,0.028348,4.806791,[38 50] ; [ 2 13],[34.17475728 53.82524272] ; [5.82524272 9.17475728],0
n2,1,0.029225,4.754286,[18  2] ; [3 3],[16.15384615  3.84615385] ; [4.84615385 1.15384615],0
v1,1,0.030501,4.680851,[51 43] ; [ 4 12],[47. 47.] ; [8. 8.],0
u3,1,0.031264,4.638385,[25 18] ; [1 6],[22.36 20.64] ; [3.64 3.36],0
s2,1,0.031828,4.607713,[38 56] ; [ 2 14],[34.18181818 59.81818182] ; [ 5.81818182 10.18181818],0
s3,1,0.048994,3.875571,[48 45] ; [ 4 12],[44.36697248 48.63302752] ; [7.63302752 8.36697248],0
n4,1,0.051629,3.787751,[71 25] ; [8 8],[67.71428571 28.28571429] ; [11.28571429  4.71428571],0
s8,1,0.056025,3.651316,[35 60] ; [ 2 14],[31.66666667 63.33333333] ; [ 5.33333333 10.66666667],0
n3,1,0.056748,3.629952,[19  1] ; [4 2],[17.69230769  2.30769231] ; [5.30769231 0.69230769],0
p2,1,0.062993,3.456789,[78 18] ; [9 6],[75.24324324 20.75675676] ; [11.75675676  3.24324324],0
p10,1,0.074305,3.185253,[75 18] ; [9 6],[72.33333333 20.66666667] ; [11.66666667  3.33333333],0
u1,1,0.142402,2.151809,[ 1 96] ; [ 1 15],[ 1.71681416 95.28318584] ; [ 0.28318584 15.71681416],0
p4,1,0.163836,1.938462,[54 42] ; [ 6 10],[51.42857143 44.57142857] ; [8.57142857 7.42857143],0
