Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,32.895105,[328  36] ; [50 27],[312.  52.] ; [66. 11.],1
p9,1,1e-06,23.564313,[335  29] ; [56 21],[322.73015873  41.26984127] ; [68.26984127  8.73015873],1
v4,1,0.000219,13.664136,[365   2] ; [76  5],[361.265625   5.734375] ; [79.734375  1.265625],1
p8,1,0.000471,12.227155,[226 132] ; [33 46],[212.1784897 145.8215103] ; [46.8215103 32.1784897],1
n4,1,0.004151,8.216488,[311  57] ; [56 23],[302.13870246  65.86129754] ; [64.86129754 14.13870246],0
p7,1,0.006489,7.409197,[256  99] ; [44 34],[245.95842956 109.04157044] ; [54.04157044 23.95842956],0
n6,1,0.008287,6.970278,[327  39] ; [62 17],[319.94157303  46.05842697] ; [69.05842697  9.94157303],0
b1,1,0.012483,6.240908,[123 245] ; [39 42],[132.77505568 235.22494432] ; [29.22494432 51.77505568],0
v3,1,0.024493,5.059392,[191 164] ; [31 47],[182.00923788 172.99076212] ; [39.99076212 38.00923788],0
p2,1,0.024715,5.043772,[322  43] ; [63 17],[315.78651685  49.21348315] ; [69.21348315 10.78651685],0
b2,1,0.027469,4.861067,[113 137] ; [11 30],[106.52920962 143.47079038] ; [17.47079038 23.52920962],0
b3,1,0.027469,4.861067,[113 137] ; [11 30],[106.52920962 143.47079038] ; [17.47079038 23.52920962],0
a3,1,0.035278,4.431655,[283  84] ; [52 27],[275.66143498  91.33856502] ; [59.33856502 19.66143498],0
n5,1,0.051009,3.807974,[308  59] ; [59 20],[301.99327354  65.00672646] ; [65.00672646 13.99327354],0
p4,1,0.054745,3.689835,[250 114] ; [46 34],[242.66666667 121.33333333] ; [53.33333333 26.66666667],0
s6,1,0.05913,3.561614,[255 106] ; [61 14],[261.64220183  99.35779817] ; [54.35779817 20.64220183],0
p3,1,0.07616,3.144997,[213 152] ; [38 42],[205.87640449 159.12359551] ; [45.12359551 34.87640449],0
s4,1,0.083188,3.001484,[ 53 309] ; [18 62],[ 58.14932127 303.85067873] ; [12.85067873 67.14932127],0
u2,1,0.089795,2.878051,[52 33] ; [12 16],[48.14159292 36.85840708] ; [15.85840708 12.14159292],0
d1,1,0.098999,2.721595,[236 132] ; [44 37],[229.48775056 138.51224944] ; [50.51224944 30.48775056],0
a5,1,0.113899,2.499267,[293  75] ; [58 23],[287.67928731  80.32071269] ; [63.32071269 17.67928731],0
d4,1,0.144817,2.126016,[313  53] ; [64 17],[308.68456376  57.31543624] ; [68.31543624 12.68456376],0
s1,1,0.151205,2.060055,[  8 354] ; [ 4 74],[  9.87272727 352.12727273] ; [ 2.12727273 75.87272727],0
s7,1,0.195326,1.676981,[185 167] ; [45 29],[190.04694836 161.95305164] ; [39.95305164 34.04694836],0
b5,1,0.196714,1.666601,[231 137] ; [57 24],[236.04454343 131.95545657] ; [51.95545657 29.04454343],0
s2,1,0.203054,1.620269,[198 164] ; [50 30],[203.11312217 158.88687783] ; [44.88687783 35.11312217],0
u3,1,0.249424,1.326528,[57 28] ; [16 13],[54.42982456 30.57017544] ; [18.57017544 10.42982456],0
b4,1,0.256829,1.285771,[225 143] ; [44 37],[220.47216036 147.52783964] ; [48.52783964 32.47216036],0
p12,1,0.260565,1.265752,[ 38 325] ; [ 5 74],[ 35.31447964 327.68552036] ; [ 7.68552036 71.31447964],0
a2,1,0.325968,0.964848,[ 94 274] ; [25 56],[ 97.53229399 270.46770601] ; [21.46770601 59.53229399],0
n3,1,0.358896,0.841754,[38 15] ; [18  4],[39.57333333 13.42666667] ; [16.42666667  5.57333333],0
n2,1,0.374721,0.78795,[41 12] ; [19  3],[42.4 10.6] ; [17.6  4.4],0
v2,1,0.375813,0.784352,[248 108] ; [51 28],[244.69885057 111.30114943] ; [54.30114943 24.69885057],0
a7,1,0.378073,0.776958,[268  99] ; [63 18],[271.15401786  95.84598214] ; [59.84598214 21.15401786],0
a6,1,0.388666,0.743111,[253 113] ; [52 29],[249.73154362 116.26845638] ; [55.26845638 25.73154362],0
p6,1,0.413314,0.669249,[160 197] ; [31 47],[156.75172414 200.24827586] ; [34.24827586 43.75172414],0
r3,1,0.455665,0.556522,[363   5] ; [78  2],[362.25   5.75] ; [78.75  1.25],0
s5,1,0.502246,0.450188,[141 215] ; [32 41],[143.56177156 212.43822844] ; [29.43822844 43.56177156],0
a4,1,0.577498,0.310297,[175 191] ; [41 39],[177.25560538 188.74439462] ; [38.74439462 41.25560538],0
a1,1,0.581747,0.303418,[ 19 349] ; [ 3 78],[ 18.0311804 349.9688196] ; [ 3.9688196 77.0311804],0
p5,1,0.584244,0.299424,[ 54 309] ; [10 70],[ 52.44243792 310.55756208] ; [11.55756208 68.44243792],0
n1,1,0.709295,0.138982,[24 29] ; [11 11],[24.73333333 28.26666667] ; [10.26666667 11.73333333],0
u4,1,0.737635,0.112216,[ 11 357] ; [ 3 78],[ 11.47438753 356.52561247] ; [ 2.52561247 78.47438753],0
d2,1,0.797072,0.06612,[184 182] ; [42 39],[185.04697987 180.95302013] ; [40.95302013 40.04697987],0
r1,1,0.808131,0.05897,[325  43] ; [69 10],[324.36689038  43.63310962] ; [69.63310962  9.36689038],0
s3,1,0.817494,0.053254,[207 154] ; [47 33],[207.92290249 153.07709751] ; [46.07709751 33.92290249],0
a8,1,0.834493,0.043657,[ 54 276] ; [12 57],[ 54.58646617 275.41353383] ; [11.41353383 57.58646617],0
s8,1,0.83522,0.043269,[189 175] ; [40 39],[188.16252822 175.83747178] ; [40.83747178 38.16252822],0
d3,1,0.893372,0.017966,[261 106] ; [57 24],[260.50446429 106.49553571] ; [57.49553571 23.50446429],0
d5,1,0.939578,0.005746,[306  60] ; [68 13],[306.22818792  59.77181208] ; [67.77181208 13.22818792],0
u1,1,0.946222,0.00455,[ 76 292] ; [17 64],[ 76.22271715 291.77728285] ; [16.77728285 64.22271715],0
p1,1,0.976545,0.000864,[ 37 329] ; [ 8 72],[ 36.92825112 329.07174888] ; [ 8.07174888 71.92825112],0
