Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.035987,4.397744,[ 2 16] ; [5 6],[ 4.34482759 13.65517241] ; [2.65517241 8.34482759],0
s8,1,0.035987,4.397744,[ 2 16] ; [5 6],[ 4.34482759 13.65517241] ; [2.65517241 8.34482759],0
p10,1,0.057114,3.619256,[ 5 13] ; [7 4],[ 7.44827586 10.55172414] ; [4.55172414 6.44827586],0
a6,1,0.076823,3.130856,[11  7] ; [3 8],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
s2,1,0.081497,3.034782,[ 7 11] ; [ 1 10],[ 4.96551724 13.03448276] ; [3.03448276 7.96551724],0
b4,1,0.086628,2.93595,[9 9] ; [9 2],[11.17241379  6.82758621] ; [6.82758621 4.17241379],0
p4,1,0.137276,2.208236,[10  8] ; [3 8],[8.06896552 9.93103448] ; [4.93103448 6.06896552],0
p2,1,0.148808,2.084423,[10  8] ; [9 2],[11.79310345  6.20689655] ; [7.20689655 3.79310345],0
v1,1,0.148808,2.084423,[ 8 10] ; [2 9],[ 6.20689655 11.79310345] ; [3.79310345 7.20689655],0
p7,1,0.195646,1.674579,[ 7 11] ; [7 4],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
u3,1,0.210075,1.570909,[3 8] ; [3 2],[4.125 6.875] ; [1.875 3.125],0
d2,1,0.229078,1.446576,[ 3 15] ; [4 7],[ 4.34482759 13.65517241] ; [2.65517241 8.34482759],0
s3,1,0.327618,0.958289,[ 6 11] ; [2 9],[ 4.85714286 12.14285714] ; [3.14285714 7.85714286],0
u2,1,0.329642,0.950303,[6 5] ; [4 1],[6.875 4.125] ; [3.125 1.875],0
n4,1,0.331171,0.944312,[ 5 13] ; [5 6],[ 6.20689655 11.79310345] ; [3.79310345 7.20689655],0
s5,1,0.363698,0.825084,[ 4 14] ; [ 1 10],[ 3.10344828 14.89655172] ; [1.89655172 9.10344828],0
s7,1,0.366444,0.815686,[ 3 14] ; [3 6],[ 3.92307692 13.07692308] ; [2.07692308 6.92307692],0
a5,1,0.410727,0.676695,[ 7 11] ; [6 5],[8.06896552 9.93103448] ; [4.93103448 6.06896552],0
a3,1,0.410727,0.676695,[ 7 11] ; [6 5],[8.06896552 9.93103448] ; [4.93103448 6.06896552],0
d5,1,0.473701,0.51333,[9 9] ; [7 4],[9.93103448 8.06896552] ; [6.06896552 4.93103448],0
p3,1,0.502716,0.449198,[ 5 12] ; [2 9],[ 4.25 12.75] ; [2.75 8.25],0
d3,1,0.513919,0.426079,[12  6] ; [6 5],[11.17241379  6.82758621] ; [6.82758621 4.17241379],0
p6,1,0.527458,0.399287,[ 3 14] ; [ 1 10],[ 2.42857143 14.57142857] ; [1.57142857 9.42857143],0
v2,1,0.55791,0.343336,[ 5 13] ; [2 9],[ 4.34482759 13.65517241] ; [2.65517241 8.34482759],0
p11,1,0.59737,0.27898,[ 8 10] ; [6 5],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
d1,1,0.627726,0.235157,[ 5 13] ; [4 7],[ 5.5862069 12.4137931] ; [3.4137931 7.5862069],0
a8,1,0.66171,0.191453,[ 1 17] ; [1 9],[ 1.28571429 16.71428571] ; [0.71428571 9.28571429],0
n6,1,0.668129,0.183799,[ 8 10] ; [4 7],[ 7.44827586 10.55172414] ; [4.55172414 6.44827586],0
s6,1,0.668129,0.183799,[ 8 10] ; [4 7],[ 7.44827586 10.55172414] ; [4.55172414 6.44827586],0
p5,1,0.715441,0.132903,[ 1 17] ; [ 1 10],[ 1.24137931 16.75862069] ; [ 0.75862069 10.24137931],0
s1,1,0.715441,0.132903,[ 1 17] ; [ 1 10],[ 1.24137931 16.75862069] ; [ 0.75862069 10.24137931],0
s4,1,0.715441,0.132903,[ 1 17] ; [ 1 10],[ 1.24137931 16.75862069] ; [ 0.75862069 10.24137931],0
p9,1,0.72759,0.121336,[ 7 11] ; [5 6],[ 7.44827586 10.55172414] ; [4.55172414 6.44827586],0
b5,1,0.72759,0.121336,[11  7] ; [6 5],[10.55172414  7.44827586] ; [6.44827586 4.55172414],0
a7,1,0.72759,0.121336,[11  7] ; [6 5],[10.55172414  7.44827586] ; [6.44827586 4.55172414],0
a4,1,0.757782,0.095107,[ 4 14] ; [3 8],[ 4.34482759 13.65517241] ; [2.65517241 8.34482759],0
d4,1,0.794381,0.067926,[14  4] ; [9 2],[14.27586207  3.72413793] ; [8.72413793 2.27586207],0
b2,1,0.824745,0.049038,[3 9] ; [1 4],[2.82352941 9.17647059] ; [1.17647059 3.82352941],0
b3,1,0.824745,0.049038,[3 9] ; [1 4],[2.82352941 9.17647059] ; [1.17647059 3.82352941],0
n2,1,0.852876,0.034392,[5 4] ; [2 2],[4.84615385 4.15384615] ; [2.15384615 1.84615385],0
p8,1,0.867695,0.027751,[ 6 12] ; [4 7],[ 6.20689655 11.79310345] ; [3.79310345 7.20689655],0
b1,1,0.867695,0.027751,[12  6] ; [7 4],[11.79310345  6.20689655] ; [7.20689655 3.79310345],0
v4,1,0.89183,0.018493,[11  7] ; [7 4],[11.17241379  6.82758621] ; [6.82758621 4.17241379],0
n1,1,0.912637,0.012037,[2 7] ; [1 3],[2.07692308 6.92307692] ; [0.92307692 3.07692308],0
v3,1,0.916528,0.010985,[ 3 15] ; [2 9],[ 3.10344828 14.89655172] ; [1.89655172 9.10344828],0
r3,1,0.976445,0.000872,[13  5] ; [8 3],[13.03448276  4.96551724] ; [7.96551724 3.03448276],0
